,maxval,maxdate,maxarg
1981,10.829493,1981-03-23,173
1982,7.693796,1982-02-17,139
1983,3.0373454,1983-01-21,112
1984,3.7273786,1984-01-30,121
1985,8.9461775,1985-03-02,152
1986,6.060382,1986-02-06,128
1987,8.321416,1987-02-06,128
1988,8.817181,1988-01-27,118
1989,1.647376,1988-11-29,59
1990,11.331751,1990-01-18,109
1991,5.524172,1990-11-07,37
1992,6.72168,1992-01-03,94
1993,4.4399266,1992-12-06,66
1994,5.236264,1994-09-30,364
1995,7.397351,1994-10-26,25
1996,3.8057544,1996-01-10,101
1997,4.4556723,1997-09-30,364
1998,6.131146,1997-12-04,64
1999,7.434369,1998-11-07,37
2000,3.7975194,1999-11-24,54
2001,4.7196846,2001-09-27,361
2002,4.7644506,2001-10-06,5
2003,3.6402135,2002-11-24,54
2004,4.7943373,2003-11-30,60
2005,4.5851774,2004-10-01,0
2006,2.7685928,2006-08-08,311
2007,2.884897,2007-08-30,333
2008,7.127487,2008-09-21,356
2009,5.1393175,2008-10-01,0
2010,10.8947525,2010-09-08,342
2011,9.629797,2010-10-26,25
2012,6.2733665,2012-08-25,329
2013,2.6503048,2012-10-01,0
2014,4.3311677,2013-12-06,66
2015,3.6344056,2015-02-08,130
2016,4.31931,2015-10-29,28
2017,11.375492,2016-11-28,58
2018,6.400672,2017-10-31,30
2019,4.397629,2018-11-03,33
2020,2.1404972,2020-09-30,365
2021,8.069454,2020-11-03,33
2022,3.007062,2022-09-13,347
2023,7.1171713,2022-11-21,51
2024,2.8211699,2024-09-11,346
2025,4.4762483,2025-09-23,357
2026,5.9321275,2025-12-04,64
2027,3.9851325,2027-09-30,364
2028,3.9634755,2027-10-01,0
2029,1.571093,2028-10-23,22
2030,2.5197613,2030-08-11,314
2031,2.497402,2031-09-25,359
2032,2.8869643,2032-08-27,331
2033,5.6366134,2033-09-17,351
2034,4.4242964,2033-10-01,0
2035,3.0079606,2034-10-25,24
2036,1.1593521,2035-10-01,0
2037,3.3991697,2037-06-22,264
2038,1.7744435,2038-09-01,335
2039,2.1751957,2039-08-09,312
2040,5.0129576,2040-09-15,350
2041,1.8003917,2040-10-02,1
2042,0.7371569,2042-07-09,281
2043,1.2296329,2043-05-07,218
2044,2.7687528,2044-06-22,265
2045,2.262177,2045-07-25,297
2046,4.9261274,2046-06-26,268
2047,3.3086543,2047-07-22,294
2048,2.682872,2048-07-04,277
2049,1.1932162,2049-04-04,185
2050,1.0248232,2050-03-29,179
2051,2.0056324,2051-05-15,226
2052,1.5038143,2052-03-21,172
2053,3.109559,2053-04-17,198
2054,1.248079,2054-04-06,187
2055,3.2901046,2055-04-30,211
2056,0.69318795,2056-03-02,153
2057,5.6908555,2057-05-23,234
2058,0.7332355,2058-05-12,223
2059,1.6807939,2059-04-29,210
2060,0.9455375,2060-04-20,202
2061,3.789067,2061-02-28,150
2062,3.6463604,2062-03-03,153
2063,1.4060673,2063-03-14,164
2064,1.5849254,2064-02-01,123
2065,1.8727766,2065-03-29,179
2066,2.1521397,2066-02-18,140
2067,0.9975364,2067-03-23,173
2068,0.48142064,2068-01-16,107
2069,0.34595442,2069-01-17,108
2070,4.064117,2070-02-19,141
2071,1.3959886,2071-01-11,102
2072,4.313154,2072-02-16,138
2073,1.5488569,2072-12-10,70
2074,1.7083837,2074-02-16,138
2075,1.0799967,2074-12-29,89
2076,1.8742,2076-01-29,120
2077,0.89807916,2076-12-09,69
2078,0.93109506,2077-11-17,47
2079,2.9135628,2078-11-13,43
2080,0.7138552,2079-12-24,84
2081,0.60179865,2081-01-23,114
2082,0.5458109,2081-11-12,42
2083,0.41657522,2082-11-16,46
2084,0.999368,2083-12-03,63
2085,1.1720341,2084-12-25,85
2086,1.0231591,2085-10-28,27
2087,0.8964113,2086-11-25,55
2088,0.54367846,2087-12-01,61
2089,0.2511088,2089-09-29,363
2090,0.26975366,2090-09-26,360
2091,0.21930736,2091-08-31,334
2092,0.94336075,2091-12-11,71
2093,0.30665693,2093-09-26,360
2094,0.2708592,2094-09-30,364
2095,0.41002363,2095-08-13,316
2096,0.47473145,2095-10-19,18
2097,0.9658319,2097-09-30,364
