,maxval,maxdate,maxarg
1981,6.5529966,1981-03-19,169
1982,5.7401943,1982-02-17,139
1983,3.0717037,1983-01-21,112
1984,1.5421292,1984-01-31,122
1985,6.02295,1985-03-02,152
1986,2.8985171,1986-02-04,126
1987,4.5165005,1987-01-30,121
1988,5.6322937,1988-01-27,118
1989,2.0158286,1988-12-21,81
1990,4.1784062,1990-01-19,110
1991,3.6900797,1990-12-05,65
1992,1.485536,1992-01-21,112
1993,4.5346785,1992-12-15,75
1994,5.3432527,1993-12-08,68
1995,5.9070477,1994-12-14,74
1996,3.0400803,1996-01-19,110
1997,3.080584,1997-09-30,364
1998,3.823174,1997-12-04,64
1999,5.1617413,1998-11-08,38
2000,1.170772,2000-09-14,349
2001,2.2859044,2001-09-27,361
2002,4.608442,2002-08-27,330
2003,3.7741833,2002-10-26,25
2004,3.6346226,2003-11-02,32
2005,3.3479736,2004-11-27,57
2006,4.16933,2006-09-30,364
2007,4.251159,2006-10-02,1
2008,3.8842545,2008-08-26,330
2009,2.9067354,2008-10-01,0
2010,4.7363796,2010-09-09,343
2011,4.10875,2011-09-29,363
2012,4.060835,2011-10-01,0
2013,1.2797464,2012-10-09,8
2014,3.9226162,2013-12-07,67
2015,2.1439233,2015-02-05,127
2016,2.6838036,2015-12-01,61
2017,4.028444,2016-12-01,61
2018,4.274761,2017-11-03,33
2019,3.494035,2018-11-03,33
2020,2.314704,2020-09-30,365
2021,4.3707294,2020-11-02,32
2022,2.428624,2022-01-09,100
2023,5.771782,2022-11-25,55
2024,4.1470942,2024-09-12,347
2025,3.181816,2024-10-11,10
2026,2.5829809,2025-10-01,0
2027,2.8081868,2027-09-12,346
2028,2.821371,2027-10-28,27
2029,0.9255969,2028-10-29,28
2030,2.5959144,2030-08-18,321
2031,3.961418,2031-09-17,351
2032,2.8887432,2031-10-25,24
2033,2.340966,2033-09-18,352
2034,3.7141073,2034-08-27,330
2035,3.3939939,2034-10-09,8
2036,1.2008392,2035-10-01,0
2037,3.2466867,2037-06-22,264
2038,1.2715876,2038-06-12,254
2039,2.0403593,2039-09-22,356
2040,2.5876665,2040-08-08,312
2041,1.4054734,2040-10-09,8
2042,0.9129718,2042-07-05,277
2043,1.0453154,2043-05-07,218
2044,1.3063675,2044-05-29,241
2045,0.9260457,2045-07-20,292
2046,6.8533435,2046-07-04,276
2047,3.2375002,2047-07-24,296
2048,1.192204,2048-06-15,258
2049,0.8115489,2049-04-04,185
2050,1.0902436,2050-06-23,265
2051,4.883295,2051-05-19,230
2052,1.7389802,2052-03-23,174
2053,3.3186302,2053-04-18,199
2054,0.9414717,2054-04-10,191
2055,2.002694,2055-05-01,212
2056,0.9765449,2056-03-03,154
2057,2.3331885,2057-05-05,216
2058,0.9559845,2058-06-01,243
2059,0.37674627,2059-02-27,149
2060,0.5679733,2060-03-06,157
2061,2.280417,2061-03-09,159
2062,2.9473736,2062-03-31,181
2063,0.69277096,2063-02-11,133
2064,1.272682,2064-02-01,123
2065,2.6669888,2065-04-06,187
2066,4.2310863,2066-02-21,143
2067,0.62698644,2066-12-20,80
2068,0.48165447,2068-02-17,139
2069,0.6496573,2069-01-17,108
2070,1.8693191,2070-02-12,134
2071,1.1627196,2071-03-24,174
2072,3.3475544,2072-02-16,138
2073,0.75987595,2073-03-13,163
2074,0.85554177,2074-01-04,95
2075,1.1660917,2075-02-05,127
2076,1.1638507,2076-01-29,120
2077,1.5450097,2076-12-09,69
2078,0.86099315,2078-01-01,92
2079,1.3165046,2078-11-12,42
2080,0.50958145,2080-01-17,108
2081,0.84889346,2080-11-29,59
2082,0.26363552,2081-11-13,43
2083,0.2253409,2082-11-12,42
2084,0.7148835,2083-12-14,74
2085,0.6302359,2084-11-23,53
2086,0.6338316,2085-10-28,27
2087,0.2260554,2086-10-29,28
2088,0.107552834,2088-09-16,351
2089,0.061551582,2089-09-28,362
2090,0.15414031,2090-09-13,347
2091,0.15001369,2091-08-23,326
2092,0.22523049,2091-11-26,56
2093,0.36756042,2092-11-01,31
2094,0.21374705,2094-09-24,358
2095,0.18355685,2094-10-01,0
2096,0.25391224,2095-10-19,18
2097,0.83794427,2097-08-30,333
