,maxval,maxdate,maxarg
1981,1.0411814,1980-12-10,70
1982,1.2331929,1982-02-08,130
1983,0.7726433,1982-12-27,87
1984,1.5758047,1984-04-21,203
1985,0.49872965,1985-03-25,175
1986,0.81434995,1986-02-02,124
1987,1.5990442,1986-10-17,16
1988,0.30084378,1987-11-05,35
1989,0.67911214,1988-12-13,73
1990,2.4113588,1990-09-30,364
1991,2.955721,1990-10-12,11
1992,0.7701694,1992-01-30,121
1993,0.9340137,1992-12-16,76
1994,1.060124,1994-09-29,363
1995,1.6363537,1995-02-09,131
1996,1.2935544,1996-09-25,360
1997,0.6743451,1996-10-31,30
1998,0.6396718,1997-11-26,56
1999,1.006374,1999-08-18,321
2000,0.5838608,2000-08-20,324
2001,0.58602864,2000-10-27,26
2002,0.65318793,2001-11-05,35
2003,0.9323868,2002-10-17,16
2004,0.73695594,2003-10-03,2
2005,0.7777442,2005-07-15,287
2006,0.43579367,2005-10-06,5
2007,1.0654652,2006-11-24,54
2008,0.39044943,2007-10-17,16
2009,0.7354523,2009-09-22,356
2010,0.5391225,2009-10-07,6
2011,1.6680002,2011-06-15,257
2012,0.6687461,2012-09-11,346
2013,0.51848793,2013-06-04,246
2014,0.88346416,2013-12-05,65
2015,0.7803064,2015-08-28,331
2016,1.1442368,2015-11-02,32
2017,1.9733751,2017-09-30,364
2018,2.2400064,2017-10-19,18
2019,2.0023696,2019-08-23,326
2020,0.3956696,2020-09-29,364
2021,0.83919257,2021-08-11,314
2022,1.0665712,2022-08-19,322
2023,0.72786075,2022-10-31,30
2024,0.31715682,2024-08-01,305
2025,0.5269002,2024-12-07,67
2026,0.44782543,2025-10-07,6
2027,1.187459,2027-09-12,346
2028,0.7115738,2027-10-18,17
2029,0.49675825,2028-10-18,17
2030,0.6196701,2029-11-25,55
2031,0.90403235,2030-11-09,39
2032,1.1908588,2031-10-18,17
2033,0.59591436,2033-09-22,356
2034,0.5837593,2034-09-30,364
2035,1.1425607,2035-09-23,357
2036,0.8353058,2036-06-09,252
2037,1.1127739,2037-09-13,347
2038,0.7115685,2038-08-17,320
2039,0.53535914,2039-07-16,288
2040,1.0681528,2040-08-06,310
2041,0.6325947,2041-05-11,222
2042,0.56468666,2042-08-17,320
2043,1.0350578,2043-08-24,327
2044,0.30414903,2044-05-23,235
2045,0.8151506,2045-07-19,291
2046,1.6014446,2046-07-05,277
2047,1.7876818,2047-04-21,202
2048,0.84744596,2048-08-08,312
2049,1.087206,2049-06-04,246
2050,0.39580148,2050-03-29,179
2051,0.9414291,2051-06-22,264
2052,0.69233847,2052-03-23,174
2053,0.89178234,2053-04-17,198
2054,1.4278668,2054-06-17,259
2055,0.69196826,2055-03-12,162
2056,1.0995594,2056-04-23,205
2057,0.919469,2057-04-05,186
2058,0.6468201,2058-06-05,247
2059,1.3810332,2059-04-14,195
2060,1.2330067,2060-04-10,192
2061,0.60756844,2061-03-30,180
2062,0.8228825,2062-03-29,179
2063,0.8817799,2063-03-30,180
2064,0.8946086,2064-04-20,202
2065,1.3378352,2065-04-21,202
2066,1.4537051,2066-01-27,118
2067,0.85463303,2067-04-03,184
2068,1.9403459,2068-04-10,192
2069,0.9527366,2069-04-01,182
2070,0.46999928,2070-04-25,206
2071,0.50998026,2071-01-14,105
2072,1.9500415,2072-02-20,142
2073,0.8840596,2073-02-22,144
2074,2.066634,2074-02-24,146
2075,0.6073053,2075-01-31,122
2076,0.4738591,2076-01-11,102
2077,0.9217195,2077-02-19,141
2078,0.8192018,2078-01-09,100
2079,0.9091138,2079-03-15,165
2080,0.78177404,2080-01-08,99
2081,0.29113713,2080-10-16,15
2082,0.43739653,2081-12-04,64
2083,0.8566606,2082-12-01,61
2084,0.41915694,2084-01-26,117
2085,1.4085529,2084-12-23,83
2086,1.1619251,2085-10-13,12
2087,1.2452843,2087-01-28,119
2088,0.49306795,2087-12-04,64
2089,0.5853155,2088-11-29,59
2090,0.84296745,2090-08-19,322
2091,0.651133,2091-01-02,93
2092,0.73069423,2091-11-25,55
2093,1.7978624,2092-12-12,72
2094,0.30345577,2094-09-23,357
2095,0.14438674,2094-11-18,48
2096,0.7149765,2095-10-07,6
2097,2.4330342,2097-08-17,320
