,maxval,maxdate,maxarg
1981,1.4916722,1981-03-23,173
1982,1.9054071,1982-03-10,160
1983,1.1393011,1983-02-24,146
1984,1.1756334,1984-03-19,170
1985,1.465117,1985-03-26,176
1986,1.5603769,1986-02-28,150
1987,1.732028,1987-02-16,138
1988,0.8645814,1988-02-06,128
1989,1.1557841,1989-02-05,127
1990,1.4476988,1990-01-30,121
1991,1.7638062,1990-12-24,84
1992,1.0609163,1992-01-18,109
1993,1.2973989,1993-01-19,110
1994,1.4483768,1994-09-24,358
1995,1.7434504,1994-11-20,50
1996,1.3774548,1996-07-19,292
1997,1.4894397,1996-12-12,72
1998,2.5373242,1998-01-01,92
1999,1.3618119,1998-11-23,53
2000,0.70555437,1999-11-14,44
2001,1.4983357,2001-07-22,294
2002,2.3736196,2001-12-28,88
2003,1.725189,2002-10-17,16
2004,1.6262501,2003-10-20,19
2005,0.9217126,2004-11-02,32
2006,1.6103538,2005-10-24,23
2007,1.1454197,2007-09-21,355
2008,1.1370691,2008-09-25,360
2009,1.8061783,2009-08-24,327
2010,1.511915,2009-10-15,14
2011,1.6834252,2010-11-10,40
2012,1.2371955,2012-07-18,291
2013,1.0393783,2013-06-24,266
2014,1.8528218,2014-01-17,108
2015,1.1013888,2015-01-08,99
2016,1.421241,2016-01-14,105
2017,1.4124494,2017-01-10,101
2018,0.78018135,2017-10-04,3
2019,1.6360306,2019-02-02,124
2020,0.87509966,2019-10-11,10
2021,1.5735362,2020-11-22,52
2022,1.5579917,2021-11-11,41
2023,2.1298199,2022-12-26,86
2024,1.4666152,2024-01-07,98
2025,1.1422559,2024-11-15,45
2026,0.71076834,2025-12-07,67
2027,0.56536555,2027-09-13,347
2028,0.87574303,2027-11-12,42
2029,2.042519,2028-11-13,43
2030,1.8226316,2029-10-16,15
2031,1.3514353,2031-09-28,362
2032,1.9654307,2032-09-11,346
2033,1.6494265,2033-09-19,353
2034,1.7166657,2033-10-16,15
2035,1.1139861,2035-09-23,357
2036,1.5869995,2036-05-06,218
2037,1.2536235,2037-09-16,350
2038,1.3188195,2038-09-27,361
2039,1.4394073,2039-08-13,316
2040,1.0517864,2039-10-01,0
2041,0.9420825,2041-05-01,212
2042,0.7804876,2042-07-06,278
2043,1.232739,2043-08-24,327
2044,0.87190795,2044-07-19,292
2045,1.2336291,2045-07-31,303
2046,1.3589474,2046-08-11,314
2047,2.063053,2047-05-20,231
2048,1.5588207,2048-07-19,292
2049,0.5097676,2049-06-23,265
2050,1.6275032,2050-03-08,158
2051,0.98741627,2051-06-10,252
2052,1.0443789,2052-07-03,276
2053,1.2940948,2053-06-17,259
2054,1.9594446,2054-04-25,206
2055,1.5152369,2055-06-14,256
2056,0.9879925,2056-03-06,157
2057,1.385776,2057-06-09,251
2058,0.93968624,2058-05-24,235
2059,1.23363,2059-06-22,264
2060,0.721152,2060-05-15,227
2061,0.47690994,2061-04-03,184
2062,1.0452486,2062-03-19,169
2063,1.012815,2063-03-27,177
2064,0.5161133,2064-04-08,190
2065,1.2028776,2065-02-13,135
2066,0.78862107,2066-04-24,205
2067,0.6266957,2067-04-17,198
2068,1.106789,2068-03-13,164
2069,0.66644114,2069-03-19,169
2070,1.0585996,2070-02-26,148
2071,0.78185546,2071-04-15,196
2072,1.7163544,2072-02-20,142
2073,0.90446913,2072-12-31,91
2074,1.0981066,2074-03-08,158
2075,1.3752719,2075-01-29,120
2076,0.59723085,2076-01-31,122
2077,0.83664703,2077-01-07,98
2078,1.2958277,2077-11-16,46
2079,1.0491359,2079-01-12,103
2080,1.1085228,2080-01-30,121
2081,0.7342334,2081-01-01,92
2082,1.494602,2081-12-02,62
2083,0.42015818,2083-02-09,131
2084,0.5960261,2084-01-02,93
2085,0.711985,2084-12-22,82
2086,0.43475565,2086-01-01,92
2087,0.66443646,2087-01-15,106
2088,0.9580959,2087-12-05,65
2089,1.0488777,2088-12-07,67
2090,0.6179561,2089-10-04,3
2091,1.305493,2090-11-19,49
2092,0.4984497,2091-12-14,74
2093,0.9554787,2092-11-02,32
2094,0.7696694,2093-11-13,43
2095,1.7316649,2094-10-24,23
2096,0.6754534,2096-08-25,329
2097,0.71978223,2096-10-29,28
