,maxval,maxdate,maxarg
1981,0.9590126,1980-12-10,70
1982,1.3380437,1981-12-31,91
1983,0.7398834,1982-12-27,87
1984,1.5413167,1984-04-21,203
1985,0.6021848,1984-12-09,69
1986,0.9781743,1986-02-02,124
1987,1.5786955,1986-10-17,16
1988,0.32633078,1988-03-13,164
1989,0.8351251,1988-12-18,78
1990,1.2793852,1990-09-24,358
1991,1.6769049,1990-10-13,12
1992,0.7768223,1992-01-22,113
1993,0.99282074,1992-12-16,76
1994,0.8430126,1994-09-29,363
1995,2.0649238,1995-02-09,131
1996,1.4121212,1996-09-25,360
1997,0.60854876,1996-10-31,30
1998,0.75811166,1997-11-26,56
1999,0.8235917,1999-08-18,321
2000,0.7427709,2000-08-21,325
2001,0.68867826,2000-10-27,26
2002,0.7179601,2001-11-05,35
2003,1.5542052,2002-10-17,16
2004,0.9580085,2003-12-01,61
2005,0.5905383,2005-09-17,351
2006,0.5769789,2005-10-06,5
2007,0.8732228,2006-11-23,53
2008,0.663132,2008-06-04,247
2009,0.7320245,2008-10-10,9
2010,0.859429,2009-10-07,6
2011,1.5935411,2011-06-15,257
2012,0.6609276,2012-09-11,346
2013,0.37506273,2013-06-04,246
2014,1.0189496,2013-12-05,65
2015,0.76063097,2015-09-29,363
2016,1.299212,2015-11-02,32
2017,2.4704895,2017-09-30,364
2018,3.011663,2017-10-19,18
2019,1.6267643,2019-08-23,326
2020,0.46941832,2020-09-29,364
2021,0.72817254,2020-10-15,14
2022,0.86300915,2022-08-18,321
2023,0.82889926,2022-12-11,71
2024,0.38127974,2024-01-04,95
2025,0.5052142,2024-12-07,67
2026,0.69311875,2025-10-07,6
2027,1.4691712,2027-09-16,350
2028,0.81501013,2027-10-22,21
2029,0.44111913,2028-10-18,17
2030,0.6991844,2029-11-17,47
2031,0.88396716,2030-11-09,39
2032,1.4353637,2031-10-18,17
2033,0.700041,2033-09-22,356
2034,0.75886357,2034-09-30,364
2035,1.1863314,2035-09-23,357
2036,0.7925238,2036-09-24,359
2037,1.5155307,2037-09-14,348
2038,0.6883575,2038-09-10,344
2039,0.6602183,2039-07-16,288
2040,1.1475883,2039-10-04,3
2041,0.64427066,2041-07-25,297
2042,0.45372024,2042-06-01,243
2043,0.7622706,2043-07-22,294
2044,0.29597518,2044-05-28,240
2045,0.7288854,2045-07-19,291
2046,1.372884,2046-07-05,277
2047,1.6583767,2047-04-23,204
2048,0.859416,2048-08-08,312
2049,1.3140961,2049-06-04,246
2050,0.38587892,2050-04-10,191
2051,0.9332556,2051-07-19,291
2052,0.6130506,2052-03-23,174
2053,0.94279087,2053-04-29,210
2054,1.4636623,2054-06-07,249
2055,0.7318259,2055-04-18,199
2056,0.76314706,2056-04-23,205
2057,0.7598675,2057-05-08,219
2058,0.62004036,2058-06-05,247
2059,1.152054,2059-04-14,195
2060,1.1770955,2060-04-11,193
2061,0.6316622,2061-03-30,180
2062,1.0254976,2062-03-30,180
2063,1.1538242,2063-04-01,182
2064,0.99731225,2064-04-20,202
2065,1.2874868,2065-04-21,202
2066,1.7676005,2066-01-27,118
2067,0.7830829,2067-04-07,188
2068,2.0676029,2068-04-10,192
2069,1.1127076,2069-04-01,182
2070,0.4654932,2070-04-25,206
2071,0.6176544,2071-01-14,105
2072,1.7947412,2072-02-20,142
2073,0.9620415,2073-02-22,144
2074,2.1075914,2074-02-24,146
2075,0.60574585,2075-03-09,159
2076,0.48399937,2076-01-05,96
2077,1.0786561,2077-02-19,141
2078,0.87626296,2078-01-09,100
2079,1.338815,2079-03-15,165
2080,0.8996403,2080-01-08,99
2081,0.4136263,2080-10-16,15
2082,0.5197526,2081-12-06,66
2083,0.8641102,2082-12-01,61
2084,0.4394518,2084-01-26,117
2085,1.6029137,2084-12-25,85
2086,0.90969485,2085-10-16,15
2087,0.9168422,2086-12-06,66
2088,0.43545285,2087-12-04,64
2089,0.46660078,2088-11-29,59
2090,1.2146871,2090-08-19,322
2091,0.7554037,2091-01-02,93
2092,0.9844704,2091-11-25,55
2093,1.5224419,2092-12-12,72
2094,0.4075879,2094-09-23,357
2095,0.18665081,2094-11-18,48
2096,0.70973855,2095-10-07,6
2097,2.2264178,2097-08-17,320
