,maxval,maxdate,maxarg
1981,8.376013,1981-03-23,173
1982,9.268301,1982-03-05,155
1983,5.2431865,1983-01-22,113
1984,2.8478322,1984-02-01,123
1985,9.666966,1985-03-06,156
1986,3.49217,1986-02-05,127
1987,6.9078093,1987-01-30,121
1988,6.1516185,1988-01-27,118
1989,3.2329354,1989-02-03,125
1990,7.8885903,1990-01-19,110
1991,5.2282505,1990-12-22,82
1992,3.380374,1992-01-21,112
1993,5.281482,1992-12-14,74
1994,6.0401263,1993-12-08,68
1995,8.521475,1994-12-13,73
1996,3.693294,1996-01-19,110
1997,4.4967413,1997-09-30,364
1998,7.0236716,1997-12-04,64
1999,5.0563145,1998-11-08,38
2000,2.1572804,1999-11-17,47
2001,3.4180427,2001-09-28,362
2002,4.4705696,2002-09-25,359
2003,6.07762,2002-11-26,56
2004,5.8066764,2003-11-02,32
2005,6.0319448,2004-11-27,57
2006,5.9759154,2005-10-07,6
2007,5.2431087,2006-10-24,23
2008,5.1994944,2008-09-28,363
2009,4.907408,2008-10-01,0
2010,6.701806,2010-09-09,343
2011,6.8356094,2011-09-30,364
2012,6.819093,2011-10-01,0
2013,4.845305,2012-10-09,8
2014,5.755081,2013-12-08,68
2015,4.5268483,2015-02-05,127
2016,3.7182724,2015-12-15,75
2017,7.3581347,2016-12-03,63
2018,5.3041224,2018-01-30,121
2019,3.862783,2018-11-04,34
2020,4.2866173,2019-11-05,35
2021,7.26575,2020-11-20,50
2022,4.1131263,2022-09-30,364
2023,7.7122345,2022-11-25,55
2024,4.755802,2024-09-30,365
2025,5.103873,2024-10-15,14
2026,4.314549,2025-12-05,65
2027,3.8787153,2027-09-30,364
2028,3.8761315,2027-10-01,0
2029,3.475573,2028-10-30,29
2030,3.4799635,2030-08-19,322
2031,3.8375523,2031-09-18,352
2032,3.3769941,2032-09-26,361
2033,5.056789,2033-09-18,352
2034,5.9041457,2034-09-30,364
2035,6.425122,2034-10-25,24
2036,4.4075756,2035-10-01,0
2037,4.779226,2037-08-18,321
2038,2.9923077,2037-10-01,0
2039,5.013238,2039-09-22,356
2040,5.056829,2039-10-03,2
2041,3.3250372,2040-10-03,2
2042,2.3640127,2042-07-14,286
2043,2.136866,2043-08-26,329
2044,3.4509308,2044-07-12,285
2045,2.5038843,2045-07-25,297
2046,6.194216,2046-07-08,280
2047,5.4568596,2047-07-26,298
2048,2.8944037,2048-07-15,288
2049,1.7151426,2049-06-15,257
2050,2.4948337,2050-07-21,293
2051,4.3278565,2051-05-16,227
2052,2.4816067,2052-07-11,284
2053,4.0446935,2053-06-10,252
2054,2.1887348,2054-06-15,257
2055,2.836273,2055-05-01,212
2056,1.2523453,2056-04-26,208
2057,3.7596698,2057-05-23,234
2058,2.1110542,2058-06-02,244
2059,1.9585801,2059-04-30,211
2060,1.1428621,2060-04-20,202
2061,4.1597695,2061-03-11,161
2062,5.2214174,2062-03-31,181
2063,1.7398082,2063-03-15,165
2064,2.8249717,2064-04-19,201
2065,2.2067995,2065-03-09,159
2066,4.0907683,2066-03-11,161
2067,0.8915802,2067-04-09,190
2068,1.545416,2068-02-17,139
2069,1.2657385,2069-02-23,145
2070,2.8497903,2070-02-19,141
2071,2.0697,2071-03-29,179
2072,3.8119059,2072-02-18,140
2073,2.3866026,2073-03-13,163
2074,1.564832,2074-02-17,139
2075,2.927665,2075-02-05,127
2076,3.0361843,2076-01-29,120
2077,1.4494687,2076-12-10,70
2078,1.373045,2078-01-01,92
2079,1.954914,2078-11-23,53
2080,1.0130011,2080-01-18,109
2081,1.9821203,2081-01-24,115
2082,0.57964724,2081-11-30,60
2083,0.8297021,2082-11-30,60
2084,1.646491,2084-01-02,93
2085,2.117832,2084-12-27,87
2086,1.2160244,2085-10-30,29
2087,0.91223216,2086-11-23,53
2088,0.6966687,2087-11-30,60
2089,0.49620798,2088-11-29,59
2090,0.5656425,2090-09-26,360
2091,0.6746537,2090-10-09,8
2092,0.70608455,2091-11-27,57
2093,0.7362735,2092-11-01,31
2094,1.1769882,2094-09-30,364
2095,1.2052594,2094-10-01,0
2096,1.2051111,2095-11-17,47
2097,1.147609,2097-09-30,364
