,maxval,maxdate,maxarg
1981,1.9552636,1981-03-21,171
1982,3.0841513,1982-02-07,129
1983,0.8041824,1983-04-20,201
1984,0.59797806,1984-01-30,121
1985,2.4411612,1985-03-02,152
1986,1.5026863,1986-02-19,141
1987,2.112535,1987-02-28,150
1988,1.1429694,1988-01-27,118
1989,0.4190262,1988-12-21,81
1990,2.6627686,1989-12-27,87
1991,1.5395862,1991-02-03,125
1992,2.113598,1992-01-02,93
1993,1.1911811,1992-12-01,61
1994,1.4429227,1994-09-30,364
1995,1.5582169,1994-12-25,85
1996,1.5757366,1996-01-10,101
1997,1.2289419,1996-11-06,36
1998,1.9381669,1997-12-29,89
1999,1.1211244,1998-11-03,33
2000,0.83433646,2000-01-02,93
2001,1.5727625,2001-09-27,361
2002,1.4889082,2001-11-12,42
2003,1.3862205,2002-11-30,60
2004,1.6463007,2003-11-30,60
2005,1.4300296,2004-10-01,0
2006,1.4256674,2005-11-11,41
2007,1.1323321,2006-11-06,36
2008,1.9421409,2008-09-21,356
2009,1.8341856,2008-10-01,0
2010,1.5543543,2010-09-07,341
2011,1.9358608,2010-10-25,24
2012,1.6670119,2012-09-10,345
2013,1.4026297,2012-10-04,3
2014,0.96820766,2013-12-05,65
2015,1.039491,2015-02-04,126
2016,1.0125023,2016-01-25,116
2017,1.9952617,2016-11-30,60
2018,1.103993,2017-11-01,31
2019,0.9487583,2019-01-04,95
2020,0.6564507,2020-09-30,365
2021,2.4720814,2020-11-01,31
2022,0.8045336,2022-09-30,364
2023,2.1758373,2022-11-23,53
2024,0.89269495,2024-01-05,96
2025,1.5175496,2025-09-23,357
2026,1.6949565,2025-12-01,61
2027,0.6002299,2027-09-30,364
2028,0.5942691,2027-10-01,0
2029,0.9476629,2028-11-04,34
2030,0.6445683,2030-08-07,310
2031,0.48964486,2031-09-17,351
2032,1.6226001,2032-09-26,361
2033,1.9742422,2033-09-17,351
2034,2.1122115,2033-10-08,7
2035,1.0456136,2034-10-26,25
2036,0.7779702,2036-08-22,326
2037,1.3661141,2037-09-15,349
2038,1.2942272,2038-09-25,359
2039,1.5590109,2039-08-11,314
2040,1.193293,2040-09-15,350
2041,0.80023336,2040-10-03,2
2042,0.3550903,2042-08-16,319
2043,0.6483483,2043-07-16,288
2044,0.7083879,2044-07-17,290
2045,0.6970223,2045-07-18,290
2046,1.3691418,2046-06-26,268
2047,1.6590703,2047-07-15,287
2048,1.667404,2048-07-16,289
2049,0.79366285,2049-06-23,265
2050,0.6958638,2050-07-25,297
2051,0.5201737,2051-06-16,258
2052,0.33628628,2052-06-11,254
2053,1.0698638,2053-04-12,193
2054,0.83012044,2054-06-18,260
2055,0.70247257,2055-05-24,235
2056,0.26994175,2056-03-03,154
2057,1.3548255,2057-07-10,282
2058,0.79194725,2058-05-12,223
2059,0.60512036,2059-04-29,210
2060,0.6551801,2060-04-20,202
2061,0.8332271,2061-05-27,238
2062,1.2447203,2062-03-30,180
2063,0.54640347,2063-04-19,200
2064,0.43926784,2064-04-04,186
2065,0.27315983,2065-03-27,177
2066,0.776553,2066-03-07,157
2067,0.4038985,2067-04-03,184
2068,0.46265426,2068-01-14,105
2069,0.32708737,2069-02-23,145
2070,0.689199,2070-02-22,144
2071,0.9144092,2071-01-11,102
2072,1.7320383,2072-02-18,140
2073,0.40166318,2073-02-09,131
2074,1.1822948,2074-02-16,138
2075,0.4567827,2075-01-08,99
2076,0.40095904,2076-01-20,111
2077,0.4274698,2077-02-12,134
2078,0.24153802,2077-12-21,81
2079,0.8656693,2079-01-07,98
2080,0.1995103,2080-01-16,107
2081,0.2908606,2080-10-14,13
2082,0.22891091,2081-11-14,44
2083,0.22603175,2082-11-16,46
2084,0.31562313,2083-12-03,63
2085,0.4834482,2084-10-12,11
2086,0.15807052,2085-10-28,27
2087,0.66501266,2086-11-23,53
2088,0.39456046,2087-12-05,65
2089,0.099684134,2088-12-06,66
2090,0.2841286,2090-09-26,360
2091,0.24857953,2090-10-01,0
2092,0.44424433,2091-12-12,72
2093,0.1572882,2093-09-27,361
2094,0.23968013,2094-09-30,364
2095,0.45600864,2094-10-17,16
2096,0.15763013,2095-10-18,17
2097,0.34369084,2097-09-28,362
