,maxval,maxdate,maxarg
1981,5.1579747,1981-03-20,170
1982,8.859913,1982-02-21,143
1983,4.448092,1983-01-23,114
1984,4.172752,1984-02-03,125
1985,5.9116416,1985-03-25,175
1986,3.4405222,1986-03-09,159
1987,4.6041555,1987-03-27,177
1988,4.857332,1988-01-27,118
1989,4.107408,1988-12-22,82
1990,4.7296696,1990-02-09,131
1991,3.639674,1991-02-03,125
1992,3.967957,1992-01-16,107
1993,5.1343374,1993-01-28,119
1994,5.5754476,1993-12-08,68
1995,5.317044,1995-01-15,106
1996,4.8681664,1996-01-11,102
1997,3.5695474,1996-11-18,48
1998,5.8502264,1997-12-04,64
1999,2.5169291,1998-11-08,38
2000,2.5040805,1999-12-10,70
2001,3.9388413,2001-09-30,364
2002,4.3426495,2002-09-30,364
2003,6.5626965,2002-12-01,61
2004,5.0582633,2003-11-02,32
2005,5.8941584,2005-09-30,364
2006,6.7894115,2005-11-17,47
2007,5.6874685,2006-10-13,12
2008,4.066901,2007-10-24,23
2009,4.263623,2009-09-28,362
2010,4.3120813,2009-10-07,6
2011,6.09324,2011-09-30,364
2012,6.002461,2011-10-01,0
2013,3.916556,2012-10-11,10
2014,3.9648597,2014-01-15,106
2015,4.563112,2014-12-18,78
2016,3.9286356,2016-01-29,120
2017,5.3907976,2016-12-03,63
2018,5.392925,2018-01-30,121
2019,3.8020043,2018-11-04,34
2020,3.1608493,2019-11-06,36
2021,5.508606,2020-12-17,77
2022,3.4531238,2022-01-04,95
2023,6.130528,2022-11-23,53
2024,3.2443368,2024-09-30,365
2025,4.9519835,2024-11-22,52
2026,3.1805215,2025-11-23,53
2027,4.3290935,2027-09-30,364
2028,5.031696,2027-11-23,53
2029,3.0858963,2028-10-29,28
2030,3.8044922,2030-09-15,349
2031,4.713282,2030-11-08,38
2032,3.9950943,2031-10-28,27
2033,4.193421,2033-09-22,356
2034,6.757388,2034-09-30,364
2035,7.759182,2034-10-10,9
2036,5.574412,2035-10-01,0
2037,3.5264726,2037-08-18,321
2038,3.3699818,2038-08-01,304
2039,4.1291933,2039-09-24,358
2040,4.4992266,2040-08-31,335
2041,4.0736465,2041-08-09,312
2042,2.629026,2042-07-12,284
2043,1.687995,2043-08-03,306
2044,3.87051,2044-07-12,285
2045,2.0808983,2045-08-17,320
2046,6.7613006,2046-07-12,284
2047,4.8417916,2047-07-24,296
2048,2.4090478,2048-06-08,251
2049,4.3183913,2049-06-04,246
2050,2.4878201,2050-07-21,293
2051,7.659624,2051-06-23,265
2052,2.2456737,2052-05-17,229
2053,5.3552437,2053-06-09,251
2054,2.4522715,2054-06-30,272
2055,3.0633268,2055-06-01,243
2056,1.7167281,2056-04-27,209
2057,3.8431218,2057-05-15,226
2058,3.0004342,2058-05-07,218
2059,3.6937814,2059-05-02,213
2060,2.3352356,2060-04-09,191
2061,2.2684205,2061-03-12,162
2062,3.85236,2062-04-01,182
2063,1.6256242,2063-04-02,183
2064,3.339646,2064-04-19,201
2065,4.025718,2065-04-06,187
2066,3.46276,2066-03-13,163
2067,1.8615041,2067-04-10,191
2068,1.2985096,2068-03-22,173
2069,1.3012435,2069-02-03,125
2070,2.342495,2070-02-26,148
2071,1.8076118,2071-02-02,124
2072,4.2769256,2072-02-24,146
2073,2.801902,2073-02-23,145
2074,2.5781791,2074-01-05,96
2075,2.9909365,2075-02-07,129
2076,3.176267,2076-01-30,121
2077,1.7406963,2077-02-19,141
2078,1.3061308,2078-01-09,100
2079,1.8888669,2079-01-22,113
2080,3.114325,2080-01-18,109
2081,2.9714804,2080-12-02,62
2082,1.1774628,2081-12-06,66
2083,1.6539998,2082-12-08,68
2084,2.77739,2083-12-15,75
2085,4.021132,2084-11-28,58
2086,1.9249703,2085-10-16,15
2087,1.1239812,2086-10-29,28
2088,0.96006083,2087-12-04,64
2089,1.338273,2088-10-28,27
2090,2.3084743,2090-09-25,359
2091,2.06636,2090-10-01,0
2092,1.6744262,2091-11-04,34
2093,1.7426599,2092-11-01,31
2094,1.694424,2094-09-30,364
2095,1.7461392,2094-10-01,0
2096,1.9357871,2095-11-23,53
2097,1.6618261,2097-08-16,319
