,maxval,maxdate,maxarg
1981,0.5778082,1981-01-08,99
1982,1.6699406,1982-02-04,126
1983,0.8513627,1982-11-11,41
1984,1.8005766,1984-04-21,203
1985,0.6184294,1985-04-03,184
1986,0.9759712,1986-03-09,159
1987,1.018544,1986-10-17,16
1988,0.53586644,1987-11-13,43
1989,1.1835928,1988-12-18,78
1990,1.9936117,1990-09-25,359
1991,2.2579517,1990-10-19,18
1992,1.4839212,1992-08-14,318
1993,1.3601874,1993-01-19,110
1994,0.97352654,1993-12-08,68
1995,1.3776305,1995-02-09,131
1996,1.1447355,1995-11-30,60
1997,0.67367667,1996-10-29,28
1998,0.8792576,1998-07-14,286
1999,0.648804,1999-01-03,94
2000,0.80387515,2000-08-21,325
2001,0.66621786,2001-09-30,364
2002,0.920302,2002-09-30,364
2003,1.4258002,2002-10-16,15
2004,0.8210897,2003-10-03,2
2005,0.7309679,2005-09-17,351
2006,0.9793649,2005-10-05,4
2007,1.1718473,2006-11-23,53
2008,0.6552005,2008-09-11,346
2009,0.78791165,2008-10-10,9
2010,1.075941,2009-10-07,6
2011,1.1663476,2011-07-26,298
2012,0.622626,2012-09-11,346
2013,0.39722186,2013-06-04,246
2014,0.9394811,2014-01-17,108
2015,0.56728274,2015-01-07,98
2016,1.207349,2016-01-26,117
2017,2.1985722,2017-09-30,364
2018,2.6134696,2017-10-19,18
2019,1.4302497,2019-01-10,101
2020,0.71322507,2019-12-15,75
2021,0.9918519,2020-10-15,14
2022,0.8323441,2021-12-19,79
2023,0.9189548,2022-12-11,71
2024,0.6570892,2024-01-03,94
2025,1.0426806,2024-12-07,67
2026,0.53281224,2025-10-04,3
2027,1.0195377,2027-09-12,346
2028,0.76332855,2027-10-18,17
2029,0.61598337,2029-09-27,361
2030,0.69878674,2029-11-17,47
2031,0.9882132,2031-09-17,351
2032,1.1827118,2031-10-18,17
2033,0.7292481,2033-08-05,308
2034,1.0998708,2034-09-30,364
2035,1.0911851,2034-10-01,0
2036,0.90614456,2035-10-19,18
2037,2.0485241,2037-09-14,348
2038,0.6485293,2038-08-16,319
2039,0.83801985,2039-09-24,358
2040,1.0544028,2039-10-04,3
2041,0.7412832,2041-07-25,297
2042,0.629843,2042-08-17,320
2043,0.5848332,2043-07-22,294
2044,0.44794875,2044-05-28,240
2045,0.7761521,2045-07-21,293
2046,1.4989401,2046-07-05,277
2047,0.9784696,2047-04-23,204
2048,1.1358968,2048-08-08,312
2049,1.2109365,2049-06-04,246
2050,0.6381596,2050-07-21,293
2051,1.0742626,2051-06-23,265
2052,0.6341442,2052-03-23,174
2053,1.0302992,2053-04-17,198
2054,1.074078,2054-06-07,249
2055,0.7866597,2055-04-17,198
2056,0.55142754,2056-04-23,205
2057,0.8497596,2057-06-09,251
2058,0.68856376,2058-06-05,247
2059,1.2807858,2059-04-14,195
2060,1.0231284,2060-04-10,192
2061,0.5968386,2061-05-15,226
2062,1.278559,2062-04-29,210
2063,0.7712458,2063-03-30,180
2064,1.0760168,2064-04-19,201
2065,1.6571047,2065-04-21,202
2066,1.8469452,2066-01-27,118
2067,0.6530202,2067-02-21,143
2068,1.011659,2068-04-10,192
2069,0.79945916,2069-04-01,182
2070,0.5415832,2070-02-26,148
2071,0.73667663,2071-01-14,105
2072,1.4585127,2072-02-20,142
2073,0.76249003,2073-02-22,144
2074,1.449996,2074-02-19,141
2075,0.7457103,2075-01-31,122
2076,0.56349224,2076-01-30,121
2077,1.1674377,2077-02-19,141
2078,0.96945876,2078-01-08,99
2079,3.0615075,2079-03-15,165
2080,0.98176,2080-01-08,99
2081,0.77431935,2080-10-16,15
2082,0.5429413,2081-12-05,65
2083,0.7134076,2082-12-01,61
2084,0.5746162,2084-01-26,117
2085,1.3671218,2084-12-23,83
2086,0.8791103,2085-10-16,15
2087,0.5872054,2086-12-05,65
2088,0.3046924,2087-11-21,51
2089,0.4421071,2088-10-23,22
2090,1.2631923,2090-08-19,322
2091,0.74674207,2091-01-01,92
2092,0.6335426,2091-11-25,55
2093,1.0624342,2092-12-12,72
2094,0.63923955,2094-09-23,357
2095,0.3218614,2094-11-08,38
2096,0.7463375,2095-10-07,6
2097,1.8258287,2097-08-16,319
