,maxval,maxdate,maxarg
1981,3.6989985,1981-03-23,173
1982,6.860051,1982-02-17,139
1983,2.4584236,1983-02-24,146
1984,2.1482453,1984-03-19,170
1985,3.8172488,1985-02-15,137
1986,3.0898318,1986-03-13,163
1987,5.3855224,1987-02-23,145
1988,3.3431418,1988-01-16,107
1989,1.7164649,1989-02-12,134
1990,4.286308,1989-12-24,84
1991,2.7454276,1991-02-04,126
1992,2.3327904,1992-01-23,114
1993,3.4583735,1992-12-04,64
1994,3.5387318,1994-09-29,363
1995,4.6432223,1994-12-27,87
1996,3.026946,1996-01-21,112
1997,2.2283103,1996-12-03,63
1998,4.0385866,1997-12-31,91
1999,3.5720956,1999-01-07,98
2000,1.986744,1999-11-17,47
2001,3.1038043,2001-09-29,363
2002,4.9290867,2001-12-28,88
2003,3.6353045,2002-12-01,61
2004,4.3846426,2003-10-23,22
2005,2.9523072,2004-10-22,21
2006,2.6888807,2006-08-12,315
2007,2.7925055,2007-08-28,331
2008,3.7664695,2008-08-27,331
2009,3.8746006,2009-09-28,362
2010,4.1035075,2009-10-07,6
2011,3.4886358,2010-11-09,39
2012,2.8245876,2012-09-11,346
2013,2.5912118,2013-07-02,274
2014,2.0237014,2014-01-18,109
2015,2.8929129,2015-01-23,114
2016,2.9507096,2016-01-27,118
2017,3.7302108,2016-12-01,61
2018,2.8414109,2017-11-03,33
2019,3.0564299,2019-02-02,124
2020,1.9375849,2020-09-30,365
2021,4.93072,2020-10-29,28
2022,2.92916,2021-12-28,88
2023,4.5945683,2022-11-16,46
2024,3.2496414,2024-09-07,342
2025,3.0971227,2025-09-26,360
2026,3.0045724,2025-10-01,0
2027,1.6505041,2027-09-12,346
2028,2.4982014,2027-11-19,49
2029,3.3852952,2028-11-08,38
2030,2.2608373,2030-08-07,310
2031,2.9535909,2031-09-28,362
2032,3.1738007,2031-10-19,18
2033,5.4985356,2033-09-30,364
2034,5.48898,2033-10-01,0
2035,3.2741694,2035-09-22,356
2036,3.2704232,2035-10-05,4
2037,3.1684804,2037-09-16,350
2038,3.9862497,2038-08-28,331
2039,3.6581507,2038-10-01,0
2040,2.7927077,2039-10-01,0
2041,1.3015846,2041-08-27,330
2042,1.7788343,2042-07-06,278
2043,3.1342475,2043-07-31,303
2044,1.645332,2044-07-07,280
2045,1.6760845,2045-08-16,319
2046,3.144486,2046-07-08,280
2047,4.904179,2047-07-16,288
2048,4.3533173,2048-07-18,291
2049,0.93586624,2049-06-23,265
2050,2.422414,2050-07-15,287
2051,2.2058744,2051-06-15,257
2052,1.7668787,2052-06-15,258
2053,3.1443741,2053-06-17,259
2054,3.3437686,2054-06-24,266
2055,2.1361818,2055-05-25,236
2056,0.8827152,2056-04-23,205
2057,2.6536028,2057-05-16,227
2058,1.9494659,2058-06-07,249
2059,1.4578387,2059-04-30,211
2060,1.5264807,2060-04-04,186
2061,1.341148,2061-02-27,149
2062,1.5202657,2062-05-19,230
2063,2.4629204,2063-04-19,200
2064,1.04373,2064-04-06,188
2065,1.7438096,2065-04-07,188
2066,2.5177467,2066-05-07,218
2067,1.2016695,2067-04-07,188
2068,1.7148637,2068-03-25,176
2069,0.5429835,2069-03-20,170
2070,1.7187557,2070-02-26,148
2071,2.0968816,2071-03-24,174
2072,5.3441753,2072-02-20,142
2073,1.3023205,2073-02-11,133
2074,2.783315,2074-02-17,139
2075,1.9557215,2075-01-29,120
2076,0.98957413,2076-01-06,97
2077,2.0419042,2077-02-13,135
2078,1.9339781,2078-01-08,99
2079,2.1723506,2079-01-11,102
2080,1.410448,2080-01-09,100
2081,1.724345,2081-01-07,98
2082,1.2713414,2081-12-02,62
2083,0.80818176,2083-01-21,112
2084,1.5348196,2083-12-31,91
2085,1.5911677,2084-12-23,83
2086,1.2286079,2086-01-02,93
2087,2.4024696,2086-12-06,66
2088,1.9065175,2087-12-07,67
2089,1.2487285,2088-12-07,67
2090,0.59686315,2090-09-21,355
2091,1.0039414,2090-10-05,4
2092,0.85276955,2092-09-30,365
2093,1.319501,2092-11-17,47
2094,1.0959598,2093-11-12,42
2095,1.4731632,2094-10-24,23
2096,0.79594433,2095-10-16,15
2097,1.3816105,2097-09-29,363
