,maxval,maxdate,maxarg
1981,8.872881,1981-03-23,173
1982,12.01887,1982-03-10,160
1983,4.9615564,1983-03-26,176
1984,4.5635705,1984-03-21,172
1985,9.918522,1985-03-04,154
1986,6.4110875,1986-02-25,147
1987,9.225655,1987-02-23,145
1988,5.443247,1988-01-18,109
1989,4.479311,1989-01-26,117
1990,8.415748,1990-02-20,142
1991,6.213435,1991-02-13,135
1992,8.151335,1992-01-23,114
1993,7.3797793,1993-01-19,110
1994,6.6501207,1993-12-08,68
1995,8.447099,1994-12-11,71
1996,6.5221853,1996-01-20,111
1997,7.0714426,1996-12-24,84
1998,8.84682,1997-12-31,91
1999,6.232695,1998-11-11,41
2000,3.7813315,1999-11-17,47
2001,5.582089,2000-12-16,76
2002,6.6759996,2001-12-31,91
2003,10.483278,2002-12-05,65
2004,6.9375167,2003-10-27,26
2005,6.700546,2004-10-25,24
2006,7.9654365,2005-11-17,47
2007,6.1359587,2006-10-24,23
2008,7.726471,2008-09-30,365
2009,7.898514,2008-10-12,11
2010,8.342181,2010-09-18,352
2011,9.506638,2010-11-22,52
2012,6.6361685,2011-10-01,0
2013,6.804001,2012-10-09,8
2014,6.6402235,2014-01-21,112
2015,8.208766,2015-01-28,119
2016,7.2104435,2016-01-28,119
2017,9.337247,2017-01-16,107
2018,5.853902,2018-01-31,122
2019,6.4819703,2019-01-10,101
2020,4.70652,2020-09-30,365
2021,11.747455,2020-12-04,64
2022,6.6280184,2021-12-22,82
2023,10.659671,2022-11-26,56
2024,6.300838,2024-09-29,364
2025,9.17715,2024-11-30,60
2026,5.193635,2025-11-27,57
2027,4.1587005,2026-11-14,44
2028,4.979634,2028-09-30,365
2029,8.94412,2028-11-15,45
2030,5.272259,2030-09-28,362
2031,5.537682,2030-10-20,19
2032,5.6372805,2032-09-27,362
2033,9.619169,2033-09-30,364
2034,10.614717,2033-10-15,14
2035,8.4490185,2035-09-23,357
2036,8.822126,2035-10-11,10
2037,8.053641,2037-09-16,350
2038,7.7632117,2038-09-11,345
2039,10.654158,2039-09-16,350
2040,10.157312,2039-10-01,0
2041,5.9304347,2041-08-28,331
2042,5.666101,2042-08-20,323
2043,7.276247,2043-08-27,330
2044,5.6524196,2044-07-22,295
2045,4.7374516,2045-08-17,320
2046,9.579194,2046-07-09,281
2047,8.509409,2047-08-09,312
2048,7.9881845,2048-07-18,291
2049,5.2542596,2049-06-23,265
2050,7.125046,2050-07-23,295
2051,5.581424,2051-07-03,275
2052,4.3610783,2052-06-13,256
2053,7.9567146,2053-06-17,259
2054,7.698839,2054-07-06,278
2055,5.667605,2055-06-13,255
2056,2.8340816,2056-05-31,243
2057,6.652058,2057-06-11,253
2058,5.9629707,2058-06-07,249
2059,4.9594827,2059-05-04,215
2060,5.25318,2060-05-24,236
2061,3.8952334,2061-04-15,196
2062,6.4176946,2062-04-15,196
2063,4.367944,2063-05-13,224
2064,4.076295,2064-04-20,202
2065,3.8770168,2065-04-07,188
2066,5.199196,2066-03-26,176
2067,3.9291859,2067-04-17,198
2068,5.1922917,2068-04-13,195
2069,2.317869,2069-05-01,212
2070,4.186527,2070-03-20,170
2071,5.4353747,2071-03-25,175
2072,9.041401,2072-02-22,144
2073,5.964628,2073-03-22,172
2074,5.7633605,2074-03-11,161
2075,5.4826937,2075-02-06,128
2076,5.1073728,2076-02-02,124
2077,5.2155843,2077-02-18,140
2078,5.00684,2078-02-01,123
2079,5.50778,2079-01-22,113
2080,4.325226,2080-01-20,111
2081,4.4286814,2081-01-15,106
2082,2.4525952,2082-01-05,96
2083,2.341155,2083-01-13,104
2084,4.9277925,2084-01-03,94
2085,4.817129,2084-12-30,90
2086,3.5863857,2086-01-01,92
2087,5.7757387,2087-01-15,106
2088,4.073671,2087-12-05,65
2089,3.7479296,2088-12-06,66
2090,2.2438233,2090-09-27,361
2091,4.1052303,2090-12-10,70
2092,3.892428,2092-09-30,365
2093,6.2587504,2092-11-16,46
2094,3.097918,2093-12-02,62
2095,4.006718,2094-11-28,58
2096,3.0582705,2095-10-24,23
2097,3.4092078,2097-09-30,364
