,maxval,maxdate,maxarg
1981,11.15822,1981-03-24,174
1982,11.96737,1982-02-21,143
1983,7.66533,1983-01-23,114
1984,5.4764333,1984-02-01,123
1985,11.903901,1985-03-07,157
1986,5.600626,1986-02-01,123
1987,7.762098,1987-01-31,122
1988,11.5378,1988-01-27,118
1989,4.600059,1988-12-22,82
1990,7.358031,1990-01-19,110
1991,6.241922,1990-12-09,69
1992,2.5684843,1992-01-21,112
1993,5.985396,1992-12-17,77
1994,7.9263334,1993-12-09,69
1995,11.990277,1995-01-15,106
1996,5.8802686,1996-01-09,100
1997,4.515044,1997-09-30,364
1998,10.765057,1997-12-04,64
1999,7.0055847,1998-11-08,38
2000,3.7176552,2000-09-22,357
2001,5.123197,2000-11-26,56
2002,5.6729918,2002-09-30,364
2003,6.8496585,2002-10-26,25
2004,7.57297,2003-11-02,32
2005,9.227461,2004-12-03,63
2006,8.842827,2006-09-30,364
2007,10.089494,2006-10-12,11
2008,6.8118987,2007-10-09,8
2009,5.1267986,2009-09-30,364
2010,7.6657963,2010-09-23,357
2011,7.14463,2011-09-30,364
2012,7.035714,2011-10-01,0
2013,4.39514,2012-10-12,11
2014,3.2445443,2013-12-05,65
2015,5.887585,2014-11-30,60
2016,4.334898,2015-12-02,62
2017,6.151061,2016-12-04,64
2018,8.977217,2017-11-03,33
2019,7.1138635,2018-11-04,34
2020,4.1194854,2019-11-05,35
2021,8.23959,2020-11-06,36
2022,3.3515873,2022-09-14,348
2023,10.307165,2022-11-26,56
2024,6.2887883,2024-09-13,348
2025,5.596739,2025-09-29,363
2026,5.610121,2025-10-02,1
2027,5.728032,2027-09-30,364
2028,5.842645,2027-10-29,28
2029,0.9680558,2029-08-20,323
2030,5.1178513,2030-09-19,353
2031,5.327599,2031-09-18,352
2032,5.1837687,2031-10-27,26
2033,5.0498576,2033-09-21,355
2034,6.14914,2034-09-19,353
2035,6.2815003,2034-10-24,23
2036,2.9787145,2035-10-01,0
2037,3.443413,2037-06-23,265
2038,2.4347558,2038-06-16,258
2039,2.5398731,2039-09-22,356
2040,3.8957562,2040-08-08,312
2041,2.620969,2041-06-27,269
2042,2.5125928,2042-07-09,281
2043,1.2515998,2043-05-10,221
2044,2.245869,2044-05-31,243
2045,1.7827023,2045-07-26,298
2046,6.4410267,2046-07-08,280
2047,3.7161798,2047-07-22,294
2048,1.9123815,2048-06-20,263
2049,1.8886542,2049-06-02,244
2050,1.7218496,2050-06-25,267
2051,7.980265,2051-06-22,264
2052,1.4906151,2052-05-01,213
2053,5.507748,2053-04-25,206
2054,0.8646446,2054-04-08,189
2055,2.6715724,2055-05-01,212
2056,1.1636776,2056-03-03,154
2057,3.1984444,2057-05-22,233
2058,1.188967,2058-05-06,217
2059,1.5267304,2059-05-01,212
2060,0.5581489,2060-04-08,190
2061,2.3802998,2061-03-11,161
2062,3.4367142,2062-04-01,182
2063,2.847142,2063-02-16,138
2064,1.442926,2064-02-10,132
2065,4.4282827,2065-03-13,163
2066,4.188276,2066-03-11,161
2067,1.0326375,2067-04-10,191
2068,0.7360838,2068-03-05,156
2069,0.44475105,2069-01-18,109
2070,3.775118,2070-03-05,155
2071,0.9527011,2071-02-03,125
2072,4.374709,2072-02-22,144
2073,1.3589869,2073-02-22,144
2074,1.5625262,2074-01-05,96
2075,2.4979498,2075-02-07,129
2076,2.1055954,2076-01-17,108
2077,0.3940134,2076-12-14,74
2078,1.2895641,2078-01-08,99
2079,1.1486768,2078-11-26,56
2080,1.9580652,2080-01-19,110
2081,1.5342152,2080-11-29,59
2082,0.26939502,2081-11-25,55
2083,0.5342909,2082-11-21,51
2084,1.0272864,2083-12-15,75
2085,3.2810688,2084-11-27,57
2086,1.4386953,2085-10-15,14
2087,0.28668207,2086-10-29,28
2088,0.44748896,2087-10-26,25
2089,0.09518803,2088-11-19,49
2090,1.881763,2089-10-28,27
2091,0.16333666,2090-12-31,91
2092,0.4457432,2092-09-16,351
2093,0.30770922,2092-11-01,31
2094,0.4834404,2094-09-30,364
2095,0.66982126,2095-07-12,284
2096,0.630708,2095-11-12,42
2097,1.2107903,2097-08-28,331
