,maxval,maxdate,maxarg
1981,0.9992499,1981-01-31,122
1982,1.7289511,1982-01-06,97
1983,0.76587194,1983-01-21,112
1984,0.6476766,1984-01-17,108
1985,1.8404807,1985-01-12,103
1986,1.0285475,1986-01-01,92
1987,2.0240579,1987-01-16,107
1988,0.8388187,1987-12-12,72
1989,0.89173424,1988-12-22,82
1990,1.7166957,1989-12-29,89
1991,0.8340834,1990-11-03,33
1992,0.5204507,1992-01-22,113
1993,1.6148059,1992-12-03,63
1994,1.8811276,1994-09-30,364
1995,2.5107815,1994-10-31,30
1996,0.89861083,1995-10-28,27
1997,1.5592684,1997-09-30,364
1998,1.7787429,1997-10-04,3
1999,1.4097532,1998-11-08,38
2000,0.60601515,1999-11-16,46
2001,1.1605921,2001-09-27,361
2002,1.2564847,2001-10-07,6
2003,0.6051748,2003-09-30,364
2004,1.4081736,2004-09-07,342
2005,1.082784,2005-08-20,323
2006,1.0929961,2006-08-12,315
2007,1.217099,2007-08-31,334
2008,1.8458307,2008-08-16,320
2009,0.6061008,2008-10-01,0
2010,1.3198242,2010-08-28,331
2011,1.0050719,2011-09-05,339
2012,1.1137841,2012-07-18,291
2013,0.4472744,2013-07-05,277
2014,1.6866295,2013-12-02,62
2015,0.82862705,2014-11-19,49
2016,1.5522032,2015-11-08,38
2017,1.189636,2016-12-01,61
2018,1.0609062,2017-11-02,32
2019,1.0055164,2018-10-14,13
2020,0.5320849,2020-09-30,365
2021,1.6867403,2020-11-02,32
2022,0.49503514,2021-11-22,52
2023,1.1429983,2022-10-29,28
2024,1.4603924,2024-09-07,342
2025,1.3463979,2025-09-23,357
2026,1.2543166,2025-10-01,0
2027,0.79777795,2027-09-13,347
2028,0.6939626,2027-10-06,5
2029,0.46474454,2029-09-17,351
2030,1.4308391,2030-08-12,315
2031,1.264534,2031-09-18,352
2032,0.4466521,2031-10-20,19
2033,0.81041396,2033-09-18,352
2034,1.0962772,2034-07-19,291
2035,1.0885168,2035-09-22,356
2036,0.48375103,2035-10-01,0
2037,1.1413699,2037-07-22,294
2038,0.58493406,2038-08-27,330
2039,0.3998923,2039-07-30,302
2040,1.1347405,2040-08-06,310
2041,0.5052112,2041-05-15,226
2042,0.48400748,2042-07-06,278
2043,0.42250016,2043-05-07,218
2044,0.6562343,2044-05-30,242
2045,0.42074332,2045-07-20,292
2046,0.7876832,2046-06-29,271
2047,0.7752843,2047-06-06,248
2048,0.944141,2048-06-02,245
2049,0.2947972,2049-05-07,218
2050,0.33900613,2050-03-28,178
2051,0.97055924,2051-05-02,213
2052,0.36517432,2052-03-22,173
2053,1.4515291,2053-04-17,198
2054,0.6947539,2054-04-08,189
2055,0.8546174,2055-03-12,162
2056,0.646856,2056-04-25,207
2057,0.9676014,2057-05-16,227
2058,0.29557168,2058-03-23,173
2059,0.16637525,2059-04-24,205
2060,0.4746061,2060-04-05,187
2061,1.0456853,2061-03-12,162
2062,1.0062474,2062-02-01,123
2063,0.58726656,2063-03-15,165
2064,0.38971782,2064-02-02,124
2065,0.5996264,2065-03-07,157
2066,0.7254464,2066-02-18,140
2067,0.19544694,2067-03-23,173
2068,0.3979981,2068-01-16,107
2069,0.18036686,2069-01-18,109
2070,0.5196927,2070-02-07,129
2071,1.0912571,2071-01-12,103
2072,1.2868766,2072-02-19,141
2073,0.33994675,2073-02-11,133
2074,0.70858467,2074-01-17,108
2075,0.28416738,2075-01-30,121
2076,0.20312972,2076-01-03,94
2077,0.5540936,2076-12-11,71
2078,0.5658055,2077-11-20,50
2079,0.58470464,2078-11-25,55
2080,0.20532444,2079-12-26,86
2081,0.34865293,2080-10-15,14
2082,0.12957092,2081-12-01,61
2083,0.22517587,2082-11-30,60
2084,0.18067814,2083-12-30,90
2085,0.49073085,2084-10-14,13
2086,0.33587167,2085-10-29,28
2087,0.23553725,2086-11-26,56
2088,0.20647109,2087-11-30,60
2089,0.12877321,2089-09-29,363
2090,0.12310295,2089-10-01,0
2091,0.124401405,2091-09-01,335
2092,0.08469812,2091-11-25,55
2093,0.13809063,2093-09-27,361
2094,0.14798845,2094-09-30,364
2095,0.17862132,2094-10-18,17
2096,0.09997429,2096-09-04,339
2097,0.27077824,2097-08-16,319
