,maxval,maxdate,maxarg
1981,6.4121222,1981-03-23,173
1982,8.924259,1982-03-10,160
1983,4.2866974,1983-02-24,146
1984,4.274591,1984-03-19,170
1985,6.200415,1985-02-15,137
1986,5.456978,1986-03-15,165
1987,8.3678255,1987-02-23,145
1988,4.402321,1988-01-18,109
1989,3.5013225,1989-02-22,144
1990,6.5578933,1990-02-21,143
1991,4.964183,1991-02-04,126
1992,3.6143875,1992-01-23,114
1993,5.297538,1993-01-19,110
1994,4.998395,1994-09-29,363
1995,7.5180864,1995-01-26,117
1996,4.332429,1995-12-28,88
1997,4.2661667,1996-12-15,75
1998,6.821192,1998-01-01,92
1999,5.899674,1998-12-22,82
2000,2.8600252,1999-11-17,47
2001,3.504544,2001-09-28,362
2002,8.996176,2001-12-28,88
2003,6.2012906,2002-12-07,67
2004,5.791603,2003-12-02,62
2005,4.1348214,2004-10-22,21
2006,4.4878693,2005-11-13,43
2007,3.907196,2007-09-21,355
2008,5.2159066,2008-09-30,365
2009,6.7299166,2009-09-28,362
2010,7.172477,2009-10-13,12
2011,6.590361,2010-11-10,40
2012,4.371745,2012-09-11,346
2013,4.0463414,2012-10-01,0
2014,4.1937714,2014-01-21,112
2015,4.8211975,2015-01-23,114
2016,4.9262624,2016-02-08,130
2017,5.837597,2017-01-14,105
2018,3.9835389,2017-11-25,55
2019,5.7551155,2019-02-02,124
2020,2.9061959,2020-09-30,365
2021,7.397686,2020-11-22,52
2022,5.40254,2021-12-28,88
2023,7.3911953,2022-12-26,86
2024,4.559675,2023-12-17,77
2025,4.889661,2024-11-20,50
2026,3.0400171,2025-10-18,17
2027,2.538315,2027-09-29,363
2028,3.7608213,2028-09-30,365
2029,6.348292,2028-11-15,45
2030,3.3875747,2030-09-10,344
2031,5.2267776,2031-09-28,362
2032,5.367509,2031-10-21,20
2033,8.374846,2033-09-30,364
2034,8.524463,2033-10-10,9
2035,4.979221,2035-09-23,357
2036,5.3687305,2035-10-09,8
2037,5.153093,2037-09-16,350
2038,5.833015,2038-09-27,361
2039,5.748506,2038-10-01,0
2040,4.2119584,2039-10-01,0
2041,2.3010216,2041-08-28,331
2042,3.0758052,2042-08-18,321
2043,5.148524,2043-08-27,330
2044,2.753705,2044-07-19,292
2045,3.2167802,2045-08-16,319
2046,4.808428,2046-07-09,281
2047,7.759,2047-07-16,288
2048,6.602266,2048-07-18,291
2049,1.4291277,2049-06-23,265
2050,3.9119313,2050-07-16,288
2051,3.6360562,2051-06-15,257
2052,3.1959212,2052-06-17,260
2053,5.145978,2053-06-17,259
2054,5.995675,2054-06-24,266
2055,4.042237,2055-06-14,256
2056,1.6470228,2056-04-24,206
2057,4.3173447,2057-06-11,253
2058,3.4325278,2058-06-07,249
2059,2.770604,2059-04-30,211
2060,2.742269,2060-05-18,230
2061,1.8313849,2061-03-12,162
2062,2.320966,2062-04-01,182
2063,4.034591,2063-04-19,200
2064,1.3832483,2064-04-20,202
2065,2.7119577,2065-03-08,158
2066,3.656503,2066-05-08,219
2067,1.9681805,2067-02-25,147
2068,2.880528,2068-03-19,170
2069,1.8433182,2069-03-17,167
2070,2.897678,2070-03-03,153
2071,3.5210593,2071-03-24,174
2072,7.9985905,2072-03-10,161
2073,2.2978182,2073-02-12,134
2074,4.7164116,2074-03-12,162
2075,3.3382795,2075-02-01,123
2076,1.4191772,2076-01-06,97
2077,3.028146,2077-01-08,99
2078,3.0401022,2078-02-27,149
2079,3.8744376,2079-01-12,103
2080,2.5027955,2080-01-30,121
2081,2.3843508,2081-01-07,98
2082,2.7030833,2081-12-21,81
2083,1.4498173,2082-12-27,87
2084,2.1376727,2083-12-31,91
2085,2.412846,2084-12-23,83
2086,1.8181444,2086-01-04,95
2087,2.9499216,2086-12-07,67
2088,2.8962643,2087-12-07,67
2089,2.6762738,2088-12-07,67
2090,1.0456161,2089-12-14,74
2091,2.0164056,2090-11-08,38
2092,1.465601,2092-09-30,365
2093,2.234498,2092-11-17,47
2094,1.9814453,2093-11-13,43
2095,2.5372107,2094-10-24,23
2096,1.4630648,2095-10-16,15
2097,2.3003228,2097-09-29,363
