,maxval,maxdate,maxarg
1981,1.1689237,1981-03-22,172
1982,2.4137206,1982-02-08,130
1983,0.37732497,1983-01-21,112
1984,0.4676954,1984-01-30,121
1985,1.321101,1984-12-09,69
1986,1.0988283,1986-02-06,128
1987,1.9882418,1987-01-14,105
1988,0.9259872,1987-12-31,91
1989,0.5157816,1988-12-21,81
1990,2.143216,1989-12-29,89
1991,0.77138263,1990-12-22,82
1992,1.1712186,1991-12-31,91
1993,1.5359241,1992-12-03,63
1994,2.0065212,1994-09-30,364
1995,1.9886584,1994-10-01,0
1996,1.0207194,1995-12-24,84
1997,1.4191345,1997-09-20,354
1998,1.4969792,1997-12-29,89
1999,1.0758512,1998-11-03,33
2000,0.6470776,1999-11-16,46
2001,1.8520349,2001-09-27,361
2002,1.7732493,2001-10-07,6
2003,0.911833,2002-12-01,61
2004,1.376488,2004-09-05,340
2005,0.88986826,2004-10-01,0
2006,1.0070311,2006-08-11,314
2007,0.56486803,2007-08-28,331
2008,1.8025721,2008-08-23,327
2009,1.1926361,2008-10-01,0
2010,1.2384143,2010-07-24,296
2011,1.1749636,2010-10-25,24
2012,1.1552386,2012-08-23,327
2013,0.8160394,2012-10-03,2
2014,0.92920536,2013-12-05,65
2015,0.84786916,2014-11-19,49
2016,0.9905465,2015-10-31,30
2017,1.3493297,2016-12-01,61
2018,1.0039828,2017-11-01,31
2019,0.60741234,2018-10-13,12
2020,0.52494735,2020-09-30,365
2021,1.7344791,2020-11-01,31
2022,0.77579004,2021-11-21,51
2023,1.4672486,2022-10-25,24
2024,1.046458,2023-12-14,74
2025,1.5041448,2025-09-21,355
2026,1.1440718,2025-10-01,0
2027,0.6833648,2027-08-25,328
2028,0.48889944,2027-10-01,0
2029,0.72737646,2028-10-27,26
2030,0.8496699,2030-08-12,315
2031,0.75965995,2031-09-18,352
2032,1.156299,2032-09-22,357
2033,1.5636019,2033-09-18,352
2034,1.4201033,2033-10-09,8
2035,0.98618674,2035-09-21,355
2036,0.6435327,2035-10-01,0
2037,1.045976,2037-07-22,294
2038,1.114774,2038-09-02,336
2039,0.97820306,2038-10-08,7
2040,0.9244677,2040-08-05,309
2041,0.39199352,2041-05-14,225
2042,0.4360358,2042-08-16,319
2043,0.61485475,2043-07-17,289
2044,0.48302963,2044-05-29,241
2045,0.7533317,2045-07-18,290
2046,0.9897426,2046-06-28,270
2047,1.4029562,2047-07-15,287
2048,1.5510588,2048-07-05,278
2049,0.64728284,2048-10-01,0
2050,0.7641556,2050-07-19,291
2051,0.557979,2051-04-30,211
2052,0.3825549,2052-03-21,172
2053,1.1865412,2053-04-11,192
2054,0.7636369,2054-06-18,260
2055,0.594338,2055-05-23,234
2056,0.4718701,2056-03-03,154
2057,1.088694,2057-05-16,227
2058,0.6695808,2058-06-05,247
2059,0.39772826,2059-04-29,210
2060,0.5076473,2060-04-05,187
2061,0.6598761,2061-02-28,150
2062,0.85755956,2062-04-14,195
2063,0.5907816,2063-05-08,219
2064,0.5190646,2064-01-31,122
2065,0.28289387,2065-03-27,177
2066,0.52504,2066-03-07,157
2067,0.44229048,2067-03-23,173
2068,0.54543823,2068-01-14,105
2069,0.42881426,2069-05-12,223
2070,0.61881053,2070-02-25,147
2071,1.0156802,2071-01-11,102
2072,1.7334834,2072-02-18,140
2073,0.4055564,2073-02-10,132
2074,1.129034,2074-02-16,138
2075,0.2603722,2075-01-03,94
2076,0.4789449,2076-01-29,120
2077,0.5154811,2077-02-12,134
2078,0.38668963,2077-11-17,47
2079,0.6441365,2079-01-08,99
2080,0.26179528,2079-12-24,84
2081,0.62106943,2080-10-14,13
2082,0.22884044,2081-11-10,40
2083,0.259768,2082-11-16,46
2084,0.22969277,2083-12-29,89
2085,0.46141064,2084-10-13,12
2086,0.27518386,2085-10-29,28
2087,0.7491978,2086-11-23,53
2088,0.5839473,2087-11-30,60
2089,0.20215155,2089-09-30,364
2090,0.30876157,2089-10-01,0
2091,0.29878265,2090-11-30,60
2092,0.16275936,2091-12-12,72
2093,0.31602967,2093-09-27,361
2094,0.32172874,2093-10-17,16
2095,0.3643562,2094-11-22,52
2096,0.09444489,2096-09-03,338
2097,0.24419287,2097-08-13,316
