,maxval,maxdate,maxarg
1981,0.7440308,1980-12-24,84
1982,0.8690047,1982-02-11,133
1983,0.83548975,1982-10-28,27
1984,0.9061952,1984-01-04,95
1985,0.42654416,1985-01-30,121
1986,0.514348,1986-01-06,97
1987,0.57795465,1986-12-30,90
1988,0.4843716,1987-12-03,63
1989,1.0732143,1988-11-18,48
1990,0.83968943,1990-01-30,121
1991,0.3235943,1990-11-27,57
1992,0.39844465,1991-11-18,48
1993,0.579775,1992-10-06,5
1994,0.90565014,1993-10-20,19
1995,0.36912987,1994-10-26,25
1996,0.6445821,1996-09-26,361
1997,0.54890466,1996-11-16,46
1998,0.3301147,1997-12-31,91
1999,0.90648824,1998-11-13,43
2000,0.6156337,2000-09-07,342
2001,0.86655074,2001-09-25,359
2002,1.0643082,2001-12-06,66
2003,0.39758003,2003-09-15,349
2004,1.085019,2003-10-19,18
2005,0.19128819,2005-09-04,338
2006,0.58770007,2006-08-12,315
2007,0.63894683,2007-08-08,311
2008,0.5945228,2008-07-17,290
2009,1.0238074,2009-08-24,327
2010,0.6145793,2010-06-30,272
2011,0.5788141,2011-08-04,307
2012,0.848307,2012-07-18,291
2013,0.51766944,2013-06-28,270
2014,0.27463222,2014-01-18,109
2015,0.20595774,2015-09-30,364
2016,0.83367556,2015-11-10,40
2017,0.44030192,2016-10-19,18
2018,0.62057877,2017-10-05,4
2019,0.7759017,2019-01-12,103
2020,0.6491124,2019-11-08,38
2021,0.36157334,2020-11-22,52
2022,0.44789377,2021-10-21,20
2023,0.6059219,2022-11-15,45
2024,0.47219655,2023-11-06,36
2025,0.77805424,2025-09-20,354
2026,0.4531291,2025-10-01,0
2027,0.948512,2027-08-15,318
2028,0.4169236,2027-10-20,19
2029,0.62367624,2029-09-18,352
2030,0.6740796,2030-08-01,304
2031,0.37650114,2031-09-14,348
2032,0.5744251,2032-07-20,293
2033,1.15961,2033-08-05,308
2034,0.42162284,2034-08-24,327
2035,0.2253502,2035-06-25,267
2036,0.5157609,2036-06-27,270
2037,0.31653088,2037-07-05,277
2038,0.53789246,2038-08-20,323
2039,0.22901347,2039-07-31,303
2040,0.30604118,2040-08-06,310
2041,0.13384676,2041-05-11,222
2042,0.4711518,2042-07-04,276
2043,0.27848306,2043-07-17,289
2044,0.5364505,2044-07-07,280
2045,0.31264487,2045-06-10,252
2046,0.23661579,2046-05-27,238
2047,0.6515695,2047-04-19,200
2048,0.34543526,2048-07-02,275
2049,0.06090128,2049-05-08,219
2050,0.36202016,2050-06-21,263
2051,0.43798894,2051-05-01,212
2052,0.14820336,2052-04-20,202
2053,0.8205006,2053-04-12,193
2054,0.6323568,2054-04-25,206
2055,0.26114884,2055-04-19,200
2056,0.24094453,2056-03-05,156
2057,0.45086324,2057-04-05,186
2058,0.13370964,2058-03-02,152
2059,0.17225282,2059-04-11,192
2060,0.25285828,2060-04-03,185
2061,0.24552526,2061-03-11,161
2062,0.26184884,2062-03-22,172
2063,0.5587359,2063-03-27,177
2064,0.23382139,2064-04-05,187
2065,0.14606607,2065-02-09,131
2066,0.15617914,2066-03-09,159
2067,0.026078787,2067-04-07,188
2068,0.10942445,2068-01-15,106
2069,0.08861697,2069-03-21,171
2070,0.29318613,2070-02-03,125
2071,0.122927405,2071-01-12,103
2072,0.6033185,2072-02-13,135
2073,0.8617182,2072-12-26,86
2074,0.3652736,2074-01-17,108
2075,0.2744638,2075-01-29,120
2076,0.05953619,2076-01-05,96
2077,0.4547876,2077-01-08,99
2078,0.25209013,2077-11-16,46
2079,0.22819641,2078-12-09,69
2080,0.2108934,2080-01-01,92
2081,0.057906974,2080-11-09,39
2082,0.27321908,2081-11-13,43
2083,0.09625717,2082-10-19,18
2084,0.0737895,2083-12-30,90
2085,0.16042441,2084-11-13,43
2086,0.14189851,2085-12-06,66
2087,0.342459,2086-12-05,65
2088,0.80282867,2087-12-18,78
2089,0.035101723,2088-12-08,68
2090,0.13762903,2089-10-04,3
2091,0.29716802,2090-10-03,2
2092,0.02939407,2091-11-22,52
2093,0.11527675,2093-09-28,362
2094,0.14216559,2093-11-12,42
2095,0.10555979,2094-10-24,23
2096,0.097899176,2096-08-13,317
2097,0.26714173,2096-10-23,22
