,maxval,maxdate,maxarg
1981,1.4156833,1981-03-19,169
1982,4.8907766,1982-03-06,156
1983,1.411927,1983-01-23,114
1984,1.235598,1984-04-20,202
1985,1.7646976,1985-03-08,158
1986,1.2227242,1986-02-05,127
1987,1.4103508,1987-01-05,96
1988,1.7113051,1988-01-25,116
1989,1.6560287,1988-12-21,81
1990,2.6861644,1989-12-29,89
1991,1.6520021,1991-01-06,97
1992,1.0628908,1992-01-16,107
1993,1.6497468,1992-12-15,75
1994,1.7687635,1993-12-08,68
1995,1.7731892,1994-11-28,58
1996,1.5332434,1995-11-29,59
1997,1.0287795,1997-09-30,364
1998,2.283985,1997-11-26,56
1999,1.0081493,1998-11-22,52
2000,1.2405798,1999-11-22,52
2001,2.018059,2001-09-29,363
2002,2.0593076,2001-10-06,5
2003,1.7515424,2002-11-11,41
2004,2.338872,2003-11-02,32
2005,2.1179585,2005-09-16,350
2006,2.5380974,2005-10-06,5
2007,1.3427435,2006-10-03,2
2008,2.5821679,2008-08-25,329
2009,1.9768255,2008-10-17,16
2010,1.5436018,2010-08-06,309
2011,1.4997268,2011-09-29,363
2012,1.404928,2012-08-19,323
2013,1.8546404,2012-11-29,59
2014,1.1651813,2013-12-23,83
2015,2.3271468,2014-12-18,78
2016,0.7185628,2016-01-09,100
2017,2.15747,2016-12-02,62
2018,1.9963923,2017-11-01,31
2019,1.364327,2018-10-13,12
2020,1.4919472,2020-09-30,365
2021,2.3140426,2020-11-01,31
2022,1.3893728,2022-01-03,94
2023,2.4482284,2022-10-31,30
2024,1.237642,2024-09-11,346
2025,1.5859199,2024-11-06,36
2026,1.4917251,2025-11-10,40
2027,1.3539871,2026-10-15,14
2028,1.9784843,2028-08-26,330
2029,0.7510812,2028-10-29,28
2030,0.8178578,2030-09-09,343
2031,1.3271216,2031-09-17,351
2032,1.333681,2031-10-28,27
2033,2.64414,2033-09-25,359
2034,1.5779369,2034-09-02,336
2035,2.35733,2034-10-10,9
2036,2.3333924,2036-08-23,327
2037,1.6805668,2037-08-18,321
2038,2.1256843,2038-08-18,321
2039,1.6149677,2039-09-24,358
2040,1.7614424,2040-09-17,352
2041,2.064922,2041-08-09,312
2042,1.4045041,2042-07-12,284
2043,1.750103,2043-05-09,220
2044,0.8852742,2044-07-30,303
2045,1.3901572,2045-08-16,319
2046,3.5129132,2046-07-13,285
2047,1.5441716,2047-07-24,296
2048,1.9480808,2048-06-23,266
2049,2.3743308,2049-06-22,264
2050,1.3683093,2050-06-26,268
2051,2.6590788,2051-05-20,231
2052,1.4384618,2052-05-20,232
2053,1.118181,2053-04-28,209
2054,0.7418636,2054-06-14,256
2055,1.2243906,2055-05-01,212
2056,0.5762712,2056-03-02,153
2057,1.5244696,2057-05-13,224
2058,2.3094268,2058-05-12,223
2059,1.2338853,2059-04-29,210
2060,2.1803906,2060-04-10,192
2061,1.0608912,2061-04-30,211
2062,2.1436622,2062-05-03,214
2063,1.1005954,2063-04-04,185
2064,1.5348839,2064-05-09,221
2065,1.4466574,2065-04-05,186
2066,2.2961705,2066-03-07,157
2067,1.1394597,2067-04-01,182
2068,0.9119185,2068-03-23,174
2069,0.631434,2069-02-03,125
2070,1.090186,2070-02-26,148
2071,0.92175215,2071-02-25,147
2072,3.211181,2072-02-25,147
2073,1.6474248,2073-03-01,151
2074,1.0233145,2074-02-23,145
2075,1.4985465,2075-03-08,158
2076,2.9167337,2076-01-21,112
2077,1.2181339,2077-02-21,143
2078,1.4093039,2078-01-07,98
2079,0.99812025,2078-11-18,48
2080,1.7423646,2080-01-18,109
2081,2.6761277,2080-12-03,63
2082,0.9153655,2081-12-29,89
2083,0.55241954,2082-11-30,60
2084,2.0268347,2083-11-02,32
2085,3.1325905,2084-12-05,65
2086,1.4477499,2085-10-16,15
2087,0.85693574,2086-12-11,71
2088,1.0970788,2087-12-02,62
2089,0.95672905,2088-10-28,27
2090,1.5830778,2089-10-29,28
2091,1.0813068,2090-10-01,0
2092,2.0066247,2092-09-30,365
2093,2.0444808,2092-10-04,3
2094,1.5722736,2094-08-11,314
2095,0.96069926,2094-10-01,0
2096,1.7515148,2095-11-23,53
2097,0.9351139,2097-08-15,318
