,maxval,maxdate,maxarg
1981,11.2463255,1981-03-24,174
1982,8.501767,1982-02-19,141
1983,5.4735684,1983-01-21,112
1984,1.9939424,1984-01-31,122
1985,8.591582,1985-03-24,174
1986,4.082241,1986-02-04,126
1987,7.4000316,1987-03-11,161
1988,10.512644,1988-01-27,118
1989,2.4067433,1989-02-03,125
1990,7.155159,1990-01-19,110
1991,3.8777266,1990-11-03,33
1992,2.0247004,1992-01-04,95
1993,4.6653457,1992-12-04,64
1994,5.4247937,1993-12-08,68
1995,9.3588085,1995-01-02,93
1996,3.9943855,1996-01-19,110
1997,3.791659,1997-09-30,364
1998,4.753226,1997-12-04,64
1999,6.939341,1998-11-08,38
2000,2.2702482,1999-11-16,46
2001,3.5808587,2001-09-27,361
2002,5.1911373,2002-08-26,329
2003,3.907525,2002-10-26,25
2004,5.536466,2003-11-02,32
2005,5.3727627,2004-12-02,62
2006,4.6926484,2006-09-29,363
2007,4.9445124,2006-11-07,37
2008,5.2851443,2008-08-26,330
2009,3.8170176,2008-10-01,0
2010,6.6660075,2010-09-08,342
2011,6.119112,2010-10-27,26
2012,4.538549,2012-08-23,327
2013,2.6355517,2012-10-10,9
2014,4.2105007,2013-12-07,67
2015,3.546284,2015-02-09,131
2016,2.284571,2015-10-30,29
2017,5.2424674,2016-12-01,61
2018,6.958804,2017-11-02,32
2019,5.1196356,2018-11-03,33
2020,2.9879348,2019-10-13,12
2021,6.755287,2020-11-03,33
2022,3.235607,2022-09-11,345
2023,9.092602,2022-11-25,55
2024,3.9227805,2024-09-12,347
2025,2.8253937,2025-09-20,354
2026,5.2730823,2025-12-01,61
2027,3.0695906,2027-09-11,345
2028,3.1826882,2027-11-21,51
2029,0.9749957,2028-10-29,28
2030,3.077212,2030-08-17,320
2031,4.0928493,2031-09-17,351
2032,3.1433518,2031-10-26,25
2033,3.5592053,2033-09-18,352
2034,2.9104314,2033-10-01,0
2035,3.2540812,2034-10-25,24
2036,1.5785317,2036-08-22,326
2037,5.1680202,2037-06-22,264
2038,1.2646734,2038-06-12,254
2039,2.7304726,2039-09-22,356
2040,2.4531553,2039-10-14,13
2041,1.593445,2040-10-09,8
2042,0.60663676,2042-05-31,242
2043,1.1328437,2043-05-07,218
2044,1.4429913,2044-05-28,240
2045,2.8090532,2045-07-25,297
2046,9.610358,2046-07-04,276
2047,5.3906875,2047-07-24,296
2048,1.4293412,2048-06-15,258
2049,1.4791327,2049-04-04,185
2050,1.0423346,2050-07-21,293
2051,6.0466304,2051-05-19,230
2052,1.6282666,2052-03-23,174
2053,4.362166,2053-04-18,199
2054,1.1061373,2054-04-10,191
2055,2.5235853,2055-05-01,212
2056,1.1286372,2056-03-02,153
2057,3.830438,2057-05-24,235
2058,0.98982847,2058-05-31,242
2059,0.97373474,2059-04-29,210
2060,0.46694365,2060-03-06,157
2061,2.483448,2061-02-27,149
2062,3.9369519,2062-03-31,181
2063,0.8978089,2063-02-11,133
2064,1.626164,2064-02-01,123
2065,2.5411007,2065-04-06,187
2066,4.5572915,2066-02-21,143
2067,0.8351551,2066-12-20,80
2068,0.2906046,2068-01-17,108
2069,0.349034,2069-01-17,108
2070,2.7559366,2070-02-18,140
2071,1.1080196,2071-03-29,179
2072,3.7929282,2072-02-16,138
2073,1.5071666,2072-12-10,70
2074,1.211993,2074-01-04,95
2075,1.4277021,2074-12-29,89
2076,2.215299,2076-01-29,120
2077,1.0274713,2076-12-09,69
2078,0.7488463,2077-12-31,91
2079,1.6339676,2078-11-12,42
2080,0.5495031,2079-12-06,66
2081,1.0244046,2080-11-28,58
2082,0.36287934,2081-11-13,43
2083,0.14486675,2082-11-12,42
2084,1.2104063,2083-12-14,74
2085,0.7070019,2084-11-26,56
2086,0.73922133,2085-10-28,27
2087,0.33163095,2086-10-29,28
2088,0.22638124,2088-01-18,109
2089,0.12340947,2088-12-05,65
2090,0.12648343,2089-12-22,82
2091,0.15995812,2090-11-30,60
2092,0.30059725,2091-12-11,71
2093,0.17856875,2092-12-27,87
2094,0.30283427,2094-09-30,364
2095,0.2813454,2094-10-01,0
2096,0.73112375,2095-11-11,41
2097,0.8342063,2097-08-13,316
