,maxval,maxdate,maxarg
1981,1.705744,1981-03-21,171
1982,2.1418726,1982-02-08,130
1983,0.7621384,1983-01-21,112
1984,0.36382768,1984-01-30,121
1985,2.3132117,1984-12-09,69
1986,1.4828837,1985-12-31,91
1987,2.6599646,1987-01-15,106
1988,1.2832602,1987-12-12,72
1989,0.61470246,1988-12-22,82
1990,2.5477054,1989-12-29,89
1991,1.057068,1990-11-04,34
1992,0.64466393,1991-11-23,53
1993,1.8684355,1992-12-03,63
1994,2.4347441,1994-09-30,364
1995,2.9736862,1994-10-30,29
1996,0.8171671,1995-12-21,81
1997,2.0044405,1997-09-30,364
1998,2.3749347,1997-10-04,3
1999,1.1262652,1998-11-08,38
2000,1.0100161,1999-11-16,46
2001,1.8994552,2001-09-28,362
2002,1.9815248,2001-10-07,6
2003,0.61976135,2002-11-11,41
2004,1.7602401,2004-09-07,342
2005,1.6173575,2005-08-20,323
2006,1.670972,2006-08-11,314
2007,1.280717,2007-08-30,333
2008,1.8722795,2008-08-26,330
2009,0.6941616,2009-07-11,283
2010,2.0730062,2010-07-24,296
2011,1.07191,2011-09-04,338
2012,1.2373936,2012-07-17,290
2013,0.31938708,2012-10-03,2
2014,1.935456,2013-12-08,68
2015,0.8928796,2014-11-19,49
2016,1.2772435,2015-11-01,31
2017,1.692276,2016-12-01,61
2018,1.706646,2017-11-01,31
2019,1.0105102,2018-10-13,12
2020,0.9092048,2020-09-30,365
2021,2.4627652,2020-10-10,9
2022,0.81166345,2022-09-14,348
2023,1.7040278,2022-10-28,27
2024,1.8067362,2024-09-11,346
2025,1.7173445,2025-09-23,357
2026,1.5586177,2025-10-01,0
2027,0.9925067,2027-09-13,347
2028,0.8943615,2027-10-01,0
2029,0.4407795,2028-10-27,26
2030,1.4816259,2030-08-12,315
2031,1.5000896,2031-09-18,352
2032,0.6141214,2032-08-27,331
2033,1.1097357,2033-09-18,352
2034,1.8813848,2034-07-20,292
2035,1.2374214,2035-06-26,268
2036,0.45931038,2035-10-01,0
2037,1.1983193,2037-07-22,294
2038,0.31965068,2038-06-30,272
2039,0.6603735,2039-05-14,225
2040,1.0131514,2040-08-06,310
2041,0.69099635,2041-05-15,226
2042,0.35478377,2042-08-16,319
2043,0.46426263,2043-06-26,268
2044,0.820775,2044-05-29,241
2045,0.7378353,2045-07-18,290
2046,1.2734725,2046-06-27,269
2047,0.9250519,2047-06-06,248
2048,0.97879034,2048-06-02,245
2049,0.27663887,2049-04-04,185
2050,0.79514366,2050-03-28,178
2051,1.1716623,2051-05-02,213
2052,0.6279514,2052-03-21,172
2053,1.8804818,2053-04-17,198
2054,0.93884325,2054-04-08,189
2055,0.85449827,2055-03-11,161
2056,0.4212823,2056-04-23,205
2057,1.4414326,2057-05-16,227
2058,0.39777404,2058-03-22,172
2059,0.19614771,2059-02-28,150
2060,0.52812755,2060-04-05,187
2061,1.3451704,2061-02-28,150
2062,0.9153425,2062-03-03,153
2063,0.47831258,2063-03-15,165
2064,0.6401291,2064-02-01,123
2065,0.38696986,2065-03-28,178
2066,0.6822963,2066-01-09,100
2067,0.13308682,2067-03-23,173
2068,0.5781407,2068-01-17,108
2069,0.27405092,2069-05-12,223
2070,0.6835554,2070-02-07,129
2071,1.073655,2071-01-12,103
2072,1.7977188,2072-02-17,139
2073,0.5261427,2073-02-11,133
2074,0.88178515,2074-01-05,96
2075,0.23118813,2075-01-03,94
2076,0.27452618,2076-01-04,95
2077,0.82279474,2076-12-10,70
2078,0.5782008,2077-11-17,47
2079,1.1305004,2078-11-11,41
2080,0.27090436,2079-12-24,84
2081,0.37450203,2080-10-15,14
2082,0.14818865,2081-11-13,43
2083,0.27455088,2082-11-17,47
2084,0.21230377,2083-12-04,64
2085,0.77424973,2084-10-13,12
2086,0.6020665,2085-10-29,28
2087,0.3034577,2086-11-20,50
2088,0.3174994,2087-11-30,60
2089,0.1276964,2088-12-17,77
2090,0.11436919,2090-09-13,347
2091,0.060206022,2090-11-17,47
2092,0.1574693,2091-11-21,51
2093,0.20617566,2093-09-27,361
2094,0.1678072,2094-09-04,338
2095,0.19096977,2095-08-09,312
2096,0.13021325,2095-10-07,6
2097,0.42672548,2097-08-14,317
