,maxval,maxdate,maxarg
1981,0.7202455,1981-02-13,135
1982,0.57350504,1982-03-22,172
1983,1.190688,1982-10-29,28
1984,1.0500554,1984-01-04,95
1985,0.6321799,1985-01-30,121
1986,1.1710137,1986-03-15,165
1987,0.758823,1987-02-16,138
1988,1.0385045,1987-11-07,37
1989,0.5149317,1988-11-17,47
1990,1.5826892,1990-01-30,121
1991,1.3248497,1990-12-24,84
1992,0.4810034,1991-11-22,52
1993,0.71403044,1992-10-02,1
1994,0.9473455,1993-10-25,24
1995,0.7821872,1994-11-20,50
1996,0.728322,1996-09-23,358
1997,0.80089116,1996-12-12,72
1998,1.5167456,1997-12-13,73
1999,1.7129524,1998-11-14,44
2000,0.63137835,2000-09-07,342
2001,0.86074454,2001-07-22,294
2002,1.5965723,2001-12-11,71
2003,0.7528467,2002-10-17,16
2004,0.8996753,2003-10-20,19
2005,0.3923514,2005-08-15,318
2006,0.6706902,2006-08-12,315
2007,1.1340622,2007-08-07,310
2008,0.57446206,2008-08-27,331
2009,1.5010114,2009-08-24,327
2010,1.1732111,2010-06-30,272
2011,0.6784439,2011-08-04,307
2012,1.2583607,2012-07-18,291
2013,0.7062732,2013-06-24,266
2014,0.99658805,2013-11-19,49
2015,0.44037688,2015-01-05,96
2016,0.77655613,2015-11-30,60
2017,0.6663543,2017-09-21,355
2018,0.70324785,2018-08-03,306
2019,1.0043141,2019-01-13,104
2020,0.86806095,2019-11-08,38
2021,0.7143104,2020-11-22,52
2022,0.64622414,2021-11-10,40
2023,0.5862339,2022-11-14,44
2024,0.93612844,2023-11-06,36
2025,0.62866235,2025-09-20,354
2026,0.31406033,2025-10-17,16
2027,0.9352797,2027-08-15,318
2028,0.51815,2028-09-30,365
2029,0.8905255,2028-11-13,43
2030,0.70320094,2029-11-01,31
2031,0.663253,2031-09-28,362
2032,0.6313387,2032-09-06,341
2033,1.6019809,2033-07-29,301
2034,0.7528123,2033-10-03,2
2035,0.48568192,2035-06-21,263
2036,0.9895976,2036-05-05,217
2037,1.033826,2037-07-05,277
2038,0.5581066,2038-09-27,361
2039,0.6247549,2039-07-31,303
2040,0.9217893,2040-07-05,278
2041,0.5341149,2041-05-16,227
2042,0.3193747,2042-06-29,271
2043,0.5511392,2043-06-18,260
2044,0.88439924,2044-06-15,258
2045,1.0227506,2045-07-31,303
2046,0.297874,2046-06-29,271
2047,0.96682894,2047-06-24,266
2048,0.47190577,2048-07-11,284
2049,0.102049425,2049-05-08,219
2050,0.9928459,2050-03-07,157
2051,0.6276181,2051-05-01,212
2052,0.30812737,2052-07-03,276
2053,0.59237427,2053-06-17,259
2054,1.378046,2054-04-25,206
2055,0.8461,2055-06-14,256
2056,1.6488531,2056-03-06,157
2057,0.63067496,2057-04-22,203
2058,0.39591876,2058-03-02,152
2059,0.4339315,2059-05-08,219
2060,0.37941894,2060-06-07,250
2061,0.210886,2061-03-11,161
2062,0.46428883,2062-03-19,169
2063,0.8226505,2063-03-27,177
2064,0.3287091,2064-04-05,187
2065,0.678316,2065-02-24,146
2066,0.28217298,2066-04-06,187
2067,0.13269986,2067-02-21,143
2068,0.31921518,2068-03-13,164
2069,0.28019816,2069-04-26,207
2070,0.78696316,2070-02-03,125
2071,0.2327146,2071-02-03,125
2072,0.99261206,2072-02-13,135
2073,0.9911044,2072-12-26,86
2074,0.5935581,2074-03-12,162
2075,1.2211887,2075-01-29,120
2076,0.10429465,2076-01-05,96
2077,1.1979879,2077-01-08,99
2078,0.6221206,2077-11-15,45
2079,0.36136752,2079-01-12,103
2080,0.68421614,2080-01-09,100
2081,0.22541659,2080-12-14,74
2082,0.8451858,2081-12-02,62
2083,0.1510517,2082-10-20,19
2084,0.10985025,2083-10-29,28
2085,0.26456866,2084-12-22,82
2086,0.2265015,2085-12-06,66
2087,0.55496067,2086-12-06,66
2088,0.5231319,2087-12-05,65
2089,0.34864143,2088-12-08,68
2090,0.555458,2089-10-04,3
2091,0.56158406,2090-10-03,2
2092,0.3755107,2091-12-14,74
2093,0.09403336,2092-10-12,11
2094,0.3729708,2093-11-13,43
2095,0.5577405,2094-10-24,23
2096,0.17783988,2096-09-09,344
2097,0.2674227,2097-09-29,363
