,maxval,maxdate,maxarg
1981,9.313034,1981-03-23,173
1982,12.886432,1982-03-10,160
1983,5.144327,1983-03-26,176
1984,4.5248866,1984-03-21,172
1985,10.29628,1985-02-16,138
1986,6.368304,1986-03-14,164
1987,10.906705,1987-02-23,145
1988,6.0833063,1988-01-18,109
1989,4.4253144,1989-02-20,142
1990,9.356677,1990-02-25,147
1991,6.399258,1991-02-13,135
1992,7.664152,1992-01-23,114
1993,7.0942507,1993-01-20,111
1994,6.4793553,1993-12-12,72
1995,8.799355,1995-01-04,95
1996,6.059016,1996-01-16,107
1997,6.581809,1996-12-18,78
1998,9.874107,1997-12-31,91
1999,7.081075,1998-12-23,83
2000,3.2610931,1999-12-02,62
2001,5.2356296,2000-12-16,76
2002,8.277279,2001-12-30,90
2003,11.710121,2002-12-05,65
2004,7.8009157,2003-10-27,26
2005,6.046187,2004-11-15,45
2006,7.3061256,2005-11-16,46
2007,6.024824,2006-10-23,22
2008,8.718411,2008-09-30,365
2009,8.753521,2008-10-01,0
2010,8.206543,2009-10-07,6
2011,9.611574,2010-11-10,40
2012,7.0023437,2012-09-11,346
2013,7.0581985,2012-10-09,8
2014,7.2029786,2014-01-21,112
2015,8.379933,2015-01-28,119
2016,6.3296437,2016-01-27,118
2017,9.7180605,2017-01-16,107
2018,5.028892,2017-11-25,55
2019,6.659308,2019-01-10,101
2020,5.0329895,2020-09-30,365
2021,11.816319,2020-11-22,52
2022,6.4862337,2021-12-28,88
2023,11.181926,2022-11-27,57
2024,6.7057776,2024-09-29,364
2025,8.890498,2024-11-20,50
2026,5.2322316,2025-11-27,57
2027,3.253708,2027-09-30,364
2028,5.2046347,2028-09-30,365
2029,9.745637,2028-11-15,45
2030,4.741132,2030-09-18,352
2031,5.7158933,2031-09-28,362
2032,6.2997556,2031-10-21,20
2033,12.954974,2033-09-30,364
2034,13.783532,2033-10-15,14
2035,8.361247,2035-09-23,357
2036,8.801102,2035-10-10,9
2037,8.922375,2037-09-16,350
2038,8.332038,2038-09-27,361
2039,10.954437,2039-09-13,347
2040,10.147042,2039-10-01,0
2041,4.7974935,2041-08-28,331
2042,5.5993266,2042-08-17,320
2043,8.018004,2043-08-15,318
2044,5.2533193,2044-07-21,294
2045,5.1941724,2045-08-17,320
2046,10.727396,2046-07-09,281
2047,10.326455,2047-07-25,297
2048,9.9708605,2048-07-18,291
2049,4.8967714,2049-06-23,265
2050,7.319385,2050-07-23,295
2051,4.8753166,2051-06-15,257
2052,4.9495482,2052-06-15,258
2053,8.6516695,2053-06-17,259
2054,9.6396,2054-07-06,278
2055,6.0528517,2055-06-13,255
2056,2.1974835,2056-04-27,209
2057,7.083935,2057-06-11,253
2058,5.900921,2058-06-07,249
2059,4.1496487,2059-05-01,212
2060,4.830203,2060-05-24,236
2061,3.4115703,2061-03-13,163
2062,5.8442297,2062-04-01,182
2063,5.5723343,2063-05-09,220
2064,3.555436,2064-04-20,202
2065,3.7248597,2065-04-07,188
2066,5.57427,2066-03-26,176
2067,3.9078221,2067-04-10,191
2068,4.9002614,2068-04-12,194
2069,1.8983651,2069-05-05,216
2070,4.4522834,2070-03-02,152
2071,5.919175,2071-03-25,175
2072,10.514822,2072-03-10,161
2073,4.961326,2073-03-23,173
2074,6.660416,2074-03-10,160
2075,4.9776616,2075-02-06,128
2076,4.406299,2076-02-02,124
2077,5.5271525,2077-02-18,140
2078,5.0950646,2078-02-01,123
2079,6.158463,2079-01-28,119
2080,4.037622,2080-01-16,107
2081,4.0206914,2081-01-15,106
2082,3.0447986,2082-01-05,96
2083,2.1236608,2083-01-13,104
2084,4.7978196,2084-01-02,93
2085,3.8081386,2084-12-30,90
2086,3.1465542,2086-01-01,92
2087,5.5566273,2086-12-17,77
2088,4.3517227,2087-12-07,67
2089,4.4459977,2088-12-07,67
2090,2.05944,2090-09-27,361
2091,4.0670733,2090-12-10,70
2092,3.8599064,2092-09-30,365
2093,5.831282,2092-11-16,46
2094,2.499029,2093-11-13,43
2095,3.1138563,2094-11-28,58
2096,2.7685003,2095-10-19,18
2097,3.3276703,2097-09-29,363
