,maxval,maxdate,maxarg
1981,5.505649,1981-03-20,170
1982,8.472117,1982-03-05,155
1983,5.2669263,1983-03-24,174
1984,4.723844,1984-04-20,202
1985,6.8409495,1985-03-08,158
1986,3.4754057,1986-03-24,174
1987,5.0858593,1987-03-29,179
1988,5.3677993,1988-02-23,145
1989,3.75681,1989-02-03,125
1990,4.539424,1990-02-09,131
1991,3.6141183,1991-01-03,94
1992,3.2976508,1992-02-05,127
1993,4.331233,1993-03-12,162
1994,4.584922,1994-01-08,99
1995,5.8830657,1995-01-15,106
1996,4.200699,1996-01-11,102
1997,2.8345342,1996-12-23,83
1998,5.677045,1997-11-27,57
1999,2.575213,1998-12-25,85
2000,3.4681828,1999-12-07,67
2001,4.111677,2001-09-29,363
2002,4.1016927,2001-10-06,5
2003,4.68857,2002-11-26,56
2004,6.260034,2003-11-02,32
2005,6.3216786,2004-12-03,63
2006,5.225487,2005-10-05,4
2007,5.07787,2006-10-30,29
2008,4.2278943,2008-08-25,329
2009,5.1304474,2008-10-29,28
2010,4.2093887,2009-10-06,5
2011,4.508565,2010-10-26,25
2012,4.598858,2012-09-09,344
2013,5.787453,2012-11-29,59
2014,3.4573314,2013-12-23,83
2015,5.8608227,2014-12-18,78
2016,2.8105617,2016-01-30,121
2017,5.6249814,2017-01-23,114
2018,7.7838707,2018-01-30,121
2019,3.3175275,2018-11-05,35
2020,4.6654687,2020-01-18,109
2021,6.137898,2020-12-17,77
2022,3.6659667,2022-01-02,93
2023,5.383296,2022-11-07,37
2024,3.3529186,2023-10-23,22
2025,4.804229,2024-11-22,52
2026,4.0935745,2025-11-24,54
2027,4.667175,2026-11-17,47
2028,5.2214236,2027-12-07,67
2029,2.755344,2028-10-29,28
2030,3.2169297,2030-09-30,364
2031,4.682016,2030-11-22,52
2032,4.0202026,2031-10-28,27
2033,4.922647,2033-09-25,359
2034,5.727989,2034-09-30,364
2035,7.2256093,2034-10-10,9
2036,4.5101123,2035-10-09,8
2037,3.4065537,2037-08-18,321
2038,3.2485769,2038-08-03,306
2039,4.15183,2039-09-23,357
2040,4.652601,2039-10-14,13
2041,5.380246,2041-08-10,313
2042,3.9683588,2041-10-07,6
2043,2.005042,2043-05-09,220
2044,3.229191,2044-07-12,285
2045,3.5299633,2045-08-16,319
2046,7.1283746,2046-07-13,285
2047,3.9974527,2047-07-23,295
2048,2.7813215,2048-08-07,311
2049,4.428615,2049-06-21,263
2050,3.3622277,2050-07-20,292
2051,4.7340536,2051-06-23,265
2052,2.941284,2052-05-20,232
2053,3.055681,2053-06-09,251
2054,1.9403198,2054-06-30,272
2055,2.3418245,2055-07-02,274
2056,1.6156838,2056-05-21,233
2057,3.5049043,2057-05-28,239
2058,3.9981804,2058-05-12,223
2059,2.7499936,2059-04-27,208
2060,2.3042555,2060-04-09,191
2061,2.5909374,2061-05-14,225
2062,4.9926467,2062-05-03,214
2063,2.6042802,2063-03-26,176
2064,3.9480138,2064-05-10,222
2065,3.7938886,2065-04-05,186
2066,3.7047045,2066-03-03,153
2067,2.0789928,2066-12-26,86
2068,2.2843091,2068-03-22,173
2069,1.3835273,2069-02-03,125
2070,3.5187874,2070-03-23,173
2071,1.8624318,2071-02-02,124
2072,4.177338,2072-02-25,147
2073,3.5676706,2073-03-01,151
2074,2.126972,2074-02-23,145
2075,3.6539798,2075-03-08,158
2076,4.6642065,2076-01-21,112
2077,2.296506,2077-02-22,144
2078,1.7659996,2078-01-02,93
2079,2.3126714,2079-02-11,133
2080,3.6428506,2080-01-18,109
2081,4.455952,2080-12-02,62
2082,1.2336915,2081-12-29,89
2083,1.5389853,2082-11-30,60
2084,3.317811,2083-12-15,75
2085,4.781893,2084-12-05,65
2086,1.7277621,2085-10-16,15
2087,1.2536117,2086-12-11,71
2088,0.95085484,2087-12-02,62
2089,1.241003,2088-10-28,27
2090,2.3747597,2090-09-26,360
2091,1.9913551,2090-10-01,0
2092,2.233903,2092-09-29,364
2093,2.1535506,2092-10-04,3
2094,2.1516936,2094-09-30,364
2095,2.1813774,2094-10-01,0
2096,3.0830731,2095-11-23,53
2097,1.1456131,2097-08-15,318
