,maxval,maxdate,maxarg
1981,17.836958,1981-03-24,174
1982,9.186621,1982-01-19,110
1983,4.2772593,1983-01-24,115
1984,4.9469056,1984-01-31,122
1985,14.011872,1985-03-02,152
1986,5.3651867,1986-02-07,129
1987,14.406647,1987-03-01,151
1988,12.785623,1988-01-27,118
1989,1.1962769,1988-12-23,83
1990,14.252239,1990-01-18,109
1991,8.080193,1990-11-06,36
1992,7.130286,1992-01-04,95
1993,5.172225,1992-12-06,66
1994,8.028769,1994-09-30,364
1995,11.985972,1995-01-01,92
1996,5.3649225,1996-01-10,101
1997,6.3689084,1997-09-30,364
1998,10.258127,1997-12-30,90
1999,10.321527,1998-11-08,38
2000,5.4992347,1999-11-24,54
2001,6.6366954,2001-09-30,364
2002,8.032383,2001-11-10,40
2003,3.6103127,2002-10-26,25
2004,7.0694685,2003-12-01,61
2005,7.220784,2005-09-16,350
2006,3.6321268,2006-08-09,312
2007,3.1801717,2007-08-31,334
2008,11.214955,2008-09-09,344
2009,7.583575,2008-10-01,0
2010,14.108858,2010-09-09,343
2011,15.634101,2010-10-26,25
2012,6.7793784,2011-10-01,0
2013,1.75707,2013-07-05,277
2014,5.7090445,2013-12-08,68
2015,5.6288757,2015-02-09,131
2016,6.0681286,2015-11-29,59
2017,10.505723,2016-11-28,58
2018,8.80565,2017-11-27,57
2019,7.4183373,2018-11-03,33
2020,3.2967484,2020-09-30,365
2021,14.061396,2020-11-05,35
2022,3.271087,2022-09-13,347
2023,9.327872,2022-11-25,55
2024,5.074921,2024-09-30,365
2025,6.081358,2025-09-27,361
2026,8.041327,2025-12-05,65
2027,3.921285,2027-09-30,364
2028,4.4494996,2027-11-04,34
2029,2.685172,2028-10-27,26
2030,4.763606,2030-08-17,320
2031,3.9503472,2031-09-26,360
2032,3.3552299,2032-08-26,330
2033,5.3434515,2033-09-17,351
2034,3.9469821,2034-07-20,292
2035,3.6482594,2034-10-25,24
2036,1.1178801,2036-08-15,319
2037,5.869617,2037-06-23,265
2038,1.0678287,2038-08-24,327
2039,2.51222,2039-05-14,225
2040,7.3748317,2040-09-16,351
2041,2.5033479,2041-05-14,225
2042,0.8673461,2042-07-05,277
2043,2.4984674,2043-05-06,217
2044,3.062786,2044-05-30,242
2045,2.82909,2045-07-20,292
2046,6.607368,2046-06-26,268
2047,3.0799806,2047-04-11,192
2048,2.39671,2048-06-09,252
2049,1.6184154,2049-04-04,185
2050,1.6826792,2050-07-21,293
2051,3.077707,2051-05-01,212
2052,2.3636544,2052-03-22,173
2053,4.168995,2053-04-17,198
2054,2.502826,2054-04-07,188
2055,4.1337886,2055-05-01,212
2056,0.95105404,2056-03-03,154
2057,6.1296077,2057-05-22,233
2058,1.9156295,2058-05-13,224
2059,2.074282,2059-04-30,211
2060,2.1209264,2060-04-20,202
2061,6.066107,2061-02-28,150
2062,4.539739,2062-03-03,153
2063,1.7833824,2063-03-15,165
2064,1.5743668,2064-04-03,185
2065,2.4193916,2065-03-29,179
2066,2.9046423,2066-02-17,139
2067,1.3856635,2067-03-22,172
2068,1.0110075,2068-03-31,182
2069,0.3387489,2069-02-21,143
2070,5.8356576,2070-02-21,143
2071,2.6319375,2071-03-29,179
2072,7.0402274,2072-02-23,145
2073,2.0295174,2072-12-10,70
2074,2.3669305,2074-02-17,139
2075,2.1455762,2074-12-28,88
2076,2.6022012,2076-01-05,96
2077,2.0929346,2076-12-09,69
2078,1.0954676,2077-11-17,47
2079,5.6852927,2078-11-21,51
2080,1.099192,2080-01-16,107
2081,2.1493564,2081-01-23,114
2082,1.3398175,2081-11-13,43
2083,1.2721363,2082-11-16,46
2084,1.6358308,2083-12-03,63
2085,1.4216458,2084-10-14,13
2086,1.8614784,2085-10-29,28
2087,0.6174303,2086-11-22,52
2088,1.492438,2087-12-01,61
2089,0.49777582,2088-11-28,58
2090,0.82984674,2089-10-24,23
2091,0.548027,2091-08-31,334
2092,1.9077485,2091-11-27,57
2093,0.61896396,2092-10-21,20
2094,0.59754956,2093-12-29,89
2095,0.88363594,2095-08-13,316
2096,1.1192107,2095-10-19,18
2097,1.8805562,2097-09-30,364
