,maxval,maxdate,maxarg
1981,107.902626,1981-03-27,177
1982,100.5091,1982-04-21,202
1983,82.8459,1983-04-20,201
1984,34.46799,1984-03-22,173
1985,114.89984,1985-04-13,194
1986,54.664444,1986-03-24,174
1987,98.80746,1987-03-31,181
1988,98.51211,1988-02-23,145
1989,49.143894,1989-02-08,130
1990,102.95752,1990-02-25,147
1991,79.18647,1991-02-11,133
1992,52.265682,1992-01-29,120
1993,49.42167,1993-02-01,123
1994,53.771526,1994-01-25,116
1995,99.72156,1995-01-03,94
1996,48.414474,1996-01-22,113
1997,55.97984,1997-02-05,127
1998,82.908226,1997-12-31,91
1999,65.96769,1999-01-03,94
2000,33.279095,2000-01-04,95
2001,52.303482,2000-12-19,79
2002,40.842358,2001-11-20,50
2003,80.77473,2003-01-01,92
2004,72.75369,2003-12-10,70
2005,74.07635,2004-12-17,77
2006,70.0638,2005-12-17,77
2007,66.69202,2006-11-29,59
2008,68.969185,2008-09-28,363
2009,75.494774,2008-11-04,34
2010,64.17365,2010-09-22,356
2011,75.43882,2010-10-28,27
2012,64.9267,2011-11-01,31
2013,60.80424,2012-11-08,38
2014,53.715004,2014-01-14,105
2015,77.082886,2015-02-16,138
2016,48.746155,2016-01-09,100
2017,80.3252,2017-01-20,111
2018,100.70656,2018-02-08,130
2019,62.643658,2019-01-09,100
2020,72.58089,2020-01-25,116
2021,93.16774,2021-01-03,94
2022,49.79031,2022-09-30,364
2023,96.66041,2023-01-13,104
2024,33.953503,2024-01-04,95
2025,52.171295,2024-12-09,69
2026,70.46192,2025-12-05,65
2027,31.010918,2027-09-30,364
2028,48.67448,2027-12-11,71
2029,37.949753,2028-11-03,33
2030,27.556154,2030-08-19,322
2031,64.84326,2030-12-01,61
2032,40.97131,2032-09-27,362
2033,74.7601,2033-09-30,364
2034,76.80922,2033-10-25,24
2035,76.75923,2034-11-11,41
2036,52.172485,2035-10-27,26
2037,66.924286,2037-09-18,352
2038,60.228607,2037-10-01,0
2039,68.27195,2039-09-23,357
2040,74.13146,2039-10-14,13
2041,42.047005,2040-10-10,9
2042,20.790085,2041-10-06,5
2043,28.671228,2043-08-30,333
2044,32.919586,2044-06-28,271
2045,33.1182,2045-09-14,348
2046,76.70757,2046-07-08,280
2047,82.950294,2047-08-12,315
2048,56.911957,2047-10-01,0
2049,22.957642,2049-08-10,313
2050,30.403564,2050-08-25,328
2051,43.303505,2051-06-22,264
2052,10.002422,2052-04-30,212
2053,55.297924,2053-06-15,257
2054,32.647434,2054-07-12,284
2055,52.190243,2055-07-23,295
2056,11.227178,2056-06-16,259
2057,51.955265,2057-07-13,285
2058,14.984438,2058-05-16,227
2059,12.324553,2059-05-01,212
2060,12.833439,2060-05-23,235
2061,59.25334,2061-06-09,251
2062,58.11254,2062-05-10,221
2063,19.550978,2063-04-20,201
2064,15.673042,2064-02-08,130
2065,25.576132,2065-03-31,181
2066,32.33683,2066-03-12,162
2067,12.548916,2067-04-09,190
2068,7.1269126,2068-01-26,117
2069,6.8911057,2069-01-18,109
2070,44.607418,2070-03-23,173
2071,28.562431,2071-03-30,180
2072,43.28008,2072-03-05,156
2073,27.25244,2072-12-11,71
2074,21.239073,2074-02-18,140
2075,21.669643,2075-02-04,126
2076,38.302,2076-02-02,124
2077,10.917109,2077-02-22,144
2078,19.438845,2077-12-31,91
2079,24.509317,2079-01-23,114
2080,10.95968,2080-01-18,109
2081,13.3498745,2081-01-25,116
2082,4.0337043,2081-11-23,53
2083,5.859741,2083-01-10,101
2084,15.070712,2084-01-02,93
2085,10.635651,2084-12-30,90
2086,11.959405,2085-10-29,28
2087,9.490274,2086-11-25,55
2088,5.293776,2087-12-15,75
2089,5.3993406,2088-12-05,65
2090,3.2123559,2089-10-10,9
2091,5.5496254,2090-12-01,61
2092,12.288845,2091-12-12,72
2093,5.4723916,2092-11-01,31
2094,8.770687,2094-09-30,364
2095,8.662121,2094-10-01,0
2096,16.914143,2095-12-01,61
2097,11.125036,2096-11-10,40
