,maxval,maxdate,maxarg
1981,8.474883,1981-03-04,154
1982,2.1514673,1982-03-26,176
1983,2.66112,1983-01-20,111
1984,2.9196072,1984-03-19,170
1985,2.990853,1985-02-04,126
1986,13.081565,1986-03-31,181
1987,5.656588,1987-02-23,145
1988,2.32945,1988-01-17,108
1989,2.9923587,1989-02-24,146
1990,4.0222335,1990-02-22,144
1991,6.868598,1991-02-17,139
1992,2.926588,1992-09-09,344
1993,5.079158,1993-01-12,103
1994,3.2025096,1993-12-13,73
1995,3.401703,1994-12-12,72
1996,2.5787842,1996-02-20,142
1997,5.953424,1996-12-18,78
1998,9.757712,1998-01-02,93
1999,4.815911,1998-12-20,80
2000,1.390711,1999-10-02,1
2001,1.9583036,2000-12-23,83
2002,11.162388,2002-01-01,92
2003,5.4443083,2002-12-08,68
2004,3.0278327,2004-01-03,94
2005,1.9949738,2005-09-08,342
2006,2.643754,2006-09-30,364
2007,2.636989,2006-10-01,0
2008,2.379691,2008-08-27,331
2009,5.2993684,2009-09-23,357
2010,5.9762,2010-09-18,352
2011,5.33828,2010-11-10,40
2012,3.7830575,2012-09-30,365
2013,3.7025182,2012-10-01,0
2014,5.393851,2014-01-22,113
2015,1.9987371,2015-02-24,146
2016,4.5081215,2015-12-28,88
2017,1.9718559,2017-02-25,147
2018,2.0583704,2018-09-30,364
2019,9.167336,2019-02-07,129
2020,2.6675184,2019-11-14,44
2021,3.984797,2021-09-18,352
2022,5.818719,2021-11-29,59
2023,3.020444,2022-12-27,87
2024,2.8436244,2023-12-05,65
2025,2.5029585,2025-01-09,100
2026,1.4678928,2025-10-01,0
2027,1.598428,2027-09-14,348
2028,1.2026044,2028-09-30,365
2029,4.014343,2028-11-17,47
2030,4.4283476,2029-11-03,33
2031,2.3704827,2030-10-09,8
2032,3.2135146,2032-09-13,348
2033,6.390913,2033-09-27,361
2034,6.2159114,2033-10-04,3
2035,1.281727,2035-09-15,349
2036,2.40402,2036-09-15,350
2037,1.856845,2037-08-03,306
2038,3.0411391,2038-08-30,333
2039,3.1020126,2038-10-01,0
2040,1.3816192,2040-07-06,279
2041,1.3104454,2041-05-16,227
2042,1.7126489,2042-09-23,357
2043,3.2393782,2043-07-30,302
2044,1.5203546,2044-06-16,259
2045,1.9272324,2045-08-01,304
2046,1.0805007,2046-07-09,281
2047,5.2908363,2047-06-24,266
2048,2.156222,2048-07-19,292
2049,0.49048227,2049-05-09,220
2050,1.6485155,2050-03-09,159
2051,2.3883119,2051-05-02,213
2052,1.3335903,2052-06-17,260
2053,1.7929366,2053-05-31,242
2054,5.7737904,2054-06-25,267
2055,5.6202507,2055-06-14,256
2056,2.4608834,2056-03-07,158
2057,2.9116344,2057-05-17,228
2058,2.0178568,2058-06-02,244
2059,1.312179,2059-05-24,235
2060,1.8272336,2060-06-10,253
2061,0.95722383,2061-04-03,184
2062,2.1866941,2062-03-25,175
2063,2.3971405,2063-04-20,201
2064,2.0285485,2064-04-09,191
2065,3.757225,2065-02-25,147
2066,1.7371379,2066-04-24,205
2067,1.1043854,2067-04-17,198
2068,2.1593835,2068-02-12,134
2069,4.858038,2069-05-05,216
2070,1.8950531,2070-02-07,129
2071,1.4303917,2071-04-09,190
2072,4.060606,2072-02-24,146
2073,1.3497527,2072-12-31,91
2074,2.1396174,2074-03-13,163
2075,2.1263328,2075-02-02,124
2076,0.5603698,2075-11-15,45
2077,1.9616933,2076-12-10,70
2078,4.2283597,2078-02-28,150
2079,2.3094654,2079-01-13,104
2080,1.9970472,2080-01-11,102
2081,1.0541916,2081-01-02,93
2082,3.6007469,2081-12-02,62
2083,1.8058463,2082-12-15,75
2084,0.64373845,2084-09-17,352
2085,1.5736916,2084-12-24,84
2086,0.96328443,2086-01-05,96
2087,0.8463398,2086-12-29,89
2088,2.2894626,2088-01-31,122
2089,2.8904703,2088-12-08,68
2090,1.238865,2090-01-10,101
2091,1.9185569,2090-11-09,39
2092,2.7187142,2091-12-14,74
2093,0.65223783,2092-12-06,66
2094,1.4574046,2093-11-14,44
2095,2.2010925,2094-10-25,24
2096,0.91395956,2095-11-19,49
2097,1.633685,2096-10-14,13
