,maxval,maxdate,maxarg
1981,30.124361,1981-03-29,179
1982,27.200926,1982-03-24,174
1983,31.435097,1983-03-25,175
1984,21.355091,1984-04-21,203
1985,34.334194,1985-03-27,177
1986,18.71685,1986-03-26,176
1987,28.167141,1987-04-03,184
1988,30.617962,1988-02-23,145
1989,20.760746,1989-02-05,127
1990,21.779516,1990-02-20,142
1991,19.548706,1991-02-05,127
1992,12.990965,1992-02-06,128
1993,21.949728,1993-02-09,131
1994,22.41237,1994-01-26,117
1995,32.408096,1995-01-15,106
1996,20.495275,1996-01-23,114
1997,14.991838,1996-12-23,83
1998,26.421019,1997-12-31,91
1999,12.525595,1998-12-28,88
2000,19.909939,2000-01-05,96
2001,20.243967,2000-12-25,85
2002,16.563019,2001-11-25,55
2003,23.569883,2002-12-14,74
2004,35.33605,2003-12-11,71
2005,35.77393,2004-12-07,67
2006,25.996937,2005-11-18,48
2007,28.330503,2006-10-30,29
2008,22.96061,2007-10-31,30
2009,28.780968,2008-10-29,28
2010,23.489748,2009-11-05,35
2011,24.296661,2010-11-21,51
2012,24.477219,2012-09-29,364
2013,27.448475,2012-10-18,17
2014,16.084723,2014-01-30,121
2015,26.697104,2015-02-17,139
2016,15.579719,2016-01-31,122
2017,30.516748,2017-01-24,115
2018,43.51287,2018-02-03,125
2019,16.332129,2019-01-09,100
2020,26.516104,2020-01-27,118
2021,32.10223,2020-12-18,78
2022,18.46454,2022-01-11,102
2023,24.971949,2022-12-08,68
2024,18.009037,2024-01-05,96
2025,24.724953,2024-11-23,53
2026,21.993162,2025-12-11,71
2027,25.112225,2026-11-17,47
2028,26.84251,2027-12-18,78
2029,14.662393,2028-12-07,67
2030,16.824192,2030-09-30,364
2031,24.818983,2030-11-13,43
2032,17.599665,2031-11-02,32
2033,19.955414,2033-09-28,362
2034,25.18625,2034-09-30,364
2035,30.925125,2034-10-28,27
2036,23.101206,2035-10-09,8
2037,16.985073,2036-10-02,1
2038,13.33228,2038-09-03,337
2039,20.785797,2039-09-30,364
2040,23.20409,2039-10-16,15
2041,24.039412,2041-08-22,325
2042,19.793953,2041-10-01,0
2043,6.8479843,2042-10-01,0
2044,15.640253,2044-07-13,286
2045,13.610051,2045-09-15,349
2046,24.06391,2046-08-10,313
2047,18.221926,2047-07-27,299
2048,13.158006,2048-08-08,312
2049,13.293016,2049-06-30,272
2050,15.114552,2050-07-25,297
2051,20.95615,2051-08-01,304
2052,14.428647,2052-07-12,285
2053,13.761439,2053-06-15,257
2054,9.148033,2054-07-13,285
2055,11.463003,2055-07-02,274
2056,6.559594,2056-04-30,212
2057,17.169832,2057-05-28,239
2058,11.025357,2058-06-06,248
2059,10.11785,2059-05-07,218
2060,4.351583,2060-05-17,229
2061,10.126613,2061-03-15,165
2062,21.234537,2062-05-03,214
2063,14.5999565,2063-04-21,202
2064,22.689589,2064-05-23,235
2065,13.060955,2065-04-08,189
2066,13.823681,2066-03-14,164
2067,7.3578515,2067-02-07,129
2068,5.9368997,2068-03-24,175
2069,4.249265,2069-02-24,146
2070,18.564869,2070-03-29,179
2071,6.5356646,2071-02-26,148
2072,12.592016,2072-03-27,178
2073,14.93089,2073-03-18,168
2074,7.681821,2074-02-24,146
2075,16.09874,2075-03-08,158
2076,13.607925,2076-02-05,127
2077,4.641056,2077-02-22,144
2078,4.6265755,2078-01-20,111
2079,7.9787807,2079-03-12,162
2080,10.844907,2080-01-21,112
2081,13.408152,2081-01-25,116
2082,1.7706889,2081-12-06,66
2083,5.7503047,2082-12-08,68
2084,12.269449,2084-01-09,100
2085,14.763369,2085-01-02,93
2086,3.7504222,2086-02-07,129
2087,4.2007694,2086-12-17,77
2088,4.3558517,2088-01-21,112
2089,3.3710976,2088-10-28,27
2090,4.141679,2089-10-29,28
2091,3.9437912,2090-10-09,8
2092,2.9293914,2092-09-27,362
2093,5.0402236,2092-11-15,45
2094,5.7916336,2094-09-30,364
2095,6.0229397,2094-10-02,1
2096,10.849675,2095-12-05,65
2097,5.972394,2096-11-17,47
