,maxval,maxdate,maxarg
1981,11.323165,1981-03-27,177
1982,13.871383,1982-03-26,176
1983,10.656854,1983-03-28,178
1984,15.648456,1984-04-22,204
1985,15.962951,1985-03-28,178
1986,15.706307,1986-03-24,174
1987,16.923882,1987-04-02,183
1988,8.719445,1988-03-16,167
1989,12.608561,1989-02-04,126
1990,16.710634,1990-02-27,149
1991,15.179577,1991-02-16,138
1992,19.96294,1992-02-03,125
1993,17.029396,1993-02-05,127
1994,16.289698,1994-01-14,105
1995,14.13766,1995-01-16,107
1996,17.511038,1996-01-19,110
1997,16.784855,1997-01-11,102
1998,16.090284,1998-01-01,92
1999,9.36693,1998-12-07,67
2000,15.843815,1999-12-11,71
2001,13.850173,2000-12-31,91
2002,13.723537,2002-09-30,364
2003,27.412844,2003-01-03,94
2004,15.987786,2003-12-12,72
2005,18.837576,2005-09-30,364
2006,27.426516,2005-11-28,58
2007,22.022717,2006-11-24,54
2008,14.036795,2008-09-30,365
2009,15.251901,2008-10-20,19
2010,13.998736,2009-11-13,43
2011,23.985315,2011-09-30,364
2012,24.09037,2011-10-08,7
2013,17.675344,2012-10-18,17
2014,19.652136,2014-02-02,124
2015,16.531847,2015-01-29,120
2016,17.638931,2016-02-05,127
2017,23.51904,2017-01-25,116
2018,21.934235,2018-02-02,124
2019,15.785544,2019-01-13,104
2020,16.041588,2020-01-01,92
2021,15.578111,2020-12-17,77
2022,15.6074,2022-01-11,102
2023,16.319292,2022-12-24,84
2024,11.403806,2024-01-09,100
2025,15.836479,2024-11-28,58
2026,12.014261,2025-12-06,66
2027,11.811289,2027-09-30,364
2028,16.149973,2027-12-12,72
2029,12.255156,2028-11-22,52
2030,16.963758,2029-11-20,50
2031,14.409107,2030-11-12,42
2032,12.269249,2031-11-02,32
2033,17.715614,2032-11-25,55
2034,16.46419,2034-09-30,364
2035,20.451492,2035-09-30,364
2036,22.731838,2035-10-15,14
2037,16.593094,2036-10-23,22
2038,14.771636,2038-09-10,344
2039,18.714003,2039-09-30,364
2040,20.014639,2040-09-18,353
2041,18.62687,2041-09-09,343
2042,11.162907,2041-10-01,0
2043,10.774706,2043-08-30,333
2044,15.256927,2044-09-01,336
2045,10.777407,2045-08-20,323
2046,22.348534,2046-08-10,313
2047,14.583287,2047-08-17,320
2048,11.862573,2048-08-10,314
2049,13.976625,2049-07-02,274
2050,15.1835375,2050-07-27,299
2051,23.614145,2051-07-26,298
2052,15.556723,2052-07-13,286
2053,18.306513,2053-07-09,281
2054,10.330284,2054-07-14,286
2055,13.865503,2055-06-22,264
2056,11.536717,2056-06-04,247
2057,12.950463,2057-06-12,254
2058,18.755987,2058-06-21,263
2059,23.06072,2059-06-03,245
2060,10.220281,2060-05-27,239
2061,12.643016,2061-05-22,233
2062,10.887235,2062-05-04,215
2063,8.16201,2063-05-13,224
2064,13.445342,2064-05-21,233
2065,11.294004,2065-04-29,210
2066,12.94834,2066-04-30,211
2067,14.545117,2067-05-14,225
2068,10.416554,2068-04-15,197
2069,9.749181,2069-03-07,157
2070,6.34983,2070-03-21,171
2071,11.736038,2071-04-01,182
2072,10.807675,2072-03-29,180
2073,19.712133,2073-03-30,180
2074,11.203623,2074-02-25,147
2075,13.166138,2075-02-20,142
2076,11.809706,2076-02-06,128
2077,12.448522,2077-02-23,145
2078,10.929017,2078-02-03,125
2079,16.073288,2079-03-16,166
2080,12.360359,2080-03-12,163
2081,14.438185,2081-01-25,116
2082,7.077841,2082-01-07,98
2083,9.209922,2083-01-18,109
2084,20.154043,2084-01-09,100
2085,10.944978,2085-01-02,93
2086,15.017502,2086-01-24,115
2087,12.4499,2086-12-27,87
2088,8.102282,2087-12-16,76
2089,7.9007215,2088-12-06,66
2090,6.956092,2090-09-30,364
2091,12.586609,2090-12-19,79
2092,16.164633,2091-12-05,65
2093,16.851639,2092-11-21,51
2094,11.707374,2093-11-24,54
2095,8.939747,2094-11-08,38
2096,10.2163925,2095-12-15,75
2097,10.867188,2097-09-30,364
