,maxval,maxdate,maxarg
1981,21.759235,1981-03-25,175
1982,18.750952,1982-03-06,156
1983,16.044456,1983-01-27,118
1984,14.186985,1984-02-02,124
1985,25.142618,1985-03-08,158
1986,12.542563,1986-02-19,141
1987,18.790804,1987-03-10,160
1988,19.447046,1988-02-23,145
1989,14.129361,1989-02-06,128
1990,14.776597,1990-01-23,114
1991,14.906782,1991-01-03,94
1992,8.508855,1992-01-21,112
1993,12.801121,1993-01-24,115
1994,15.339406,1994-01-09,100
1995,21.093975,1995-01-03,94
1996,13.954163,1996-01-21,112
1997,8.81688,1996-11-17,47
1998,22.013506,1997-12-09,69
1999,10.541514,1998-11-22,52
2000,8.785749,2000-09-23,358
2001,12.448028,2000-12-01,61
2002,10.430339,2002-09-30,364
2003,14.135457,2002-11-28,58
2004,12.579229,2003-11-06,36
2005,17.657879,2004-12-03,63
2006,15.653535,2005-11-17,47
2007,16.861172,2006-10-29,28
2008,14.687154,2007-10-31,30
2009,15.319969,2008-10-20,19
2010,16.276749,2010-09-23,357
2011,14.732141,2010-10-02,1
2012,15.8198395,2012-09-09,344
2013,14.874262,2012-10-12,11
2014,9.005408,2013-12-23,83
2015,15.698089,2014-12-18,78
2016,7.5398264,2016-01-10,101
2017,15.180173,2017-01-22,113
2018,16.14074,2018-02-03,125
2019,10.790647,2018-11-05,35
2020,12.194907,2019-11-26,56
2021,18.785444,2020-12-17,77
2022,9.533871,2022-01-08,99
2023,17.063995,2022-11-27,57
2024,9.491528,2024-09-30,365
2025,12.125805,2024-11-22,52
2026,15.777801,2025-11-29,59
2027,10.14393,2027-09-30,364
2028,12.565793,2027-11-27,57
2029,7.589296,2028-10-30,29
2030,8.531273,2030-09-30,364
2031,10.645835,2030-11-01,31
2032,10.864865,2031-10-28,27
2033,14.84076,2033-09-27,361
2034,14.434408,2033-10-11,10
2035,16.452755,2034-10-24,23
2036,11.682304,2035-10-01,0
2037,11.639257,2037-08-18,321
2038,7.6327267,2038-08-03,306
2039,7.6131806,2039-09-24,358
2040,9.736128,2040-08-30,334
2041,13.610697,2041-08-14,317
2042,6.0616603,2042-07-15,287
2043,4.3288913,2043-05-31,242
2044,8.761085,2044-07-13,286
2045,5.916001,2045-07-27,299
2046,14.700444,2046-07-12,284
2047,9.327944,2047-07-26,298
2048,6.768557,2048-06-21,264
2049,5.430791,2049-06-28,270
2050,2.049856,2050-06-29,271
2051,12.70536,2051-06-24,266
2052,1.7752485,2052-03-27,178
2053,8.939713,2053-06-11,253
2054,2.095593,2054-04-22,203
2055,8.134399,2055-05-31,242
2056,1.171457,2056-04-28,210
2057,7.948269,2057-05-24,235
2058,2.8870058,2058-04-01,182
2059,4.0828795,2059-05-01,212
2060,2.0617225,2060-04-07,189
2061,6.085964,2061-03-11,161
2062,8.744836,2062-04-02,183
2063,6.3616962,2063-04-02,183
2064,3.407352,2064-02-13,135
2065,9.651975,2065-04-08,189
2066,8.87023,2066-03-11,161
2067,2.9342446,2066-12-25,85
2068,3.1124313,2068-02-15,137
2069,0.9426693,2069-01-25,116
2070,9.371466,2070-03-24,174
2071,1.5358365,2071-02-03,125
2072,7.023259,2072-02-27,149
2073,4.4009185,2073-01-25,116
2074,3.8939252,2074-01-23,114
2075,7.963074,2075-02-09,131
2076,9.163802,2076-01-28,119
2077,1.2682625,2076-12-15,75
2078,2.192844,2078-01-10,101
2079,2.2324674,2079-01-23,114
2080,4.6843667,2080-01-20,111
2081,6.6454296,2080-12-02,62
2082,0.9824175,2081-12-29,89
2083,2.6052938,2082-12-08,68
2084,3.942469,2083-12-17,77
2085,4.155467,2084-11-28,58
2086,1.204485,2085-10-16,15
2087,1.4970937,2086-12-11,71
2088,0.90199214,2087-12-01,61
2089,1.6095266,2088-10-28,27
2090,2.971901,2089-10-29,28
2091,1.9146812,2090-10-01,0
2092,2.377656,2092-09-28,363
2093,1.468641,2092-10-01,0
2094,1.5716759,2094-09-30,364
2095,1.6858926,2094-10-02,1
2096,2.5232198,2095-11-14,44
2097,3.1761363,2097-08-31,334
