,maxval,maxdate,maxarg
1981,15.891768,1981-03-28,178
1982,24.058952,1982-03-16,166
1983,14.241526,1983-03-26,176
1984,8.803555,1984-02-18,140
1985,22.581581,1985-03-25,175
1986,10.465397,1986-03-12,162
1987,16.509417,1987-03-12,162
1988,13.098927,1988-02-16,138
1989,10.523181,1989-01-31,122
1990,18.482088,1990-02-25,147
1991,14.317771,1991-02-03,125
1992,13.218409,1992-01-31,122
1993,13.766938,1993-02-05,127
1994,13.036019,1994-01-07,98
1995,19.949177,1995-01-16,107
1996,11.209744,1996-01-20,111
1997,10.385941,1996-12-24,84
1998,17.580793,1997-12-31,91
1999,7.233744,1998-12-08,68
2000,9.36434,1999-12-01,61
2001,11.674953,2000-12-20,80
2002,14.154345,2001-12-18,78
2003,19.995487,2002-12-09,69
2004,20.478867,2003-12-01,61
2005,16.417633,2004-12-10,70
2006,17.314919,2005-11-18,48
2007,13.740097,2006-11-09,39
2008,14.054894,2008-09-30,365
2009,15.139929,2008-10-25,24
2010,15.14127,2009-11-07,37
2011,20.062962,2011-09-30,364
2012,20.123034,2011-10-04,3
2013,17.817547,2012-10-15,14
2014,13.165657,2014-01-27,118
2015,19.436495,2015-02-10,132
2016,10.190928,2016-02-02,124
2017,21.225597,2017-01-22,113
2018,16.677841,2018-02-01,123
2019,14.4717655,2019-01-10,101
2020,11.050472,2019-12-21,81
2021,18.73519,2021-01-03,94
2022,12.093687,2022-01-10,101
2023,20.520355,2022-12-23,83
2024,10.440962,2023-12-27,87
2025,17.993364,2024-11-23,53
2026,12.754291,2025-12-05,65
2027,11.367774,2026-11-17,47
2028,9.681419,2027-11-27,57
2029,14.427626,2028-11-02,32
2030,8.110393,2030-09-30,364
2031,10.87609,2030-11-11,41
2032,11.656667,2032-09-27,362
2033,13.959398,2033-09-30,364
2034,15.002362,2033-10-15,14
2035,16.451206,2034-10-22,21
2036,16.081463,2035-10-12,11
2037,16.931175,2037-09-21,355
2038,15.34135,2037-10-01,0
2039,19.568539,2039-09-24,358
2040,19.616068,2039-10-03,2
2041,17.700542,2041-08-24,327
2042,12.504259,2041-10-01,0
2043,12.158202,2043-08-28,331
2044,13.257969,2044-07-22,295
2045,9.486293,2045-08-19,322
2046,16.7241,2046-08-07,310
2047,21.118258,2047-08-11,314
2048,12.681733,2048-07-22,295
2049,10.272922,2049-06-27,269
2050,15.278399,2050-07-26,298
2051,15.818903,2051-07-03,275
2052,15.46868,2052-07-12,285
2053,18.097504,2053-06-22,264
2054,10.543905,2054-07-05,277
2055,9.437045,2055-06-22,264
2056,8.002321,2056-05-24,236
2057,10.104185,2057-06-24,266
2058,11.807479,2058-06-04,246
2059,11.324535,2059-05-15,226
2060,9.560903,2060-05-23,235
2061,14.8931,2061-05-16,227
2062,18.904034,2062-04-19,200
2063,7.5679464,2063-04-21,202
2064,15.573986,2064-05-13,225
2065,10.304089,2065-04-27,208
2066,17.62727,2066-03-26,176
2067,8.800374,2067-04-11,192
2068,5.68056,2068-03-14,165
2069,7.239565,2069-02-25,147
2070,9.018093,2070-03-23,173
2071,10.56269,2071-03-30,180
2072,11.276103,2072-03-26,177
2073,14.911121,2073-03-19,169
2074,7.7996597,2074-03-02,152
2075,13.602432,2075-02-11,133
2076,11.741287,2076-02-05,127
2077,7.1042967,2077-02-22,144
2078,7.9953775,2078-01-26,117
2079,11.671105,2079-01-28,119
2080,6.6620274,2080-01-22,113
2081,13.2085495,2081-01-25,116
2082,5.408763,2082-01-05,96
2083,7.3663073,2082-12-09,69
2084,13.250396,2084-01-05,96
2085,15.437919,2085-01-02,93
2086,6.482488,2085-12-11,71
2087,6.4495063,2086-12-11,71
2088,4.1952744,2087-12-11,71
2089,6.27542,2088-12-05,65
2090,3.0277026,2090-09-27,361
2091,6.138334,2091-09-30,364
2092,7.253163,2091-11-03,33
2093,8.0113735,2092-11-14,44
2094,5.019969,2094-09-30,364
2095,7.181283,2094-10-22,21
2096,7.0918474,2095-11-17,47
2097,6.1057916,2097-09-30,364
