,maxval,maxdate,maxarg
1981,13.910642,1981-03-23,173
1982,15.609182,1982-02-18,140
1983,7.3775597,1983-02-24,146
1984,7.75955,1984-03-19,170
1985,15.793708,1985-02-10,132
1986,12.726876,1986-03-18,168
1987,18.327219,1987-02-23,145
1988,8.040642,1988-01-18,109
1989,6.776919,1989-02-13,135
1990,17.328703,1990-02-23,145
1991,8.436064,1991-02-04,126
1992,7.7874384,1992-01-23,114
1993,9.813467,1993-01-20,111
1994,10.358592,1993-12-13,73
1995,12.612476,1994-12-23,83
1996,8.2119055,1995-12-28,88
1997,9.265687,1996-12-05,65
1998,13.176517,1998-01-01,92
1999,12.456398,1998-12-22,82
2000,2.865758,2000-09-15,350
2001,8.05206,2001-09-28,362
2002,21.236921,2001-12-28,88
2003,14.575928,2002-12-08,68
2004,12.528124,2003-10-27,26
2005,9.753366,2004-10-22,21
2006,7.7052765,2006-09-18,352
2007,7.9432797,2006-10-23,22
2008,10.363195,2008-09-29,364
2009,13.637628,2009-09-28,362
2010,15.014472,2009-10-07,6
2011,14.828505,2010-11-10,40
2012,10.11056,2012-09-12,347
2013,9.343456,2012-10-01,0
2014,8.761669,2014-01-21,112
2015,10.50463,2015-01-23,114
2016,9.375682,2016-01-07,98
2017,12.032919,2016-12-02,62
2018,8.95283,2017-11-23,53
2019,10.793868,2018-12-28,88
2020,5.319343,2020-09-30,365
2021,16.591984,2020-11-22,52
2022,7.682962,2021-11-29,59
2023,16.129723,2022-12-16,76
2024,12.792459,2023-12-17,77
2025,11.068175,2024-11-15,45
2026,6.650633,2025-10-19,18
2027,5.5133524,2027-09-27,361
2028,9.504398,2028-09-30,365
2029,15.001079,2028-11-13,43
2030,7.585848,2030-09-29,363
2031,9.12251,2031-09-29,363
2032,9.312389,2031-10-22,21
2033,21.236618,2033-09-30,364
2034,21.845913,2033-10-10,9
2035,8.262617,2034-10-07,6
2036,6.6210194,2035-10-05,4
2037,8.74815,2037-09-16,350
2038,13.875082,2038-09-04,338
2039,13.59572,2038-10-01,0
2040,6.602776,2039-10-01,0
2041,2.01065,2041-07-31,303
2042,4.5804935,2042-08-19,322
2043,12.823434,2043-08-03,306
2044,3.6495323,2044-07-10,283
2045,5.7977066,2045-08-12,315
2046,10.833309,2046-07-05,277
2047,20.31629,2047-07-16,288
2048,12.653135,2048-07-18,291
2049,1.8169723,2049-05-30,241
2050,7.5139246,2050-06-24,266
2051,5.8419666,2051-06-16,258
2052,2.3737588,2052-06-17,260
2053,10.663045,2053-06-17,259
2054,12.679778,2054-06-24,266
2055,6.524319,2055-05-26,237
2056,3.550382,2056-04-24,206
2057,7.7722993,2057-05-17,228
2058,7.5125866,2058-05-07,218
2059,5.6575837,2059-04-30,211
2060,5.0198226,2060-05-03,215
2061,5.0753736,2061-03-12,162
2062,1.6499999,2062-03-26,176
2063,10.023264,2063-05-09,220
2064,1.7174629,2064-04-07,189
2065,2.9104238,2065-03-04,154
2066,5.0501027,2066-03-26,176
2067,2.304505,2067-02-23,145
2068,4.992724,2068-03-18,169
2069,1.6374456,2069-02-04,126
2070,5.9098487,2070-03-03,153
2071,5.94756,2071-02-10,132
2072,21.279442,2072-03-11,162
2073,3.4434876,2073-02-11,133
2074,9.841135,2074-03-12,162
2075,3.6930573,2075-02-05,127
2076,4.3995466,2076-01-05,96
2077,5.080576,2077-01-08,99
2078,6.923315,2078-01-09,100
2079,5.636869,2079-01-12,103
2080,3.4798558,2080-01-16,107
2081,1.0880754,2081-01-08,99
2082,3.22058,2081-12-22,82
2083,1.6326795,2082-10-21,20
2084,2.596293,2083-12-31,91
2085,5.3526554,2084-12-24,84
2086,2.2956536,2085-10-30,29
2087,5.760738,2086-12-07,67
2088,5.7530336,2087-12-08,68
2089,1.6276162,2088-10-25,24
2090,1.5094228,2089-10-07,6
2091,1.2029958,2090-10-07,6
2092,1.1480339,2092-08-24,328
2093,2.510295,2093-09-30,364
2094,3.3257205,2093-11-16,46
2095,2.1878433,2094-10-25,24
2096,1.04185,2096-09-05,340
2097,5.1939926,2097-09-30,364
