,maxval,maxdate,maxarg
1981,62.50058,1981-03-28,178
1982,48.27077,1982-03-08,158
1983,47.68853,1983-03-23,173
1984,44.068073,1984-02-04,126
1985,70.24033,1985-03-26,176
1986,38.69132,1986-02-20,142
1987,60.843296,1987-03-29,179
1988,55.617233,1988-02-23,145
1989,41.89079,1989-02-08,130
1990,42.054413,1990-02-20,142
1991,40.70438,1991-01-28,119
1992,25.901508,1992-01-29,120
1993,38.009995,1993-02-04,126
1994,42.048805,1994-01-08,99
1995,69.058,1995-02-02,124
1996,40.262375,1996-01-18,109
1997,27.143179,1996-12-23,83
1998,57.47065,1997-12-18,78
1999,30.690222,1998-12-12,72
2000,21.308023,2000-09-23,358
2001,33.701283,2000-12-21,81
2002,30.89425,2002-09-30,364
2003,48.96075,2002-11-28,58
2004,44.246014,2003-12-10,70
2005,63.019,2004-12-03,63
2006,45.101944,2005-11-17,47
2007,43.801952,2006-11-09,39
2008,41.797398,2007-11-19,49
2009,43.57944,2008-10-24,23
2010,42.299553,2010-09-24,358
2011,42.745155,2010-10-28,27
2012,39.68273,2012-09-29,364
2013,42.703804,2012-10-18,17
2014,33.99501,2014-01-09,100
2015,47.749897,2015-02-08,130
2016,23.129108,2016-01-12,103
2017,52.03058,2017-01-22,113
2018,63.714134,2018-02-04,126
2019,23.202486,2019-01-09,100
2020,41.48144,2020-01-09,100
2021,60.02181,2020-12-17,77
2022,31.242275,2022-09-30,364
2023,52.801758,2023-01-09,100
2024,32.13611,2023-11-14,44
2025,36.334198,2024-11-22,52
2026,39.60901,2025-12-06,66
2027,40.88558,2026-11-27,57
2028,44.35375,2027-12-16,76
2029,18.59275,2028-10-31,30
2030,31.789894,2030-09-30,364
2031,45.709503,2030-11-22,52
2032,26.540392,2031-11-01,31
2033,38.054287,2033-09-25,359
2034,38.7925,2034-09-28,362
2035,48.375774,2034-10-28,27
2036,40.719574,2035-10-01,0
2037,34.00416,2037-08-18,321
2038,24.296284,2038-08-03,306
2039,35.31114,2039-09-30,364
2040,37.40286,2040-09-10,345
2041,42.64388,2041-08-14,317
2042,37.733547,2041-10-06,5
2043,12.541451,2043-08-04,307
2044,27.527117,2044-07-13,286
2045,23.345873,2045-08-15,318
2046,40.076214,2046-08-06,309
2047,24.118452,2047-08-11,314
2048,16.585714,2048-06-21,264
2049,20.929678,2049-06-28,270
2050,10.90221,2050-07-24,296
2051,34.810066,2051-06-24,266
2052,9.381473,2052-05-23,235
2053,29.923365,2053-06-16,258
2054,14.566791,2054-07-19,291
2055,30.97227,2055-07-01,273
2056,3.6573305,2056-04-28,210
2057,23.163603,2057-05-25,236
2058,7.4829745,2058-04-01,182
2059,8.5291815,2059-05-03,214
2060,4.585914,2060-04-24,206
2061,27.515898,2061-04-10,191
2062,33.88558,2062-05-09,220
2063,22.817131,2063-02-16,138
2064,18.836218,2064-05-09,221
2065,24.305716,2065-04-03,184
2066,26.113344,2066-03-13,163
2067,7.658352,2067-02-01,123
2068,10.030819,2068-02-14,136
2069,7.4407105,2069-02-18,140
2070,29.858418,2070-03-28,178
2071,7.458764,2071-03-30,180
2072,15.84396,2072-03-24,175
2073,19.185743,2073-03-01,151
2074,10.625662,2074-02-20,142
2075,31.0687,2075-03-09,159
2076,21.48925,2076-02-02,124
2077,5.1886153,2076-12-18,78
2078,9.770662,2078-01-06,97
2079,6.627755,2079-01-23,114
2080,13.321345,2080-01-21,112
2081,10.420122,2080-12-02,62
2082,5.165295,2082-09-25,359
2083,6.043986,2082-12-08,68
2084,13.320526,2084-01-09,100
2085,12.3674755,2084-12-31,91
2086,2.6910214,2085-10-31,30
2087,4.02181,2086-12-11,71
2088,1.5085758,2087-12-12,72
2089,1.908678,2088-10-28,27
2090,4.857567,2089-10-28,27
2091,2.7028368,2090-10-01,0
2092,3.0416458,2092-09-27,362
2093,4.1653438,2093-08-13,316
2094,5.405991,2094-09-30,364
2095,5.9007025,2094-10-02,1
2096,8.543825,2095-11-17,47
2097,8.898299,2096-11-10,40
