,maxval,maxdate,maxarg
1981,6.1775713,1981-03-24,174
1982,5.490806,1982-02-20,142
1983,3.229339,1983-01-30,121
1984,2.7197754,1984-02-03,125
1985,4.623618,1985-02-04,126
1986,2.2101703,1986-02-08,130
1987,6.4392223,1987-02-01,123
1988,2.970082,1988-01-19,110
1989,3.2465644,1989-01-08,99
1990,4.1911387,1989-12-30,90
1991,2.2185972,1990-12-15,75
1992,6.530234,1992-01-23,114
1993,4.605472,1993-01-13,104
1994,3.042496,1993-12-09,69
1995,4.1712165,1994-12-15,75
1996,3.6390886,1995-12-11,71
1997,1.8684849,1996-11-19,49
1998,2.5469186,1997-11-29,59
1999,3.0974948,1998-11-15,45
2000,0.9931827,1999-11-17,47
2001,1.2812406,2001-07-30,302
2002,3.8721235,2002-09-30,364
2003,5.4497437,2002-10-30,29
2004,3.6666944,2003-10-27,26
2005,4.949436,2005-09-24,358
2006,6.6958766,2005-10-12,11
2007,5.584174,2006-10-14,13
2008,3.337764,2008-08-26,330
2009,2.3620303,2008-10-02,1
2010,6.0531335,2010-09-11,345
2011,6.4996,2011-09-13,347
2012,2.450848,2011-10-01,0
2013,1.7476603,2013-07-09,281
2014,6.281607,2014-01-22,113
2015,2.206304,2014-11-30,60
2016,4.315631,2015-12-21,81
2017,6.0870886,2016-12-08,68
2018,2.1825469,2017-11-05,35
2019,1.6398622,2018-12-16,76
2020,2.8233767,2020-09-30,365
2021,9.188574,2020-11-27,57
2022,4.723547,2021-11-23,53
2023,7.814131,2022-11-27,57
2024,3.0242808,2024-09-18,353
2025,4.205716,2024-10-17,16
2026,2.8575745,2026-09-23,357
2027,2.804398,2027-09-30,364
2028,3.046557,2027-10-09,8
2029,2.2809882,2028-10-29,28
2030,3.493359,2030-09-27,361
2031,3.4979205,2030-10-01,0
2032,2.9539552,2032-09-16,351
2033,6.761147,2033-09-26,360
2034,6.1450133,2033-10-02,1
2035,4.3732653,2035-09-24,358
2036,3.1662273,2035-10-01,0
2037,1.4689933,2036-10-11,10
2038,1.9196274,2038-07-18,290
2039,4.1076956,2039-08-14,317
2040,2.2701318,2040-07-07,280
2041,2.2470956,2041-07-30,302
2042,3.0741594,2042-06-12,254
2043,1.3111348,2043-08-04,307
2044,3.0924873,2044-06-13,256
2045,1.6537894,2045-07-21,293
2046,8.082607,2046-07-09,281
2047,3.4152045,2047-06-05,247
2048,2.8722534,2048-06-03,246
2049,0.97768605,2049-05-31,242
2050,3.2725015,2050-04-27,208
2051,2.897242,2051-05-16,227
2052,0.88840735,2052-05-24,236
2053,3.324549,2053-06-07,249
2054,1.4724863,2054-02-22,144
2055,2.8716767,2055-04-30,211
2056,0.9767376,2056-04-28,210
2057,3.8557951,2057-05-17,228
2058,1.4162612,2058-03-09,159
2059,2.7298925,2059-05-04,215
2060,0.76624584,2060-05-24,236
2061,1.4951321,2061-03-13,163
2062,2.4588835,2062-04-01,182
2063,0.9961165,2063-02-16,138
2064,1.0070653,2064-03-19,170
2065,2.9306493,2065-03-15,165
2066,2.125269,2066-03-15,165
2067,0.81175894,2067-04-08,189
2068,1.3115667,2068-02-19,141
2069,0.8116505,2069-04-01,182
2070,1.4290546,2070-03-03,153
2071,2.5345933,2071-01-14,105
2072,3.3473773,2072-02-21,143
2073,0.8559041,2073-01-16,107
2074,1.7381351,2074-02-20,142
2075,2.667879,2075-02-05,127
2076,1.2198745,2076-01-05,96
2077,2.8949232,2076-12-20,80
2078,1.115738,2077-11-26,56
2079,1.3050988,2078-11-15,45
2080,1.3556116,2079-12-31,91
2081,0.7067586,2081-01-15,106
2082,1.3617233,2081-12-06,66
2083,0.9093045,2083-02-07,129
2084,1.1279473,2083-12-14,74
2085,1.0269883,2084-10-15,14
2086,1.1241677,2085-11-02,32
2087,1.5931511,2086-10-29,28
2088,1.1833799,2087-12-05,65
2089,1.8779974,2088-10-25,24
2090,0.5987228,2090-09-27,361
2091,0.9196243,2091-09-22,356
2092,0.98685694,2092-09-02,337
2093,1.3189367,2092-10-14,13
2094,1.3267227,2093-12-02,62
2095,0.9073585,2094-10-23,22
2096,1.4118922,2096-09-09,344
2097,1.7293379,2097-09-01,335
