,maxval,maxdate,maxarg
1981,8.873263,1981-03-24,174
1982,10.838483,1982-02-20,142
1983,5.568098,1983-01-22,113
1984,4.007823,1984-02-01,123
1985,13.815776,1985-03-06,156
1986,5.0217667,1986-02-06,128
1987,8.821933,1987-02-26,148
1988,6.5081344,1988-01-19,110
1989,4.1548567,1988-12-26,86
1990,12.408463,1990-01-19,110
1991,8.763914,1990-12-11,71
1992,3.6362605,1992-01-05,96
1993,6.1837864,1992-12-15,75
1994,8.512392,1993-12-11,71
1995,9.495251,1994-12-27,87
1996,5.833051,1995-12-21,81
1997,4.806364,1997-09-30,364
1998,9.96357,1997-12-04,64
1999,7.3722277,1998-11-18,48
2000,2.6257615,2000-09-25,360
2001,4.0018167,2000-11-19,49
2002,5.6833444,2002-09-30,364
2003,6.3738604,2002-10-28,27
2004,5.010048,2004-09-09,344
2005,7.1290035,2005-09-15,349
2006,6.175264,2006-09-30,364
2007,6.979319,2006-10-13,12
2008,6.2440186,2008-09-10,345
2009,4.6855226,2008-10-01,0
2010,9.833041,2010-09-11,345
2011,11.226197,2011-09-26,360
2012,11.04924,2011-10-01,0
2013,1.994432,2013-07-06,278
2014,6.9785676,2013-12-14,74
2015,4.887229,2014-11-28,58
2016,6.8152413,2015-12-15,75
2017,6.924859,2016-12-04,64
2018,6.118803,2017-11-30,60
2019,5.3985243,2018-11-03,33
2020,3.179259,2019-11-13,43
2021,9.317279,2020-11-09,39
2022,4.3722563,2021-12-17,77
2023,8.355079,2022-11-26,56
2024,7.7245607,2024-09-30,365
2025,8.765954,2024-10-11,10
2026,5.1041574,2025-10-02,1
2027,4.7501655,2027-09-30,364
2028,4.9592185,2027-10-29,28
2029,2.8773804,2029-09-28,362
2030,4.72339,2030-09-21,355
2031,4.754533,2031-09-26,360
2032,4.5293884,2031-10-01,0
2033,6.3847938,2033-09-17,351
2034,7.4777045,2034-08-28,331
2035,5.729754,2034-10-01,0
2036,2.137711,2036-07-12,285
2037,3.8442602,2037-06-23,265
2038,2.5972908,2038-06-29,271
2039,2.86885,2039-08-04,307
2040,5.7787485,2040-08-31,335
2041,2.4833357,2041-05-18,229
2042,1.0227292,2042-06-11,253
2043,1.8094845,2043-05-11,222
2044,2.318809,2044-06-30,273
2045,1.5238087,2045-07-22,294
2046,6.219626,2046-07-05,277
2047,3.0553892,2047-05-23,234
2048,2.0644631,2048-06-09,252
2049,2.102612,2049-05-09,220
2050,2.0222878,2050-04-17,198
2051,5.7550354,2051-06-17,259
2052,2.4113758,2052-03-24,175
2053,3.096599,2053-04-29,210
2054,1.507104,2054-04-09,190
2055,4.2801566,2055-05-09,220
2056,1.2525051,2056-04-26,208
2057,3.6900742,2057-05-22,233
2058,1.4775226,2058-03-19,169
2059,0.63655275,2059-02-18,140
2060,0.5372236,2060-04-10,192
2061,6.170863,2061-03-11,161
2062,3.573387,2062-03-04,154
2063,1.3620958,2063-02-12,134
2064,3.511993,2064-02-02,124
2065,3.351419,2065-03-15,165
2066,3.5967073,2066-02-18,140
2067,0.48181623,2066-12-20,80
2068,2.1256976,2068-02-15,137
2069,1.8253517,2069-01-19,110
2070,3.2004466,2070-03-06,156
2071,2.3349886,2071-03-25,175
2072,4.635201,2072-02-24,146
2073,1.0668222,2072-12-11,71
2074,1.4103278,2074-01-05,96
2075,4.3373723,2075-01-05,96
2076,1.790794,2076-01-12,103
2077,1.7307575,2076-12-17,77
2078,1.443111,2077-12-02,62
2079,2.9513628,2078-12-20,80
2080,0.5756731,2079-12-25,85
2081,1.3504548,2080-10-17,16
2082,1.1643583,2081-11-25,55
2083,0.47546762,2082-11-13,43
2084,0.7354054,2083-12-04,64
2085,1.2317142,2084-10-17,16
2086,1.9526516,2085-10-31,30
2087,0.41223782,2086-10-02,1
2088,0.22497992,2087-11-26,56
2089,0.23888522,2088-10-23,22
2090,0.38712236,2090-09-06,340
2091,0.545285,2091-08-22,325
2092,0.5159231,2091-11-26,56
2093,0.3999964,2092-11-01,31
2094,0.64267933,2094-09-24,358
2095,0.64682114,2095-08-09,312
2096,0.7066721,2096-07-16,289
2097,2.3026426,2097-08-30,333
