,maxval,maxdate,maxarg
1981,5.0622888,1981-03-24,174
1982,5.410796,1982-03-21,171
1983,3.9656658,1983-01-25,116
1984,6.1511006,1984-02-18,140
1985,4.891934,1985-02-04,126
1986,5.094626,1986-03-15,165
1987,4.8635664,1987-02-15,137
1988,3.154514,1988-01-19,110
1989,5.2684555,1989-01-27,118
1990,9.265917,1990-02-20,142
1991,7.379966,1990-12-27,87
1992,8.1175995,1992-01-23,114
1993,7.930691,1993-01-19,110
1994,6.1261225,1993-12-22,82
1995,4.887953,1994-12-14,74
1996,6.323494,1995-12-18,78
1997,6.2640386,1996-12-23,83
1998,4.873041,1997-12-31,91
1999,4.2004185,1998-11-27,57
2000,4.319196,1999-11-03,33
2001,2.8733308,2001-09-30,364
2002,4.7333045,2001-11-28,58
2003,10.386655,2002-12-09,69
2004,4.9070396,2003-11-03,33
2005,6.482341,2005-09-30,364
2006,10.782183,2005-11-19,49
2007,9.786646,2006-10-23,22
2008,2.1990163,2008-08-29,333
2009,3.3128576,2009-09-28,362
2010,4.177239,2010-09-22,356
2011,10.892615,2011-09-24,358
2012,9.605207,2011-10-01,0
2013,2.6376092,2013-07-09,281
2014,6.9795065,2014-01-23,114
2015,3.434178,2014-12-01,61
2016,8.8971195,2016-02-01,123
2017,6.8558664,2017-01-16,107
2018,5.4152665,2017-12-07,67
2019,4.3921723,2018-12-30,90
2020,3.5350416,2019-11-07,37
2021,5.586132,2020-12-10,70
2022,9.068737,2021-12-28,88
2023,5.1228027,2022-12-12,72
2024,3.6125815,2024-09-30,365
2025,5.980631,2024-11-23,53
2026,3.1713846,2025-10-15,14
2027,5.423345,2027-09-30,364
2028,6.413886,2027-11-26,56
2029,4.751043,2029-09-30,364
2030,6.2242637,2029-11-01,31
2031,6.4771333,2030-11-10,40
2032,2.2635407,2031-10-25,24
2033,5.6710796,2033-09-30,364
2034,8.223787,2034-09-30,364
2035,8.293845,2034-10-04,3
2036,8.930976,2035-10-10,9
2037,1.7081531,2037-09-17,351
2038,5.0049615,2038-08-29,332
2039,2.872387,2039-08-15,318
2040,5.3324847,2040-09-18,353
2041,5.6085663,2041-08-12,315
2042,2.3430517,2042-06-14,256
2043,1.3514231,2043-03-14,164
2044,5.16094,2044-07-27,300
2045,2.2644417,2045-09-29,363
2046,7.6681867,2046-07-26,298
2047,1.9272645,2047-06-27,269
2048,2.01949,2048-06-03,246
2049,6.005209,2049-06-28,270
2050,2.234757,2050-06-24,266
2051,7.316782,2051-07-03,275
2052,4.337256,2052-05-24,236
2053,5.9585943,2053-06-20,262
2054,1.872265,2054-07-02,274
2055,2.5523975,2055-06-08,250
2056,2.1132612,2056-04-29,211
2057,4.7011247,2057-05-17,228
2058,1.8038635,2058-06-08,250
2059,5.92446,2059-06-03,245
2060,4.495985,2060-04-25,207
2061,3.0069366,2061-03-13,163
2062,1.6583126,2062-04-02,183
2063,1.921207,2063-04-03,184
2064,1.9926411,2064-03-23,174
2065,2.7171257,2065-04-22,203
2066,1.8898214,2066-02-21,143
2067,1.7511245,2067-05-13,224
2068,1.6350701,2068-04-12,194
2069,1.0983615,2069-04-05,186
2070,1.8197492,2070-02-07,129
2071,1.5382396,2071-01-14,105
2072,2.5499861,2072-02-26,148
2073,2.4075625,2073-01-31,122
2074,1.7932378,2074-01-07,98
2075,4.3417945,2075-02-09,131
2076,3.2683938,2076-02-03,125
2077,1.930578,2076-12-18,78
2078,4.509472,2078-01-20,111
2079,4.8128967,2079-01-24,115
2080,1.7430041,2080-01-21,112
2081,1.6736023,2081-01-15,106
2082,0.9981191,2081-12-07,67
2083,1.9125359,2082-12-08,68
2084,2.8174243,2083-10-12,11
2085,3.034018,2084-12-30,90
2086,4.4853125,2085-11-06,36
2087,2.394172,2086-12-05,65
2088,0.7759716,2087-11-21,51
2089,1.6620611,2088-10-25,24
2090,1.4096134,2090-09-18,352
2091,3.2632554,2091-09-30,364
2092,4.031377,2091-11-04,34
2093,4.1134925,2092-11-14,44
2094,0.88464856,2094-09-14,348
2095,1.6119264,2094-11-28,58
2096,1.8168885,2095-10-13,12
2097,6.4697475,2097-09-29,363
