,maxval,maxdate,maxarg
1981,16.971973,1981-03-27,177
1982,20.53264,1982-03-10,160
1983,13.403047,1983-03-27,177
1984,13.463175,1984-03-22,173
1985,25.76757,1985-03-26,176
1986,17.313026,1986-03-29,179
1987,19.156208,1987-03-06,156
1988,11.839457,1988-02-16,138
1989,12.006098,1989-02-01,123
1990,16.669056,1990-02-27,149
1991,14.180173,1991-02-16,138
1992,19.818539,1992-02-01,123
1993,17.607445,1993-02-02,124
1994,13.216575,1994-01-07,98
1995,15.862009,1995-01-26,117
1996,13.602984,1996-01-16,107
1997,21.044645,1997-01-04,95
1998,19.29299,1998-01-12,103
1999,11.761848,1999-01-08,99
2000,10.459813,1999-12-04,64
2001,14.872972,2000-12-25,85
2002,15.805383,2001-12-31,91
2003,23.87117,2002-12-10,70
2004,14.040959,2003-12-05,65
2005,14.741929,2004-11-28,58
2006,17.614569,2005-11-18,48
2007,12.616065,2006-10-25,24
2008,14.264584,2008-09-30,365
2009,16.45259,2008-10-27,26
2010,15.671721,2010-09-23,357
2011,23.85018,2010-11-22,52
2012,14.483329,2012-09-30,365
2013,16.974197,2012-10-10,9
2014,14.578289,2014-01-23,114
2015,17.776384,2015-01-29,120
2016,18.408197,2016-02-06,128
2017,21.792585,2017-01-18,109
2018,13.5884695,2018-01-31,122
2019,15.286528,2019-01-11,102
2020,12.238129,2020-01-01,92
2021,23.791275,2020-12-11,71
2022,16.029505,2021-12-23,83
2023,24.00632,2022-12-31,91
2024,15.394312,2024-01-11,102
2025,21.414984,2024-12-09,69
2026,12.984157,2025-12-07,67
2027,12.168213,2026-11-15,45
2028,11.331926,2028-09-30,365
2029,22.072487,2028-11-20,50
2030,13.313385,2029-11-17,47
2031,14.611281,2030-10-30,29
2032,13.150566,2032-09-30,365
2033,19.95876,2033-09-30,364
2034,22.782068,2033-10-17,16
2035,18.21002,2035-09-30,364
2036,20.851162,2035-10-31,30
2037,19.77285,2037-09-27,361
2038,21.385622,2038-09-28,362
2039,26.020138,2039-09-16,350
2040,25.228521,2039-10-01,0
2041,16.496971,2041-08-28,331
2042,14.304932,2042-08-20,323
2043,18.116564,2043-08-28,331
2044,16.121153,2044-08-23,327
2045,13.085572,2045-08-17,320
2046,19.962366,2046-07-16,288
2047,20.92852,2047-08-16,319
2048,16.803572,2048-08-19,323
2049,11.425551,2049-06-25,267
2050,16.413067,2050-07-23,295
2051,14.295955,2051-07-03,275
2052,12.256933,2052-07-10,283
2053,17.765186,2053-06-26,268
2054,17.51356,2054-07-09,281
2055,12.757339,2055-06-22,264
2056,9.572014,2056-06-02,245
2057,16.386906,2057-06-11,253
2058,17.636292,2058-06-08,250
2059,12.806215,2059-05-09,220
2060,12.964219,2060-05-24,236
2061,9.963213,2061-04-15,196
2062,13.449429,2062-04-07,188
2063,12.282691,2063-05-13,224
2064,6.908305,2064-05-02,214
2065,9.348139,2065-04-08,189
2066,12.129786,2066-05-09,220
2067,11.584848,2067-04-18,199
2068,15.978908,2068-04-13,195
2069,6.010298,2069-02-25,147
2070,10.792534,2070-03-20,170
2071,13.247213,2071-03-25,175
2072,18.64568,2072-03-21,172
2073,14.856554,2073-03-22,172
2074,15.300574,2074-03-29,179
2075,11.406144,2075-02-08,130
2076,12.95755,2076-02-03,125
2077,14.485571,2077-02-28,150
2078,15.6877,2078-02-01,123
2079,14.442236,2079-01-28,119
2080,9.880017,2080-01-20,111
2081,12.60272,2081-01-15,106
2082,7.2987967,2082-01-05,96
2083,6.8101315,2083-01-26,117
2084,11.127984,2084-01-04,95
2085,10.62981,2084-12-31,91
2086,10.478188,2086-01-10,101
2087,16.56901,2087-01-16,107
2088,11.334745,2087-12-28,88
2089,11.766548,2088-12-06,66
2090,5.3510423,2090-09-26,360
2091,10.802082,2090-12-11,71
2092,10.417715,2091-12-04,64
2093,16.460976,2092-11-15,45
2094,10.753085,2093-12-03,63
2095,12.050836,2094-11-28,58
2096,10.196298,2095-10-25,24
2097,7.588804,2097-09-30,364
