,maxval,maxdate,maxarg
1981,6.2592754,1981-02-08,130
1982,2.522795,1982-02-14,136
1983,1.8920063,1983-04-24,205
1984,6.083048,1984-01-25,116
1985,0.5068615,1984-11-12,42
1986,3.9669545,1986-01-19,110
1987,5.1526456,1987-01-14,105
1988,2.999926,1987-12-02,62
1989,3.9675682,1988-12-22,82
1990,3.0745878,1989-12-24,84
1991,1.1223598,1990-11-28,58
1992,2.774681,1991-11-18,48
1993,1.9475856,1992-10-07,6
1994,4.144847,1993-12-07,67
1995,3.1788566,1994-10-01,0
1996,2.008584,1995-10-11,10
1997,1.1774654,1996-10-01,0
1998,1.1287984,1997-12-30,90
1999,2.3091886,1999-09-22,356
2000,2.3054187,1999-10-01,0
2001,2.1433372,2001-09-25,359
2002,5.244785,2001-11-17,47
2003,2.889126,2003-09-18,352
2004,8.541408,2003-10-19,18
2005,0.6147215,2005-08-08,311
2006,1.3913133,2006-08-07,310
2007,2.3856623,2007-09-21,355
2008,2.0475366,2008-08-31,335
2009,1.261368,2009-06-14,256
2010,2.511093,2010-07-29,301
2011,2.54074,2011-08-10,313
2012,2.2292278,2012-07-17,290
2013,0.8643761,2013-05-06,217
2014,0.4144412,2014-09-29,363
2015,1.7141826,2015-09-30,364
2016,6.240429,2015-11-14,44
2017,3.108302,2017-09-30,364
2018,3.7438767,2017-10-04,3
2019,4.889384,2018-12-23,83
2020,2.18168,2019-11-09,39
2021,2.0183258,2020-10-29,28
2022,2.5196733,2021-10-21,20
2023,3.7478547,2022-11-16,46
2024,1.3870867,2023-10-01,0
2025,3.2620482,2025-09-23,357
2026,2.7739208,2025-10-01,0
2027,1.5580177,2027-08-24,327
2028,2.8475342,2028-08-18,322
2029,2.061473,2029-09-19,353
2030,1.7814927,2030-08-07,310
2031,1.1658942,2031-09-14,348
2032,2.384464,2032-07-21,294
2033,3.8809588,2033-08-05,308
2034,1.8673521,2034-07-28,300
2035,2.9163017,2035-09-01,335
2036,1.294395,2036-06-10,253
2037,0.6044804,2037-07-01,273
2038,4.629642,2038-08-18,321
2039,0.9740119,2039-05-01,212
2040,1.4408399,2040-08-06,310
2041,1.1977105,2041-08-26,329
2042,1.9693507,2042-07-06,278
2043,1.5470091,2043-06-28,270
2044,0.98395187,2044-07-07,280
2045,0.7959156,2045-06-10,252
2046,0.70418006,2046-05-27,238
2047,1.625877,2047-04-07,188
2048,1.9079307,2048-05-29,241
2049,0.28137127,2049-05-29,240
2050,0.56692797,2050-04-06,187
2051,2.7836156,2051-04-17,198
2052,0.24875098,2052-04-28,210
2053,4.465731,2053-04-12,193
2054,0.6112891,2054-04-25,206
2055,0.619617,2055-05-24,235
2056,0.4471457,2056-03-05,156
2057,1.6035886,2057-04-06,187
2058,0.36199713,2058-03-22,172
2059,0.5717279,2059-04-11,192
2060,1.0188242,2060-04-02,184
2061,0.4197089,2061-03-10,160
2062,0.42236257,2062-03-22,172
2063,1.3659048,2063-03-26,176
2064,0.40620732,2064-04-07,189
2065,0.61951375,2065-01-22,113
2066,0.58402634,2066-02-13,135
2067,0.012972616,2067-01-09,100
2068,0.7065839,2068-03-03,154
2069,0.25977054,2069-02-16,138
2070,1.8515414,2070-01-18,109
2071,0.29190803,2071-01-12,103
2072,1.0746381,2072-01-13,104
2073,1.389836,2072-12-28,88
2074,2.6944764,2074-01-05,96
2075,0.42210042,2074-12-20,80
2076,1.2607401e-05,2075-11-10,40
2077,0.2158834,2076-12-10,70
2078,0.1625212,2077-11-16,46
2079,0.39589232,2078-12-09,69
2080,0.8795564,2080-01-09,100
2081,0.12275832,2080-11-09,39
2082,1.2710233,2081-11-13,43
2083,0.3224125,2082-12-01,61
2084,0.045278937,2083-11-02,32
2085,1.1300066,2084-10-12,11
2086,0.14087516,2085-10-12,11
2087,0.55219287,2086-11-20,50
2088,1.9534798,2087-12-20,80
2089,0.04267432,2089-09-28,362
2090,0.8268772,2089-10-03,2
2091,0.09119717,2090-10-02,1
2092,0.4436584,2091-11-22,52
2093,0.67582583,2093-09-27,361
2094,0.29500183,2093-10-01,0
2095,0.023301397,2094-10-17,16
2096,0.005670355,2096-09-23,358
2097,0.37549657,2097-08-13,316
