,maxval,maxdate,maxarg
1981,6.2209716,1981-03-03,153
1982,9.13676,1982-02-18,140
1983,2.7580473,1983-01-20,111
1984,4.834148,1984-01-31,122
1985,3.862198,1985-02-04,126
1986,7.2633066,1986-02-09,131
1987,11.707883,1987-02-23,145
1988,5.8268642,1988-01-18,109
1989,3.2209492,1988-12-22,82
1990,7.554809,1989-12-28,88
1991,4.280109,1990-12-31,91
1992,3.2307703,1991-12-04,64
1993,6.5241885,1993-01-20,111
1994,8.240202,1993-12-07,67
1995,7.9630933,1994-12-03,63
1996,5.3542304,1995-12-08,68
1997,6.245182,1996-11-16,46
1998,4.781314,1997-11-27,57
1999,7.3352375,1998-11-14,44
2000,2.4192393,1999-11-19,49
2001,5.7554493,2001-09-28,362
2002,12.80077,2001-12-20,80
2003,3.358006,2002-10-29,28
2004,7.740677,2003-10-25,24
2005,2.7129655,2005-09-11,345
2006,4.074842,2006-08-28,331
2007,5.898846,2007-09-22,356
2008,6.193223,2007-10-05,4
2009,3.5587626,2008-10-01,0
2010,6.484843,2010-09-15,349
2011,5.086965,2010-10-01,0
2012,3.4011683,2012-08-12,316
2013,1.6520048,2013-07-03,275
2014,4.0554366,2013-12-16,76
2015,4.9737163,2014-11-19,49
2016,4.9481034,2015-11-30,60
2017,4.2792854,2016-11-25,55
2018,4.952123,2017-11-04,34
2019,5.636224,2018-10-30,29
2020,2.047381,2020-09-30,365
2021,6.182528,2020-11-02,32
2022,1.8904861,2021-11-23,53
2023,4.53358,2022-11-16,46
2024,5.4749904,2023-12-01,61
2025,5.060778,2025-09-25,359
2026,5.059134,2025-10-01,0
2027,1.5017254,2027-09-13,347
2028,2.737468,2028-08-20,324
2029,3.2515879,2029-09-27,361
2030,4.768178,2030-08-25,328
2031,4.3575587,2031-09-20,354
2032,3.3961084,2031-10-01,0
2033,10.3918495,2033-09-29,363
2034,10.327289,2033-10-01,0
2035,1.4390713,2035-09-04,338
2036,2.3239508,2036-06-26,269
2037,1.7333997,2037-07-28,300
2038,5.3295846,2038-08-28,331
2039,3.84068,2039-07-30,302
2040,2.423041,2040-08-07,311
2041,1.5830573,2041-05-16,227
2042,2.1537356,2042-07-12,284
2043,4.3565087,2043-07-31,303
2044,1.2640558,2044-07-08,281
2045,1.6578894,2045-07-20,292
2046,2.1009398,2046-06-09,251
2047,5.6850896,2047-07-01,273
2048,3.1087437,2048-06-03,246
2049,1.0996225,2049-05-09,220
2050,1.5840623,2050-04-07,188
2051,3.7597148,2051-06-15,257
2052,1.5851967,2052-03-19,170
2053,7.626101,2053-05-25,236
2054,2.9429414,2054-04-06,187
2055,2.5563302,2055-04-30,211
2056,0.7358286,2056-04-23,205
2057,3.8936894,2057-05-17,228
2058,1.4575663,2058-04-01,182
2059,0.6757834,2059-02-25,147
2060,2.1565757,2060-04-04,186
2061,3.9963923,2061-02-28,150
2062,0.9692782,2062-03-01,151
2063,5.096635,2063-03-27,177
2064,0.7540928,2064-04-07,189
2065,1.5993286,2065-03-05,155
2066,1.8183893,2066-01-23,114
2067,0.5578866,2067-01-10,101
2068,1.0214798,2068-01-16,107
2069,0.4300021,2069-03-18,168
2070,1.8247765,2070-02-07,129
2071,1.2867273,2071-01-13,104
2072,7.236014,2072-02-20,142
2073,1.3009312,2072-12-21,81
2074,4.047722,2074-02-18,140
2075,1.526043,2075-01-31,122
2076,0.43415695,2076-01-20,111
2077,3.48183,2076-12-10,70
2078,2.2017279,2077-11-16,46
2079,1.4312338,2078-11-11,41
2080,1.1783661,2080-01-10,101
2081,1.6653397,2080-10-15,14
2082,1.9322636,2081-11-24,54
2083,0.87735295,2082-10-18,17
2084,1.4115665,2083-12-31,91
2085,1.690607,2084-11-13,43
2086,1.3647738,2085-11-26,56
2087,3.221098,2086-12-06,66
2088,2.0106075,2087-12-07,67
2089,0.43292266,2088-10-07,6
2090,0.682141,2089-10-07,6
2091,0.90994775,2090-10-03,2
2092,1.1407316,2092-08-24,328
2093,1.9060816,2093-09-30,364
2094,2.2093203,2093-11-12,42
2095,0.49437466,2095-08-10,313
2096,0.5250141,2095-10-07,6
2097,1.9547149,2097-09-29,363
