,maxval,maxdate,maxarg
1981,2.0036724,1981-03-23,173
1982,14.402175,1982-02-20,142
1983,0.8734321,1983-01-22,113
1984,1.4379742,1984-01-31,122
1985,9.622247,1985-02-22,144
1986,2.6306508,1986-01-05,96
1987,7.5069265,1987-02-23,145
1988,4.2040086,1988-01-18,109
1989,2.517441,1988-12-26,86
1990,8.676916,1990-01-16,107
1991,4.724049,1990-12-31,91
1992,4.819254,1992-01-04,95
1993,4.4319563,1992-12-14,74
1994,5.64372,1993-12-12,72
1995,7.4093475,1994-12-14,74
1996,5.196877,1995-12-29,89
1997,3.3999739,1997-09-30,364
1998,7.839785,1997-12-02,62
1999,5.3836803,1998-11-09,39
2000,2.608141,1999-11-17,47
2001,3.2604043,2001-09-29,363
2002,7.159086,2001-11-26,56
2003,1.8691555,2002-10-01,0
2004,5.2341022,2004-09-30,365
2005,5.2812934,2004-10-04,3
2006,3.0742977,2006-08-11,314
2007,1.990534,2007-08-31,334
2008,7.4078183,2008-09-28,363
2009,7.0918803,2008-10-01,0
2010,7.150946,2010-09-09,343
2011,4.397712,2010-10-01,0
2012,6.9165874,2012-09-10,345
2013,1.0390708,2013-07-06,278
2014,4.517681,2013-12-13,73
2015,4.1069036,2014-12-09,69
2016,4.8394656,2015-12-02,62
2017,5.6563296,2016-12-01,61
2018,3.0214388,2017-11-05,35
2019,3.2119672,2018-10-21,20
2020,1.2305005,2020-09-30,365
2021,8.146338,2020-11-06,36
2022,2.0547361,2021-11-28,58
2023,3.9274228,2023-09-04,338
2024,6.1004987,2024-09-30,365
2025,6.0997686,2024-10-01,0
2026,3.7021706,2025-10-01,0
2027,3.2582083,2027-09-30,364
2028,3.4519312,2027-10-08,7
2029,4.4087014,2028-10-28,27
2030,2.1928537,2030-08-18,321
2031,2.9586656,2031-09-18,352
2032,2.2379646,2032-09-26,361
2033,4.4596276,2033-09-18,352
2034,4.0327506,2033-10-02,1
2035,5.6470675,2035-09-22,356
2036,5.258783,2035-10-05,4
2037,3.8256016,2037-09-16,350
2038,1.5301462,2038-06-11,253
2039,1.9262325,2039-08-03,306
2040,5.077175,2040-08-06,310
2041,1.4591755,2041-05-16,227
2042,0.9417753,2042-07-06,278
2043,2.7490833,2043-06-27,269
2044,2.0348372,2044-07-07,280
2045,2.2633505,2045-07-21,293
2046,8.018999,2046-07-08,280
2047,5.9777656,2047-07-16,288
2048,9.721364,2048-07-17,290
2049,1.0075281,2049-05-05,216
2050,1.5709611,2050-03-28,178
2051,1.7785215,2051-05-06,217
2052,0.76050377,2052-03-22,173
2053,4.553854,2053-05-29,240
2054,5.7861657,2054-06-23,265
2055,2.2299087,2055-03-12,162
2056,0.8833584,2056-03-04,155
2057,5.918439,2057-06-02,244
2058,2.4510636,2058-06-06,248
2059,0.75714034,2059-04-25,206
2060,2.2689037,2060-03-16,167
2061,4.041847,2061-03-13,163
2062,5.2461524,2062-03-26,176
2063,1.8444062,2063-02-11,133
2064,1.2733467,2064-01-05,96
2065,1.0403941,2065-03-28,178
2066,2.3147051,2066-01-12,103
2067,1.2011237,2067-03-24,174
2068,1.8238682,2068-01-22,113
2069,0.60856277,2069-02-20,142
2070,2.3504412,2070-03-01,151
2071,5.007155,2071-01-12,103
2072,4.191623,2072-03-07,158
2073,1.4880307,2072-12-10,70
2074,4.25569,2074-02-18,140
2075,1.3545086,2075-01-04,95
2076,0.865195,2076-01-04,95
2077,2.0291207,2076-12-10,70
2078,2.094294,2077-11-22,52
2079,1.5375865,2078-11-14,44
2080,0.6841996,2080-01-16,107
2081,1.8860689,2080-10-16,15
2082,1.782052,2081-11-16,46
2083,1.5955197,2082-11-18,48
2084,1.2006278,2084-01-02,93
2085,2.2389064,2084-10-14,13
2086,1.2880361,2085-10-31,30
2087,3.8181458,2086-11-28,58
2088,1.891695,2087-12-04,64
2089,0.9791569,2089-09-30,364
2090,0.9944301,2089-10-01,0
2091,0.65534014,2090-11-30,60
2092,0.58876765,2091-11-24,54
2093,1.9462614,2093-09-30,364
2094,1.9475192,2093-10-02,1
2095,1.4549901,2094-10-01,0
2096,0.783812,2096-09-04,339
2097,0.7966969,2096-10-09,8
