,maxval,maxdate,maxarg
1981,17.126041,1981-04-13,194
1982,21.331518,1982-04-24,205
1983,12.552059,1983-03-27,177
1984,20.268316,1984-05-03,215
1985,21.422047,1985-04-04,185
1986,17.90719,1986-04-04,185
1987,18.27312,1987-03-28,178
1988,6.54704,1988-03-02,153
1989,14.117358,1989-02-28,150
1990,16.39443,1990-03-04,154
1991,16.099596,1991-02-20,142
1992,18.84684,1992-02-13,135
1993,17.759428,1993-02-02,124
1994,15.823818,1994-01-26,117
1995,15.593336,1995-01-26,117
1996,11.327339,1996-01-27,118
1997,19.37202,1997-02-09,131
1998,14.264,1998-01-14,105
1999,14.07764,1999-01-08,99
2000,8.65465,2000-01-05,96
2001,13.754043,2000-12-26,86
2002,15.168278,2002-01-05,96
2003,23.75298,2002-12-31,91
2004,13.724782,2003-12-06,66
2005,13.301125,2004-12-14,74
2006,21.62444,2005-12-08,68
2007,15.527595,2006-12-06,66
2008,13.12631,2008-09-30,365
2009,17.016928,2008-12-11,71
2010,13.717997,2009-11-19,49
2011,22.177778,2010-11-23,53
2012,15.207313,2011-10-21,20
2013,12.860285,2012-10-10,9
2014,14.621369,2014-01-23,114
2015,16.209599,2015-02-11,133
2016,16.264204,2016-02-10,132
2017,20.65452,2017-01-22,113
2018,11.908436,2018-02-01,123
2019,23.868399,2019-02-06,128
2020,10.305614,2020-01-02,93
2021,17.837494,2021-01-14,105
2022,16.63703,2022-01-12,103
2023,22.777636,2023-01-01,92
2024,18.357029,2024-01-12,103
2025,18.097288,2024-12-19,79
2026,9.815618,2025-12-23,83
2027,10.783447,2026-11-18,48
2028,9.944542,2027-12-12,72
2029,17.77081,2028-11-23,53
2030,15.319994,2029-12-15,75
2031,11.0126505,2030-11-15,45
2032,12.495468,2031-11-02,32
2033,15.693707,2033-09-30,364
2034,19.978586,2033-11-11,41
2035,14.757941,2034-10-14,13
2036,19.163673,2035-11-13,43
2037,20.764725,2036-10-23,22
2038,19.44283,2038-09-30,364
2039,22.115839,2038-10-18,17
2040,20.49421,2039-10-05,4
2041,18.955685,2041-09-07,341
2042,15.337907,2041-10-01,0
2043,14.746243,2043-08-31,334
2044,15.228855,2044-08-30,334
2045,12.419756,2045-09-04,338
2046,17.164219,2046-08-12,315
2047,14.523568,2047-08-17,320
2048,18.182005,2048-08-19,323
2049,11.051833,2049-07-02,274
2050,15.987525,2050-08-06,309
2051,14.082272,2051-07-04,276
2052,10.818058,2052-07-15,288
2053,17.616484,2053-07-08,280
2054,15.359808,2054-07-26,298
2055,11.507905,2055-06-22,264
2056,8.592521,2056-06-04,247
2057,13.534733,2057-06-29,271
2058,15.568657,2058-06-20,262
2059,14.642229,2059-06-23,265
2060,11.616681,2060-05-27,239
2061,8.236015,2061-04-16,197
2062,14.04396,2062-05-23,234
2063,9.968537,2063-05-23,234
2064,8.725721,2064-05-20,232
2065,8.600144,2065-04-08,189
2066,12.511431,2066-05-09,220
2067,9.007977,2067-05-14,225
2068,14.333043,2068-04-25,207
2069,18.508045,2069-05-04,215
2070,8.3014555,2070-03-20,170
2071,12.303527,2071-04-16,197
2072,12.229701,2072-03-28,179
2073,19.131998,2073-03-29,179
2074,17.21487,2074-03-29,179
2075,10.834832,2075-02-14,136
2076,8.8539715,2076-02-06,128
2077,10.373581,2077-02-22,144
2078,16.945744,2078-03-10,160
2079,11.296485,2079-02-01,123
2080,9.961565,2080-01-31,122
2081,11.309398,2081-01-25,116
2082,6.0258574,2082-01-07,98
2083,7.94436,2083-02-11,133
2084,11.660409,2084-01-06,97
2085,10.957674,2084-12-31,91
2086,10.565821,2086-01-10,101
2087,13.260752,2087-01-17,108
2088,12.684152,2088-01-31,122
2089,10.715144,2088-12-20,80
2090,6.639345,2090-09-27,361
2091,17.70492,2090-12-19,79
2092,11.9627075,2091-12-30,90
2093,17.57577,2092-11-17,47
2094,10.755306,2093-12-04,64
2095,15.146877,2094-12-11,71
2096,8.172861,2095-10-26,25
2097,5.7220197,2097-09-30,364
