,maxval,maxdate,maxarg
1981,11.818837,1981-03-24,174
1982,12.355503,1982-03-09,159
1983,4.7706013,1983-01-29,120
1984,1.4004469,1984-04-20,202
1985,9.967507,1985-03-06,156
1986,2.1742926,1986-02-07,129
1987,12.052519,1987-02-14,136
1988,4.6173105,1988-01-28,119
1989,3.329246,1988-12-25,85
1990,10.341639,1990-01-19,110
1991,5.9331937,1990-12-12,72
1992,3.6717813,1992-01-04,95
1993,4.814549,1992-12-17,77
1994,4.8971224,1993-12-11,71
1995,8.412744,1994-12-14,74
1996,6.625366,1995-12-24,84
1997,5.9831767,1997-09-30,364
1998,10.525103,1997-12-30,90
1999,5.956902,1998-11-09,39
2000,2.2645328,1999-11-16,46
2001,1.5913512,2001-09-29,363
2002,5.008215,2002-09-26,360
2003,6.4855804,2002-10-29,28
2004,6.4904923,2004-09-28,363
2005,6.606113,2005-09-17,351
2006,7.783929,2005-10-06,5
2007,6.6315346,2006-10-14,13
2008,4.5175285,2008-08-26,330
2009,3.3159351,2009-08-26,329
2010,7.587005,2010-09-22,356
2011,7.9749393,2011-09-23,357
2012,8.276092,2012-09-10,345
2013,5.3202453,2012-10-01,0
2014,7.7243366,2014-01-02,93
2015,3.6733549,2015-01-26,117
2016,4.765499,2015-12-15,75
2017,7.91717,2016-12-04,64
2018,6.467982,2017-11-25,55
2019,4.730368,2018-11-03,33
2020,3.2954428,2019-11-02,32
2021,9.859398,2020-11-21,51
2022,1.7284858,2022-09-30,364
2023,7.9072843,2022-12-13,73
2024,5.6789002,2024-09-30,365
2025,5.83873,2024-10-16,15
2026,4.979971,2025-10-02,1
2027,4.2639875,2027-09-30,364
2028,4.9321203,2027-10-17,16
2029,0.9579763,2028-10-02,1
2030,3.8850899,2030-09-19,353
2031,3.8746836,2031-09-17,351
2032,3.1394277,2031-10-01,0
2033,7.926286,2033-09-18,352
2034,7.999268,2034-09-11,345
2035,7.8192816,2034-10-02,1
2036,3.0776227,2035-10-01,0
2037,5.4670377,2037-08-15,318
2038,1.8642268,2038-06-30,272
2039,2.2128997,2039-05-22,233
2040,4.142324,2040-08-09,313
2041,2.142215,2041-05-23,234
2042,0.9193712,2042-05-31,242
2043,1.5373464,2043-06-08,250
2044,3.0970953,2044-06-22,265
2045,1.6065018,2045-07-21,293
2046,8.904726,2046-07-08,280
2047,2.0539136,2047-06-06,248
2048,3.4308555,2048-06-02,245
2049,1.1573851,2049-05-08,219
2050,6.056038,2050-04-17,198
2051,5.6952014,2051-06-17,259
2052,1.4176168,2052-03-23,174
2053,2.485224,2053-04-23,204
2054,3.3233542,2054-04-12,193
2055,5.7683845,2055-05-29,240
2056,2.0074472,2056-03-03,154
2057,6.070806,2057-05-22,233
2058,0.89037037,2058-06-03,245
2059,1.4963788,2059-04-12,193
2060,1.1028708,2060-04-06,188
2061,4.264753,2061-03-13,163
2062,6.705495,2062-03-27,177
2063,0.9022357,2063-02-13,135
2064,1.5507352,2064-04-19,201
2065,1.6518346,2065-03-11,161
2066,4.147068,2066-02-22,144
2067,0.78022385,2067-04-03,184
2068,1.1838052,2068-01-27,118
2069,1.3650491,2069-05-12,223
2070,3.5089736,2070-03-05,155
2071,2.2275057,2071-01-14,105
2072,3.0307183,2072-02-22,144
2073,2.2861784,2072-12-11,71
2074,2.2495446,2074-01-07,98
2075,1.2817672,2074-11-04,34
2076,1.669792,2076-01-05,96
2077,2.1152182,2076-12-10,70
2078,2.2094984,2077-11-20,50
2079,3.487712,2078-11-24,54
2080,0.81999177,2079-12-30,90
2081,0.9466403,2080-11-26,56
2082,0.3815625,2081-12-01,61
2083,0.6868342,2082-11-17,47
2084,1.7276616,2083-12-04,64
2085,0.93029755,2084-10-15,14
2086,1.3361467,2085-10-30,29
2087,0.7688318,2086-10-19,18
2088,0.9122423,2087-11-29,59
2089,0.43217966,2088-10-07,6
2090,0.3915011,2090-09-13,347
2091,0.38347125,2091-09-01,335
2092,0.44989386,2092-08-24,328
2093,0.56502795,2093-09-27,361
2094,1.039059,2094-09-06,340
2095,1.5479515,2095-08-14,317
2096,0.62231904,2095-10-19,18
2097,1.3089343,2097-08-17,320
