,maxval,maxdate,maxarg
1981,35.999287,1981-03-26,176
1982,47.74676,1982-03-08,158
1983,29.449753,1983-02-18,140
1984,15.119347,1984-02-03,125
1985,48.950565,1985-03-25,175
1986,15.354967,1986-03-12,162
1987,32.955715,1987-03-11,161
1988,39.081665,1988-02-23,145
1989,20.431402,1989-02-03,125
1990,33.824135,1990-02-25,147
1991,28.53219,1991-02-03,125
1992,18.296822,1992-01-21,112
1993,25.555347,1993-02-01,123
1994,24.289616,1994-01-07,98
1995,43.56107,1995-01-15,106
1996,19.309633,1996-01-22,113
1997,15.671252,1996-12-23,83
1998,33.413868,1997-12-28,88
1999,16.865631,1998-12-12,72
2000,10.793896,1999-12-02,62
2001,15.577057,2000-12-19,79
2002,21.711706,2002-09-30,364
2003,34.975727,2002-11-30,60
2004,37.481796,2003-12-10,70
2005,36.18465,2004-12-02,62
2006,31.964006,2005-11-18,48
2007,27.496109,2006-11-09,39
2008,22.437994,2007-10-31,30
2009,25.004808,2008-10-20,19
2010,24.83715,2010-09-22,356
2011,29.773964,2011-09-29,363
2012,30.089474,2012-09-09,344
2013,29.934406,2012-10-12,11
2014,18.956394,2014-01-13,104
2015,25.75976,2015-02-07,129
2016,18.587158,2016-01-09,100
2017,37.91533,2017-01-21,112
2018,29.272127,2018-01-31,122
2019,24.175621,2019-01-09,100
2020,25.216232,2019-11-26,56
2021,31.07801,2020-12-06,66
2022,22.488684,2022-01-09,100
2023,35.135235,2022-11-27,57
2024,19.117723,2024-09-30,365
2025,24.653357,2024-11-22,52
2026,26.376707,2025-12-05,65
2027,18.25442,2026-11-16,46
2028,19.972916,2027-12-10,70
2029,23.726831,2028-10-31,30
2030,12.15179,2030-09-30,364
2031,18.86087,2030-11-22,52
2032,18.726097,2032-09-27,362
2033,23.976913,2033-09-30,364
2034,33.033287,2034-09-30,364
2035,37.652622,2034-10-25,24
2036,27.408327,2035-10-01,0
2037,28.983267,2037-08-18,321
2038,21.386276,2037-10-01,0
2039,28.331087,2039-09-23,357
2040,28.470554,2039-10-02,1
2041,20.183891,2040-10-02,1
2042,14.40868,2042-07-13,285
2043,12.486699,2043-08-18,321
2044,21.117344,2044-07-21,294
2045,11.165386,2045-08-17,320
2046,28.918932,2046-07-11,283
2047,32.13763,2047-07-27,299
2048,14.797378,2048-07-15,288
2049,9.290881,2049-06-23,265
2050,12.542721,2050-07-08,280
2051,21.632027,2051-06-23,265
2052,16.367367,2052-05-22,234
2053,23.781713,2053-06-11,253
2054,12.273403,2054-06-23,265
2055,14.821938,2055-06-25,267
2056,4.873083,2056-04-30,212
2057,19.216858,2057-05-25,236
2058,9.0233555,2058-05-17,228
2059,9.398839,2059-03-02,152
2060,4.145504,2060-04-20,202
2061,15.899389,2061-04-11,192
2062,28.436153,2062-04-16,197
2063,12.376128,2063-04-01,182
2064,16.64693,2064-05-15,227
2065,11.88563,2065-04-01,182
2066,20.71129,2066-03-13,163
2067,4.098752,2067-01-30,121
2068,8.718324,2068-02-18,140
2069,6.932626,2069-02-24,146
2070,17.99747,2070-03-24,174
2071,8.964626,2071-03-29,179
2072,14.336298,2072-03-07,158
2073,15.44264,2073-02-22,144
2074,8.19704,2074-02-18,140
2075,16.169498,2075-02-08,130
2076,14.464503,2076-02-02,124
2077,2.7676506,2077-02-22,144
2078,7.158146,2078-01-13,104
2079,6.5337887,2079-01-23,114
2080,5.600283,2080-01-19,110
2081,7.1587157,2080-11-29,59
2082,3.0733645,2081-11-28,58
2083,4.888404,2082-11-29,59
2084,6.9949803,2084-01-04,95
2085,8.168681,2084-12-31,91
2086,3.2473335,2085-11-02,32
2087,2.8465788,2086-11-30,60
2088,1.4936014,2087-12-01,61
2089,1.0427884,2088-10-10,9
2090,3.3649883,2090-09-15,349
2091,3.1091096,2091-09-02,336
2092,2.2587497,2091-10-01,0
2093,2.1171904,2092-11-01,31
2094,4.4178376,2094-09-30,364
2095,5.1893,2095-08-13,316
2096,8.281153,2095-11-18,48
2097,5.085098,2097-09-26,360
