,maxval,maxdate,maxarg
1981,14.422315,1981-03-24,174
1982,10.643152,1982-02-19,141
1983,4.2859616,1982-12-24,84
1984,2.4730444,1984-01-30,121
1985,6.1410584,1985-03-04,154
1986,4.9179034,1986-02-06,128
1987,9.400265,1987-02-28,150
1988,20.413887,1988-01-27,118
1989,1.737326,1989-02-03,125
1990,16.170223,1990-01-18,109
1991,7.329471,1990-11-06,36
1992,4.1819563,1992-01-03,94
1993,6.4287157,1992-12-07,67
1994,6.567337,1994-09-30,364
1995,9.798364,1994-10-29,28
1996,4.6277447,1996-01-10,101
1997,2.9798882,1997-09-20,354
1998,7.1136146,1998-09-30,364
1999,11.847098,1998-11-08,38
2000,5.0256305,1999-11-16,46
2001,5.345952,2001-09-27,361
2002,4.0353,2002-08-22,325
2003,2.7083404,2003-09-08,342
2004,8.608629,2003-12-01,61
2005,2.7369525,2005-09-03,337
2006,3.3053844,2006-07-25,297
2007,4.751734,2007-08-30,333
2008,8.730925,2008-09-09,344
2009,5.1184144,2009-09-27,361
2010,8.441978,2010-09-07,341
2011,3.4508038,2010-10-27,26
2012,7.224205,2012-08-24,328
2013,1.3945138,2013-07-02,274
2014,4.3163824,2013-11-17,47
2015,3.5479946,2015-02-08,130
2016,4.06111,2015-10-29,28
2017,12.221777,2016-12-01,61
2018,11.371589,2017-11-02,32
2019,3.117946,2018-11-03,33
2020,3.4477377,2019-12-26,86
2021,8.69646,2020-10-10,9
2022,3.9069214,2022-08-19,322
2023,6.519599,2022-10-29,28
2024,2.0877662,2024-09-06,341
2025,5.087571,2025-09-23,357
2026,5.996262,2025-12-05,65
2027,4.2767196,2027-08-24,327
2028,3.1802773,2027-10-04,3
2029,0.8019882,2028-10-19,18
2030,3.082051,2030-08-10,313
2031,5.1756396,2030-11-08,38
2032,2.5848958,2032-09-25,360
2033,4.9158354,2033-09-12,346
2034,1.9998292,2034-07-05,277
2035,2.9524302,2035-08-11,314
2036,0.9002769,2036-08-15,319
2037,4.688594,2037-06-21,263
2038,1.5161878,2038-09-02,336
2039,1.8775119,2039-09-23,357
2040,8.409845,2040-09-17,352
2041,2.9649756,2041-05-11,222
2042,1.5215018,2042-09-16,350
2043,1.5979476,2043-04-25,206
2044,2.1523018,2044-05-28,240
2045,6.308409,2045-07-25,297
2046,5.0037313,2046-06-25,267
2047,4.6385565,2047-07-22,294
2048,1.5811591,2048-06-09,252
2049,2.6547892,2049-04-03,184
2050,0.89334005,2050-03-22,172
2051,1.9926224,2051-04-21,202
2052,1.9726876,2052-03-21,172
2053,5.6816664,2053-04-16,197
2054,1.3033967,2054-05-24,235
2055,5.620073,2055-05-01,212
2056,1.4374044,2056-03-02,153
2057,6.730538,2057-05-22,233
2058,2.600516,2058-06-03,245
2059,2.9737864,2059-04-29,210
2060,0.2825237,2060-05-13,225
2061,5.025099,2061-02-26,148
2062,1.5186732,2062-03-03,153
2063,1.1631999,2063-02-09,131
2064,3.0358756,2064-01-30,121
2065,2.5161152,2065-03-29,179
2066,0.8329897,2066-02-13,135
2067,1.3336614,2067-03-22,172
2068,0.3363284,2068-01-15,106
2069,0.61704654,2069-01-15,106
2070,5.744303,2070-02-19,141
2071,2.8053122,2070-12-30,90
2072,5.2553644,2071-12-19,79
2073,0.93465024,2073-03-09,159
2074,1.9574517,2074-01-04,95
2075,2.456984,2074-12-29,89
2076,2.8927004,2076-01-07,98
2077,1.5483593,2077-02-19,141
2078,1.3000779,2077-11-16,46
2079,2.2799125,2078-11-13,43
2080,0.82073987,2080-03-09,160
2081,0.52016944,2081-01-22,113
2082,1.3587977,2082-02-04,126
2083,0.8520932,2082-12-19,79
2084,0.922704,2083-12-10,70
2085,0.79062176,2084-12-25,85
2086,0.89033043,2085-10-12,11
2087,0.088306665,2086-11-18,48
2088,0.31740695,2087-11-29,59
2089,0.47362968,2088-11-29,59
2090,0.0024649512,2089-10-21,20
2091,0.000104222825,2090-11-28,58
2092,1.1315281,2091-11-26,56
2093,7.602887e-05,2092-10-20,19
2094,0.0020160938,2093-11-16,46
2095,0.4225625,2095-08-08,311
2096,0.5258451,2095-10-18,17
2097,1.4272475,2097-09-30,364
