,maxval,maxdate,maxarg
1981,20.146963,1981-03-24,174
1982,12.535765,1982-02-19,141
1983,5.054675,1982-12-21,81
1984,2.1435401,1984-01-29,120
1985,8.146317,1985-03-14,164
1986,6.6018453,1986-02-05,127
1987,15.108857,1987-03-01,151
1988,18.118847,1988-01-27,118
1989,2.2146204,1988-10-27,26
1990,20.419924,1990-01-18,109
1991,4.0915318,1990-11-03,33
1992,7.821553,1992-01-03,94
1993,6.4667234,1992-11-30,60
1994,7.47209,1994-09-30,364
1995,9.763324,1994-10-07,6
1996,4.4017982,1996-01-10,101
1997,3.1633196,1997-09-15,349
1998,6.8720407,1998-09-04,338
1999,13.670322,1998-11-08,38
2000,7.319706,1999-11-16,46
2001,5.3129687,2001-09-26,360
2002,2.8188484,2002-08-04,307
2003,4.096811,2002-10-26,25
2004,11.926071,2003-12-01,61
2005,2.5096204,2005-09-03,337
2006,4.703299,2006-07-22,294
2007,6.290338,2007-08-30,333
2008,10.842155,2007-10-30,29
2009,5.585058,2009-09-30,364
2010,12.507542,2010-09-07,341
2011,4.945761,2010-10-27,26
2012,12.353583,2012-08-24,328
2013,2.1484687,2012-10-28,27
2014,2.33828,2013-11-17,47
2015,3.9928544,2015-02-06,128
2016,4.194991,2015-10-05,4
2017,15.877565,2016-11-27,57
2018,14.987212,2017-11-02,32
2019,3.3866913,2018-11-02,32
2020,3.4937706,2020-01-08,99
2021,10.730801,2020-10-10,9
2022,3.1562886,2022-01-05,96
2023,10.102331,2022-10-28,27
2024,1.6175745,2024-08-19,323
2025,3.0314183,2025-09-21,355
2026,9.370897,2025-11-29,59
2027,5.6012936,2027-08-24,327
2028,3.0770743,2027-10-01,0
2029,0.4644024,2029-09-16,350
2030,2.614576,2030-08-10,313
2031,8.790634,2030-11-08,38
2032,4.39976,2032-08-26,330
2033,5.40206,2033-09-12,346
2034,1.7717482,2034-07-05,277
2035,3.545514,2035-08-10,313
2036,1.2691984,2036-08-15,319
2037,6.218603,2037-06-21,263
2038,1.4243541,2038-09-02,336
2039,2.9174376,2039-09-24,358
2040,7.460886,2040-09-16,351
2041,2.8773358,2041-05-10,221
2042,0.884911,2042-06-25,267
2043,1.6541353,2043-04-24,205
2044,1.6683497,2044-05-28,240
2045,7.779553,2045-07-25,297
2046,6.2964973,2046-06-24,266
2047,4.85364,2047-07-22,294
2048,2.9334145,2048-06-08,251
2049,3.359253,2049-04-03,184
2050,1.0452054,2050-07-19,291
2051,1.3005219,2051-04-30,211
2052,2.6584826,2052-03-15,166
2053,3.291894,2053-04-11,192
2054,1.0909857,2054-05-25,236
2055,6.088243,2055-04-28,209
2056,1.3332242,2056-03-02,153
2057,9.65447,2057-05-22,233
2058,1.0488409,2058-06-03,245
2059,4.1212125,2059-04-29,210
2060,0.2024588,2060-05-22,234
2061,4.446853,2061-02-26,148
2062,2.2490633,2062-04-16,197
2063,1.2445269,2063-02-09,131
2064,1.0064749,2064-01-30,121
2065,5.570732,2065-03-29,179
2066,0.5774039,2066-02-21,143
2067,1.3159144,2067-03-23,173
2068,0.0056835893,2068-03-30,181
2069,7.5409705e-05,2068-12-15,75
2070,5.792955,2070-02-18,140
2071,4.257037,2071-03-29,179
2072,3.628459,2072-02-16,138
2073,1.8838226,2072-12-10,70
2074,1.8548573,2074-02-16,138
2075,1.2277242,2074-12-28,88
2076,2.2662568,2076-01-07,98
2077,1.4798989,2077-02-19,141
2078,1.0116522,2077-11-16,46
2079,3.1995296,2078-11-05,35
2080,0.5206356,2080-01-15,106
2081,0.8401197,2080-11-24,54
2082,1.5659591,2081-11-13,43
2083,7.8997495e-05,2083-03-12,162
2084,1.5546471,2083-12-03,63
2085,0.53834164,2084-11-11,41
2086,0.8194628,2085-10-11,10
2087,0.05827667,2086-11-18,48
2088,2.002169e-05,2087-11-27,57
2089,0.018691152,2088-11-28,58
2090,6.1975943e-06,2089-12-19,79
2091,5.160247e-05,2090-11-28,58
2092,0.3646162,2091-11-26,56
2093,4.4146735e-05,2092-12-26,86
2094,0.00021427138,2093-11-16,46
2095,0.0005868239,2095-08-07,310
2096,0.6092413,2095-10-18,17
2097,1.2333195,2097-08-13,316
