,maxval,maxdate,maxarg
1981,1.5871882,1981-02-02,124
1982,7.7059474,1982-02-17,139
1983,0.8835583,1983-04-24,205
1984,1.0449896,1984-01-31,122
1985,7.3203664,1985-02-04,126
1986,2.1572466,1986-02-08,130
1987,6.7514043,1987-01-31,122
1988,3.6207118,1988-01-18,109
1989,1.5389904,1988-12-23,83
1990,3.5074475,1990-01-03,94
1991,1.9450195,1990-11-04,34
1992,1.874755,1992-08-15,319
1993,2.5618017,1992-12-15,75
1994,4.339844,1993-12-09,69
1995,5.8211,1994-10-31,30
1996,1.5869412,1995-10-30,29
1997,3.0726013,1997-09-30,364
1998,6.010012,1997-12-02,62
1999,3.4997633,1998-11-12,42
2000,1.6203885,1999-11-17,47
2001,1.8063725,2000-10-22,21
2002,3.0328581,2001-11-13,43
2003,1.0489303,2003-07-17,289
2004,3.3002856,2004-09-15,350
2005,2.9777362,2004-10-04,3
2006,3.211365,2006-08-31,334
2007,2.0413027,2007-08-31,334
2008,6.193064,2008-08-26,330
2009,3.8307502,2008-10-01,0
2010,5.5592513,2010-09-09,343
2011,1.810324,2011-08-18,321
2012,2.300355,2012-07-26,299
2013,1.4412488,2013-07-06,278
2014,4.280021,2013-12-14,74
2015,2.037454,2014-11-19,49
2016,4.2634625,2015-12-03,63
2017,2.910933,2016-12-04,64
2018,3.0187292,2018-09-29,363
2019,3.3425245,2018-10-21,20
2020,1.0949205,2019-10-14,13
2021,6.309248,2020-11-06,36
2022,1.0923597,2021-11-22,52
2023,2.8233526,2023-09-04,338
2024,4.6146755,2024-09-28,363
2025,4.5458446,2024-10-01,0
2026,1.888149,2025-10-01,0
2027,2.4273522,2027-09-15,349
2028,1.6318754,2027-11-19,49
2029,0.9073349,2028-10-08,7
2030,2.2682467,2030-08-18,321
2031,2.6185062,2031-09-19,353
2032,0.9566859,2032-07-10,283
2033,1.1875412,2033-07-17,289
2034,2.4979577,2034-07-26,298
2035,2.6873944,2035-06-23,265
2036,0.70274174,2036-06-10,253
2037,2.4828315,2037-09-16,350
2038,1.5977923,2038-08-28,331
2039,1.0200665,2039-05-15,226
2040,1.7342765,2040-07-09,282
2041,1.2176564,2041-05-16,227
2042,1.5027846,2042-07-26,298
2043,1.106225,2043-05-07,218
2044,1.5264875,2044-06-01,244
2045,1.3294603,2045-07-20,292
2046,2.7241125,2046-06-13,255
2047,2.8736668,2047-06-06,248
2048,2.0641832,2048-06-02,245
2049,0.71479285,2049-06-13,255
2050,0.93194664,2050-04-07,188
2051,2.22603,2051-05-07,218
2052,0.7519286,2052-06-13,256
2053,2.5304894,2053-04-17,198
2054,1.4021552,2054-04-08,189
2055,2.0453255,2055-03-11,161
2056,0.46349943,2056-03-04,155
2057,4.8998456,2057-05-22,233
2058,1.7013855,2058-06-06,248
2059,0.6146226,2059-02-28,150
2060,0.84132457,2060-04-06,188
2061,3.0671227,2061-03-13,163
2062,2.1756945,2062-02-01,123
2063,1.5840929,2063-03-16,166
2064,1.1483935,2064-04-19,201
2065,1.5679269,2065-03-10,160
2066,1.5942389,2066-01-12,103
2067,1.3183675,2067-03-24,174
2068,0.88727844,2068-01-18,109
2069,0.7767989,2069-05-13,224
2070,1.0566272,2070-02-07,129
2071,2.3963974,2071-01-14,105
2072,2.713326,2072-02-20,142
2073,1.1230472,2073-02-11,133
2074,2.144775,2074-01-06,97
2075,1.0063981,2075-01-04,95
2076,0.6293159,2075-10-25,24
2077,1.7488204,2076-12-10,70
2078,1.6263376,2077-10-30,29
2079,1.494554,2078-11-14,44
2080,0.5525751,2080-01-16,107
2081,0.92669755,2080-10-15,14
2082,1.2516513,2081-11-16,46
2083,1.2882892,2082-11-18,48
2084,1.018436,2083-12-31,91
2085,2.34586,2084-10-14,13
2086,1.5090612,2085-10-31,30
2087,1.5156364,2086-11-27,57
2088,0.60208863,2087-11-30,60
2089,1.047254,2089-09-30,364
2090,1.0629519,2089-10-03,2
2091,0.47504753,2091-09-01,335
2092,0.8590089,2091-11-22,52
2093,0.79836935,2093-09-27,361
2094,0.7078446,2094-09-30,364
2095,0.9099364,2094-10-18,17
2096,0.45262122,2095-10-07,6
2097,0.68004745,2097-09-25,359
