,maxval,maxdate,maxarg
1981,36.494644,1981-03-27,177
1982,77.82044,1982-04-23,204
1983,34.986225,1983-04-28,209
1984,17.518795,1984-03-22,173
1985,51.858097,1985-04-04,185
1986,28.6959,1986-03-15,165
1987,40.122334,1987-03-27,177
1988,33.219048,1988-02-20,142
1989,19.756878,1989-02-11,133
1990,42.604557,1990-03-03,153
1991,30.885971,1991-02-16,138
1992,40.188297,1992-02-13,135
1993,29.371155,1993-02-01,123
1994,24.144045,1994-01-27,118
1995,48.654358,1995-02-01,123
1996,50.05335,1996-01-22,113
1997,31.59406,1997-01-21,112
1998,45.670593,1998-01-13,104
1999,32.498707,1999-01-03,94
2000,24.000965,2000-01-05,96
2001,26.395193,2000-12-26,86
2002,31.09915,2002-01-04,95
2003,48.146423,2003-01-03,94
2004,42.879288,2003-12-06,66
2005,32.77397,2004-12-14,74
2006,39.249672,2005-12-06,66
2007,26.020435,2006-11-10,40
2008,36.69851,2008-09-30,365
2009,41.28142,2008-10-27,26
2010,34.017384,2009-11-20,50
2011,48.135654,2010-11-22,52
2012,29.649439,2011-10-03,2
2013,30.721972,2012-10-12,11
2014,22.988297,2014-01-22,113
2015,44.125034,2015-02-11,133
2016,32.10784,2016-02-10,132
2017,52.661045,2017-01-22,113
2018,43.383297,2018-02-01,123
2019,30.66071,2019-01-25,116
2020,24.007082,2020-01-02,93
2021,56.22215,2021-01-04,95
2022,36.790104,2022-01-11,102
2023,55.848347,2023-01-16,107
2024,30.396385,2024-01-11,102
2025,48.36261,2024-12-28,88
2026,36.086376,2025-12-07,67
2027,20.706425,2026-11-18,48
2028,29.378817,2027-12-12,72
2029,38.444122,2028-11-22,52
2030,17.46277,2030-09-30,364
2031,28.01206,2031-09-27,361
2032,33.63313,2031-11-01,31
2033,39.283478,2033-09-30,364
2034,44.06638,2033-10-25,24
2035,40.011135,2035-09-30,364
2036,45.52135,2035-10-31,30
2037,45.318417,2037-09-29,363
2038,44.855465,2037-10-01,0
2039,56.58601,2039-09-30,364
2040,56.976784,2039-10-05,4
2041,31.839424,2040-10-05,4
2042,28.516935,2042-08-29,332
2043,33.14461,2043-08-31,334
2044,34.250954,2044-08-23,327
2045,24.479897,2045-08-20,323
2046,51.80276,2046-08-16,319
2047,58.52909,2047-08-14,317
2048,42.677742,2048-08-08,312
2049,33.56012,2049-07-28,300
2050,40.93027,2050-08-16,319
2051,30.397533,2051-07-11,283
2052,23.546198,2052-07-10,283
2053,41.609158,2053-07-07,279
2054,31.615997,2054-07-25,297
2055,24.367817,2055-06-22,264
2056,14.588424,2056-06-03,246
2057,32.34898,2057-06-29,271
2058,30.561255,2058-06-09,251
2059,25.882317,2059-05-30,241
2060,26.049122,2060-05-24,236
2061,21.861103,2061-05-17,228
2062,59.10974,2062-05-22,233
2063,24.288517,2063-05-19,230
2064,36.669415,2064-05-17,229
2065,27.902454,2065-04-27,208
2066,35.62002,2066-05-10,221
2067,29.372974,2067-05-12,223
2068,34.299606,2068-04-13,195
2069,10.4176235,2069-04-15,196
2070,24.695848,2070-03-24,174
2071,33.53064,2071-04-18,199
2072,44.406548,2072-03-27,178
2073,38.363102,2073-03-28,178
2074,29.522327,2074-04-09,190
2075,25.685915,2075-02-14,136
2076,43.113873,2076-03-05,156
2077,30.334967,2077-02-19,141
2078,25.908674,2078-02-27,149
2079,31.068834,2079-01-29,120
2080,26.030136,2080-03-23,174
2081,36.19096,2081-01-25,116
2082,11.172493,2082-01-06,97
2083,15.301694,2083-01-14,105
2084,29.168552,2084-01-03,94
2085,33.687115,2084-12-30,90
2086,27.597435,2086-02-06,128
2087,42.26179,2087-01-15,106
2088,33.404243,2087-12-28,88
2089,22.403378,2088-12-06,66
2090,15.345851,2090-09-26,360
2091,27.692036,2090-12-20,80
2092,25.690018,2092-09-30,365
2093,38.005104,2092-11-16,46
2094,14.823135,2093-11-25,55
2095,24.717825,2094-11-28,58
2096,13.5119,2095-10-27,26
2097,15.660964,2097-09-30,364
