,maxval,maxdate,maxarg
1981,15.517762,1981-03-25,175
1982,17.541641,1982-03-12,162
1983,11.538433,1983-01-26,117
1984,9.829565,1984-02-03,125
1985,20.84198,1985-03-26,176
1986,13.479556,1986-02-07,129
1987,16.55232,1987-03-12,162
1988,15.329325,1988-02-23,145
1989,11.7817955,1989-01-31,122
1990,17.56293,1990-02-20,142
1991,12.356415,1990-12-31,91
1992,11.844403,1992-01-24,115
1993,15.530362,1993-02-02,124
1994,16.991108,1994-01-07,98
1995,17.92783,1995-01-04,95
1996,13.053193,1996-01-22,113
1997,11.921013,1996-11-17,47
1998,18.399073,1997-12-04,64
1999,9.785191,1998-11-18,48
2000,8.245385,2000-09-23,358
2001,12.099146,2000-12-19,79
2002,14.290762,2002-09-30,364
2003,19.726519,2002-11-29,59
2004,13.593079,2003-12-02,62
2005,15.29472,2005-09-30,364
2006,17.73416,2005-11-17,47
2007,17.105705,2006-10-13,12
2008,13.22944,2008-09-30,365
2009,13.431636,2008-10-17,16
2010,13.668489,2010-09-22,356
2011,16.762653,2011-09-30,364
2012,16.762806,2011-10-01,0
2013,10.810708,2012-10-12,11
2014,12.629347,2014-01-09,100
2015,11.378018,2014-12-18,78
2016,12.216924,2016-01-13,104
2017,9.108834,2016-12-04,64
2018,12.753117,2017-11-04,34
2019,14.433081,2018-11-04,34
2020,8.268883,2019-11-12,42
2021,12.502322,2020-12-18,78
2022,9.601438,2022-09-19,353
2023,19.415792,2022-12-08,68
2024,10.110704,2024-09-30,365
2025,11.103945,2024-10-15,14
2026,9.010991,2025-10-16,15
2027,12.395487,2027-09-30,364
2028,14.425855,2027-12-10,70
2029,4.563113,2029-09-28,362
2030,11.622364,2030-09-20,354
2031,14.6278715,2030-11-08,38
2032,13.521327,2031-10-30,29
2033,10.826678,2033-09-23,357
2034,20.381691,2034-09-24,358
2035,22.26436,2034-10-24,23
2036,10.294447,2036-08-22,326
2037,8.068645,2037-08-03,306
2038,4.80209,2038-07-16,288
2039,6.0827374,2039-09-24,358
2040,7.9172955,2040-08-29,333
2041,6.833809,2041-06-29,271
2042,3.3794227,2042-06-02,244
2043,5.117975,2043-08-03,306
2044,8.575109,2044-06-01,244
2045,2.7148576,2045-08-17,320
2046,14.659109,2046-07-24,296
2047,8.543844,2047-07-22,294
2048,5.107503,2048-06-20,263
2049,6.3981037,2049-05-08,219
2050,3.213908,2050-07-07,279
2051,16.674923,2051-06-24,266
2052,2.702117,2052-03-25,176
2053,12.399879,2053-06-09,251
2054,5.4577885,2054-04-14,195
2055,8.172625,2055-06-23,265
2056,4.3187423,2056-04-27,209
2057,9.365939,2057-05-22,233
2058,3.0163853,2058-05-07,218
2059,4.5232596,2059-05-01,212
2060,2.1341288,2060-03-06,157
2061,8.128832,2061-03-12,162
2062,5.5588555,2062-04-01,182
2063,4.0264945,2063-04-01,182
2064,2.1622896,2064-02-10,132
2065,7.8066764,2065-03-15,165
2066,6.966049,2066-03-13,163
2067,2.6650934,2067-01-11,102
2068,1.6272465,2068-02-14,136
2069,3.7666156,2069-01-19,110
2070,4.836295,2070-03-05,155
2071,2.7054424,2071-02-10,132
2072,7.543714,2072-02-26,148
2073,4.5644917,2073-01-24,115
2074,3.087143,2074-01-05,96
2075,6.366228,2075-02-07,129
2076,3.7767317,2076-01-17,108
2077,1.7085596,2077-02-22,144
2078,3.0215902,2078-01-10,101
2079,2.7990258,2078-12-03,63
2080,4.604027,2080-01-20,111
2081,2.8541164,2080-11-30,60
2082,1.27246,2081-12-06,66
2083,2.0336225,2082-12-08,68
2084,4.0166783,2083-10-08,7
2085,3.3380427,2084-11-24,54
2086,3.9843867,2085-10-31,30
2087,1.8689976,2086-12-01,61
2088,1.2334168,2087-11-20,50
2089,0.75273436,2088-10-28,27
2090,2.5560977,2090-09-06,340
2091,1.4765146,2090-10-01,0
2092,1.7371022,2092-09-24,359
2093,1.7526048,2092-11-01,31
2094,1.5379016,2094-09-30,364
2095,1.6997535,2094-10-01,0
2096,1.8472674,2095-10-20,19
2097,3.7208953,2097-08-30,333
