,maxval,maxdate,maxarg
1981,16.153776,1981-03-26,176
1982,23.670061,1982-04-14,195
1983,9.8722105,1983-03-25,175
1984,10.867857,1984-03-21,172
1985,24.028608,1985-03-04,154
1986,15.658464,1986-03-30,180
1987,17.679775,1987-03-02,152
1988,5.417319,1988-01-28,119
1989,8.709086,1989-02-11,133
1990,19.227484,1990-02-26,148
1991,13.812991,1991-02-12,134
1992,13.904279,1992-01-31,122
1993,16.539675,1993-01-29,120
1994,14.18503,1994-01-17,108
1995,19.365297,1995-01-26,117
1996,11.450551,1996-01-25,116
1997,11.087129,1997-01-09,100
1998,22.036383,1998-01-13,104
1999,13.978293,1998-12-23,83
2000,6.456944,1999-12-03,63
2001,10.9709635,2000-12-25,85
2002,15.745529,2001-12-28,88
2003,20.554531,2003-01-02,93
2004,17.068243,2003-12-04,64
2005,10.281288,2005-09-30,364
2006,15.435629,2005-11-23,53
2007,9.177464,2006-11-29,59
2008,16.39269,2008-09-30,365
2009,17.375013,2008-10-23,22
2010,15.067087,2010-09-22,356
2011,21.813398,2010-11-22,52
2012,13.870116,2011-10-04,3
2013,13.193264,2012-10-10,9
2014,15.659698,2014-01-21,112
2015,20.126179,2015-02-11,133
2016,14.675195,2016-02-08,130
2017,17.875021,2017-01-15,106
2018,10.026339,2018-01-31,122
2019,15.484942,2019-01-25,116
2020,9.14504,2020-01-02,93
2021,17.790783,2020-12-10,70
2022,12.694546,2021-12-28,88
2023,16.061419,2022-12-26,86
2024,15.914722,2024-01-06,97
2025,19.732313,2024-12-09,69
2026,9.620456,2025-12-02,62
2027,7.5186973,2026-11-14,44
2028,10.268921,2027-11-26,56
2029,18.014565,2028-11-20,50
2030,9.940813,2029-11-02,32
2031,10.749488,2031-09-27,361
2032,12.701847,2031-10-25,24
2033,19.242132,2033-09-30,364
2034,21.826015,2033-10-16,15
2035,19.482119,2035-09-30,364
2036,21.569592,2035-10-09,8
2037,17.328924,2037-09-16,350
2038,20.182737,2038-09-27,361
2039,20.196175,2038-10-01,0
2040,19.468672,2039-10-04,3
2041,9.266112,2041-08-13,316
2042,17.214983,2042-08-26,329
2043,13.868603,2043-08-28,331
2044,11.010559,2044-07-21,294
2045,11.878423,2045-08-14,317
2046,19.2765,2046-08-12,315
2047,20.537611,2047-07-25,297
2048,18.623312,2048-08-18,322
2049,9.103566,2049-06-24,266
2050,13.813064,2050-07-23,295
2051,8.451327,2051-06-26,268
2052,9.472827,2052-07-03,276
2053,17.754658,2053-07-07,279
2054,22.229908,2054-07-12,284
2055,11.331255,2055-06-14,256
2056,4.3655143,2056-04-28,210
2057,13.122583,2057-06-11,253
2058,11.380379,2058-06-07,249
2059,7.1443377,2059-05-04,215
2060,10.548643,2060-05-24,236
2061,10.23089,2061-04-14,195
2062,15.755168,2062-05-22,233
2063,10.351635,2063-05-13,224
2064,5.3306227,2064-04-20,202
2065,6.9679623,2065-04-08,189
2066,12.30736,2066-03-26,176
2067,5.729424,2067-05-08,219
2068,9.800284,2068-04-12,194
2069,7.06408,2069-04-13,194
2070,5.689623,2070-03-06,156
2071,14.213041,2071-03-25,175
2072,17.583597,2072-03-19,170
2073,7.5648456,2073-02-12,134
2074,12.104927,2074-03-14,164
2075,6.4783473,2075-02-07,129
2076,5.3933764,2076-02-03,125
2077,13.58101,2077-02-18,140
2078,11.448687,2078-02-01,123
2079,11.939318,2079-01-27,118
2080,5.9345713,2080-01-19,110
2081,3.1307173,2081-01-11,102
2082,5.793133,2082-01-04,95
2083,5.265988,2083-01-10,101
2084,3.754245,2084-01-03,94
2085,7.0413184,2084-12-25,85
2086,6.6493196,2086-01-04,95
2087,8.9880085,2086-12-10,70
2088,6.053012,2087-12-18,78
2089,5.2985425,2088-12-07,67
2090,5.930925,2090-09-17,351
2091,9.752917,2090-12-10,70
2092,3.8310544,2092-09-30,365
2093,8.083354,2092-11-16,46
2094,4.65363,2093-11-15,45
2095,6.515813,2094-10-24,23
2096,5.9291935,2095-10-24,23
2097,5.873739,2097-09-30,364
