,maxval,maxdate,maxarg
1981,22.480564,1981-03-27,177
1982,42.936234,1982-04-15,196
1983,19.498089,1983-03-17,167
1984,13.56964,1984-03-21,172
1985,28.747746,1985-03-06,156
1986,21.415066,1986-03-17,167
1987,28.304312,1987-03-03,153
1988,19.74453,1988-02-18,140
1989,12.504675,1989-02-14,136
1990,28.137949,1990-02-26,148
1991,21.4135,1991-02-09,131
1992,22.02491,1992-02-13,135
1993,23.155798,1993-01-29,120
1994,15.021615,1994-01-17,108
1995,28.403078,1995-01-27,118
1996,23.624748,1996-01-20,111
1997,17.837038,1997-01-21,112
1998,25.429071,1998-01-01,92
1999,24.5845,1999-01-07,98
2000,13.269414,1999-12-12,72
2001,14.769622,2000-12-21,81
2002,26.096092,2001-12-30,90
2003,31.148182,2003-01-02,93
2004,28.97687,2003-12-04,64
2005,17.994389,2004-11-28,58
2006,17.550856,2005-11-17,47
2007,15.008705,2006-11-24,54
2008,23.852753,2008-09-30,365
2009,26.359257,2008-10-23,22
2010,28.142645,2009-11-06,36
2011,24.284418,2010-11-22,52
2012,23.44059,2012-09-30,365
2013,24.020468,2012-10-10,9
2014,15.978933,2014-01-22,113
2015,25.58183,2015-02-11,133
2016,19.242962,2016-02-08,130
2017,30.571733,2017-01-19,110
2018,15.9468355,2018-01-27,118
2019,21.860731,2019-01-25,116
2020,13.756888,2020-01-01,92
2021,27.460539,2020-12-11,71
2022,18.618761,2021-12-28,88
2023,34.203514,2022-12-31,91
2024,23.048365,2024-01-06,97
2025,24.816471,2024-12-08,68
2026,18.364073,2025-12-07,67
2027,9.148283,2026-11-15,45
2028,16.313864,2028-09-30,365
2029,28.914742,2028-11-21,51
2030,12.412441,2029-11-15,45
2031,17.055122,2031-09-29,363
2032,20.469858,2032-09-27,362
2033,31.974907,2033-09-30,364
2034,33.474525,2033-10-16,15
2035,25.858906,2035-09-30,364
2036,29.648233,2035-10-20,19
2037,25.539202,2037-09-26,360
2038,31.184284,2038-09-27,361
2039,31.171097,2038-10-02,1
2040,31.192953,2039-10-01,0
2041,13.331819,2041-08-28,331
2042,17.474903,2042-08-20,323
2043,22.280184,2043-08-28,331
2044,17.541183,2044-07-31,304
2045,15.818336,2045-08-17,320
2046,29.23826,2046-08-11,314
2047,34.2319,2047-08-09,312
2048,29.37141,2048-08-09,313
2049,12.110082,2049-06-24,266
2050,20.629124,2050-07-23,295
2051,15.380389,2051-06-29,271
2052,15.546174,2052-07-06,279
2053,26.553205,2053-06-21,263
2054,27.170311,2054-07-11,283
2055,15.188284,2055-06-14,256
2056,5.6798615,2056-06-01,244
2057,20.980955,2057-06-11,253
2058,18.827314,2058-06-08,250
2059,11.442654,2059-05-09,220
2060,15.957107,2060-05-25,237
2061,11.289485,2061-04-15,196
2062,14.521959,2062-04-15,196
2063,19.13562,2063-05-13,224
2064,11.733066,2064-04-30,212
2065,16.48174,2065-04-08,189
2066,22.89819,2066-05-09,220
2067,12.833692,2067-04-10,191
2068,16.042482,2068-04-13,195
2069,5.6243267,2069-03-21,171
2070,12.712758,2070-03-05,155
2071,18.243498,2071-03-25,175
2072,33.04419,2072-03-27,178
2073,14.319554,2073-03-23,173
2074,20.354115,2074-03-29,179
2075,13.209991,2075-02-07,129
2076,12.30313,2076-02-02,124
2077,21.452833,2077-02-18,140
2078,17.270506,2078-02-07,129
2079,15.2423315,2079-01-28,119
2080,9.071198,2080-01-19,110
2081,16.32884,2081-01-14,105
2082,12.766161,2082-01-06,97
2083,6.9269586,2083-01-10,101
2084,12.427997,2084-01-03,94
2085,10.8941145,2084-12-31,91
2086,13.803014,2086-01-02,93
2087,20.936193,2087-01-15,106
2088,16.617111,2087-12-20,80
2089,13.89836,2088-12-07,67
2090,3.822728,2090-09-26,360
2091,9.776194,2090-12-10,70
2092,10.084044,2092-09-30,365
2093,14.859628,2092-11-12,42
2094,7.9280305,2093-11-25,55
2095,11.983562,2094-11-28,58
2096,8.547115,2095-10-16,15
2097,8.81942,2097-09-30,364
