,maxval,maxdate,maxarg
1981,20.790804,1981-03-27,177
1982,27.047525,1982-04-14,195
1983,14.924526,1983-03-26,176
1984,10.3099575,1984-03-23,174
1985,22.731592,1985-04-04,185
1986,17.153624,1986-03-29,179
1987,20.08749,1987-03-06,156
1988,8.168532,1988-02-01,123
1989,12.388344,1989-02-11,133
1990,19.735489,1990-02-26,148
1991,17.243328,1991-02-12,134
1992,14.622307,1992-01-31,122
1993,17.344967,1993-02-02,124
1994,13.135613,1994-01-26,117
1995,20.351646,1995-01-15,106
1996,11.397253,1996-01-22,113
1997,12.601984,1996-12-24,84
1998,16.93501,1998-01-01,92
1999,12.589936,1999-01-07,98
2000,9.578982,1999-12-31,91
2001,12.300675,2000-12-25,85
2002,15.894324,2001-12-30,90
2003,25.78478,2003-01-02,93
2004,19.411512,2003-12-04,64
2005,15.3245945,2004-12-18,78
2006,25.083305,2005-11-23,53
2007,17.369427,2006-12-07,67
2008,16.742712,2008-09-30,365
2009,17.714195,2008-10-27,26
2010,14.208425,2010-09-22,356
2011,21.30241,2010-11-22,52
2012,19.545301,2011-10-01,0
2013,17.88654,2012-10-10,9
2014,16.63363,2014-01-22,113
2015,19.116156,2015-02-11,133
2016,13.518737,2016-02-05,127
2017,23.6148,2017-01-21,112
2018,17.178417,2018-01-31,122
2019,16.315796,2019-01-31,122
2020,12.588866,2020-01-01,92
2021,23.235933,2021-01-03,94
2022,18.026995,2022-01-10,101
2023,22.07845,2022-12-24,84
2024,13.282412,2024-01-11,102
2025,19.473364,2024-12-09,69
2026,10.740158,2025-12-03,63
2027,12.804855,2026-11-15,45
2028,11.4905815,2027-12-11,71
2029,16.337423,2028-11-17,47
2030,12.871766,2029-11-17,47
2031,11.819589,2030-11-11,41
2032,12.849372,2031-11-01,31
2033,18.857994,2033-09-30,364
2034,20.400366,2033-10-16,15
2035,18.712416,2035-09-30,364
2036,20.615976,2035-10-12,11
2037,20.5061,2037-09-27,361
2038,19.57757,2037-10-19,18
2039,28.152262,2039-09-30,364
2040,28.498617,2039-10-05,4
2041,16.692324,2041-08-28,331
2042,15.106701,2042-08-20,323
2043,11.080294,2043-08-18,321
2044,14.613129,2044-08-27,331
2045,12.6319,2045-08-18,321
2046,24.69034,2046-08-11,314
2047,20.763905,2047-08-16,319
2048,18.636051,2048-08-08,312
2049,10.962992,2049-07-28,300
2050,18.050873,2050-07-23,295
2051,17.019207,2051-07-01,273
2052,8.770746,2052-07-11,284
2053,18.358562,2053-07-05,277
2054,14.177878,2054-07-13,285
2055,12.561078,2055-06-22,264
2056,5.4768577,2056-06-02,245
2057,13.815317,2057-06-12,254
2058,13.843259,2058-06-08,250
2059,14.446809,2059-06-22,264
2060,13.574802,2060-05-24,236
2061,11.48378,2061-04-14,195
2062,25.046118,2062-05-27,238
2063,6.6437664,2063-05-09,220
2064,12.242006,2064-05-17,229
2065,10.975073,2065-04-27,208
2066,17.295355,2066-05-09,220
2067,8.0196085,2067-05-12,223
2068,10.0375595,2068-04-12,194
2069,5.8338866,2069-04-14,195
2070,8.376518,2070-03-21,171
2071,12.576908,2071-04-18,199
2072,13.269847,2072-03-25,176
2073,14.498675,2073-03-29,179
2074,7.853152,2074-03-12,162
2075,10.6523,2075-02-08,130
2076,12.728925,2076-02-02,124
2077,11.601016,2077-02-19,141
2078,10.702163,2078-02-07,129
2079,10.180461,2079-01-23,114
2080,10.255612,2080-03-22,173
2081,10.211174,2081-01-25,116
2082,5.9997416,2082-01-06,97
2083,7.7636876,2083-01-12,103
2084,9.046246,2084-01-02,93
2085,8.183307,2084-12-30,90
2086,5.3093357,2086-01-08,99
2087,6.689277,2086-12-17,77
2088,8.5588255,2087-12-23,83
2089,9.029794,2088-12-06,66
2090,4.8248863,2090-09-26,360
2091,7.555634,2090-12-11,71
2092,9.194606,2091-12-13,73
2093,13.40749,2092-11-16,46
2094,4.1463346,2093-11-21,51
2095,8.037508,2094-11-29,59
2096,6.5373216,2095-10-25,24
2097,6.5199747,2097-09-29,363
