,maxval,maxdate,maxarg
1981,4.039308,1981-03-05,155
1982,4.606438,1982-03-01,151
1983,4.1914687,1983-01-27,118
1984,3.134835,1984-02-04,126
1985,4.369903,1985-02-04,126
1986,4.8900785,1986-02-28,150
1987,6.194892,1987-02-01,123
1988,2.1222568,1988-01-16,107
1989,4.912864,1989-01-17,108
1990,5.604676,1990-02-19,141
1991,6.8039775,1990-12-19,79
1992,5.2566133,1992-01-23,114
1993,6.938804,1993-01-20,111
1994,5.082301,1993-12-21,81
1995,3.1937456,1994-12-14,74
1996,7.1647663,1995-12-08,68
1997,5.0550966,1996-11-30,60
1998,4.3614383,1998-01-01,92
1999,4.762799,1998-11-28,58
2000,4.894628,1999-10-19,18
2001,3.3606179,2000-11-28,58
2002,4.8901153,2001-12-31,91
2003,8.452753,2002-12-10,70
2004,3.0655184,2004-01-11,102
2005,7.078671,2005-09-29,363
2006,7.309341,2005-10-07,6
2007,7.729597,2006-10-14,13
2008,4.0975947,2007-10-18,17
2009,3.8160715,2008-10-01,0
2010,3.7577298,2010-09-22,356
2011,10.357435,2011-09-22,356
2012,8.385076,2011-10-01,0
2013,6.0653486,2012-10-11,10
2014,5.4001765,2014-01-23,114
2015,2.3000865,2015-09-30,364
2016,7.4383044,2016-01-30,121
2017,4.1975937,2016-12-08,68
2018,4.208957,2017-11-04,34
2019,3.4536908,2018-12-30,90
2020,3.381203,2019-11-07,37
2021,4.708367,2020-11-23,53
2022,4.2182016,2021-12-23,83
2023,5.996244,2022-12-12,72
2024,2.5293775,2023-11-13,43
2025,3.302696,2024-10-16,15
2026,5.995845,2025-10-15,14
2027,6.3477426,2027-09-30,364
2028,7.4167776,2027-10-26,25
2029,3.7152905,2029-09-29,363
2030,4.296635,2030-09-30,364
2031,4.4852457,2030-10-02,1
2032,4.335976,2031-10-24,23
2033,3.5882878,2033-09-27,361
2034,6.1897726,2034-09-17,351
2035,6.7200522,2035-09-24,358
2036,6.464625,2035-10-10,9
2037,1.8624828,2037-09-21,355
2038,3.0311842,2038-08-22,325
2039,3.0537493,2039-08-08,311
2040,4.033109,2040-08-25,329
2041,2.0746322,2041-05-26,237
2042,1.6522161,2041-10-23,22
2043,3.159613,2043-08-04,307
2044,2.565265,2044-07-10,283
2045,2.251459,2045-08-13,316
2046,6.565134,2046-07-14,286
2047,2.596378,2047-06-27,269
2048,2.0011077,2048-06-04,247
2049,2.763957,2049-06-05,247
2050,1.8907328,2050-06-14,256
2051,5.26272,2051-06-24,266
2052,1.4860874,2052-06-13,256
2053,5.2689276,2053-06-09,251
2054,5.666194,2054-07-02,274
2055,3.7793953,2055-06-02,244
2056,2.1310744,2056-06-28,271
2057,3.3995693,2057-05-15,226
2058,0.93012434,2058-06-07,249
2059,3.4904697,2059-05-08,219
2060,1.8973053,2060-04-11,193
2061,2.5300183,2061-03-13,163
2062,1.8571662,2062-04-02,183
2063,2.2128875,2063-04-05,186
2064,1.5834374,2064-04-08,190
2065,2.1109202,2065-03-14,164
2066,1.9524467,2066-03-15,165
2067,1.4782201,2067-04-11,192
2068,2.132427,2068-04-10,192
2069,2.4365,2069-04-05,186
2070,1.534722,2070-04-26,207
2071,0.97611016,2071-02-12,134
2072,2.5133815,2072-02-25,147
2073,2.97814,2073-01-25,116
2074,1.7914951,2074-02-25,147
2075,1.657991,2075-02-09,131
2076,1.2792302,2076-01-11,102
2077,1.5482721,2077-02-19,141
2078,2.6900954,2078-01-22,113
2079,1.588703,2078-12-19,79
2080,1.4326477,2080-01-21,112
2081,1.6082875,2080-12-13,73
2082,1.2061763,2081-12-06,66
2083,1.5663598,2082-12-08,68
2084,1.5051606,2083-11-10,40
2085,2.703516,2084-12-28,88
2086,2.6079512,2085-11-02,32
2087,1.9551568,2087-01-29,120
2088,0.88310784,2087-11-21,51
2089,1.2074884,2088-10-25,24
2090,1.815815,2090-08-20,323
2091,2.5410326,2090-12-09,69
2092,2.172852,2092-09-25,360
2093,4.774894,2092-11-04,34
2094,0.47313243,2094-09-14,348
2095,0.97496796,2095-09-30,364
2096,1.5611674,2095-10-08,7
2097,5.625675,2097-09-29,363
