,maxval,maxdate,maxarg
1981,26.600498,1981-03-27,177
1982,23.65347,1982-03-08,158
1983,16.986195,1983-03-24,174
1984,9.014008,1984-02-02,124
1985,31.745052,1985-03-25,175
1986,14.234047,1986-03-13,163
1987,23.268297,1987-03-26,176
1988,19.140434,1988-02-23,145
1989,14.597176,1989-02-09,131
1990,22.788788,1990-02-25,147
1991,20.170443,1991-02-11,133
1992,13.119323,1992-01-21,112
1993,25.212982,1993-02-01,123
1994,21.012165,1994-01-07,98
1995,25.217653,1995-01-03,94
1996,15.521792,1996-01-22,113
1997,11.875374,1996-11-15,45
1998,20.407228,1997-12-30,90
1999,17.666853,1999-01-05,96
2000,6.0419073,2000-09-24,359
2001,13.226338,2000-12-19,79
2002,13.468345,2002-09-30,364
2003,23.218513,2003-01-01,92
2004,15.670637,2003-12-10,70
2005,20.921242,2004-12-03,63
2006,21.083948,2005-11-17,47
2007,19.052422,2006-11-09,39
2008,20.086746,2007-10-30,29
2009,18.295046,2008-10-01,0
2010,18.937107,2010-09-22,356
2011,22.814445,2011-09-30,364
2012,23.085947,2011-10-02,1
2013,15.924435,2012-10-12,11
2014,16.755323,2014-01-15,106
2015,18.377378,2015-02-09,131
2016,15.96549,2016-01-07,98
2017,24.791504,2017-01-21,112
2018,18.746553,2018-01-31,122
2019,13.057828,2019-01-09,100
2020,14.462307,2019-11-25,55
2021,19.55538,2020-12-05,65
2022,21.044508,2022-01-10,101
2023,25.274172,2022-11-28,58
2024,16.265991,2024-09-30,365
2025,18.982172,2024-12-08,68
2026,14.504863,2025-12-05,65
2027,12.780397,2027-09-30,364
2028,16.098354,2027-12-11,71
2029,13.258567,2028-10-31,30
2030,9.877383,2030-09-19,353
2031,14.753711,2030-11-21,51
2032,15.246611,2031-11-01,31
2033,18.636286,2033-09-30,364
2034,23.989922,2034-09-30,364
2035,27.22242,2034-10-28,27
2036,16.247566,2035-10-01,0
2037,15.034508,2037-08-18,321
2038,9.8148985,2038-08-03,306
2039,18.844727,2039-09-30,364
2040,20.817472,2039-10-07,6
2041,14.881217,2040-10-03,2
2042,8.383685,2042-07-18,290
2043,7.939211,2043-08-04,307
2044,12.616502,2044-07-10,283
2045,6.7886257,2045-08-17,320
2046,21.172396,2046-07-08,280
2047,23.172136,2047-07-26,298
2048,9.300434,2048-07-15,288
2049,5.517942,2049-05-31,242
2050,9.35362,2050-07-23,295
2051,16.92662,2051-06-18,260
2052,4.0225353,2052-03-27,178
2053,15.591009,2053-06-10,252
2054,9.824929,2054-06-23,265
2055,14.987097,2055-06-29,271
2056,2.3733351,2056-01-29,120
2057,13.320549,2057-07-03,275
2058,3.184338,2058-06-04,246
2059,3.0168095,2059-02-28,150
2060,1.5249728,2060-05-17,229
2061,12.147745,2061-03-11,161
2062,15.008504,2062-03-31,181
2063,4.3934994,2063-03-31,181
2064,4.482501,2064-02-08,130
2065,10.637885,2065-04-07,188
2066,16.679605,2066-03-13,163
2067,3.214499,2067-04-10,191
2068,6.4550204,2068-02-17,139
2069,4.320153,2069-01-19,110
2070,8.620468,2070-03-06,156
2071,9.237966,2071-03-30,180
2072,13.598583,2072-03-24,175
2073,4.897405,2072-12-11,71
2074,5.1086054,2074-02-18,140
2075,10.459427,2075-02-07,129
2076,8.626393,2076-02-02,124
2077,4.1097856,2076-12-17,77
2078,6.1077623,2078-01-07,98
2079,7.334318,2079-01-23,114
2080,4.872696,2080-01-20,111
2081,4.401914,2081-01-25,116
2082,1.9903252,2082-09-24,358
2083,2.5220795,2082-11-17,47
2084,3.593462,2084-01-03,94
2085,4.691801,2084-12-31,91
2086,3.295097,2085-10-29,28
2087,1.9102774,2086-11-28,58
2088,1.9053869,2088-09-16,351
2089,0.8745029,2089-01-13,104
2090,2.595201,2090-09-13,347
2091,1.7156224,2091-08-24,327
2092,3.0325482,2091-12-03,63
2093,2.2800753,2092-11-01,31
2094,1.978153,2093-10-03,2
2095,2.6443365,2095-08-13,316
2096,3.0249767,2095-11-18,48
2097,4.085093,2097-08-30,333
