,maxval,maxdate,maxarg
1981,8.152824,1981-03-03,153
1982,9.410248,1982-02-21,143
1983,7.1816645,1983-01-22,113
1984,1.3082275,1983-12-08,68
1985,9.263659,1985-02-04,126
1986,3.2013457,1986-01-01,92
1987,7.4853883,1987-01-30,121
1988,9.040016,1988-01-13,104
1989,1.9614805,1988-12-23,83
1990,8.402686,1989-12-29,89
1991,7.589807,1990-12-04,64
1992,0.81444484,1991-11-23,53
1993,7.184848,1992-12-14,74
1994,8.932161,1993-12-11,71
1995,13.11491,1994-11-29,59
1996,2.4906347,1995-10-28,27
1997,6.0880094,1997-09-30,364
1998,9.905487,1997-12-01,61
1999,8.486991,1998-11-08,38
2000,2.460536,2000-09-23,358
2001,3.0746725,2001-09-29,363
2002,5.843718,2002-08-25,328
2003,4.5429873,2002-10-28,27
2004,5.1112313,2004-09-09,344
2005,9.673902,2005-09-15,349
2006,8.223908,2005-10-07,6
2007,7.1274204,2006-10-12,11
2008,6.551438,2008-08-27,331
2009,2.2021239,2009-09-24,358
2010,8.605318,2010-09-02,336
2011,10.121309,2011-09-23,357
2012,8.761045,2011-10-01,0
2013,0.58831984,2013-07-05,277
2014,7.194215,2013-12-08,68
2015,3.879658,2014-11-28,58
2016,4.2996926,2015-12-14,74
2017,3.9771113,2016-12-04,64
2018,5.572113,2017-11-04,34
2019,4.72054,2018-10-30,29
2020,5.704246,2019-11-02,32
2021,10.64522,2020-11-08,38
2022,1.8341521,2022-08-19,322
2023,5.5646887,2022-11-20,50
2024,7.7422976,2024-09-18,353
2025,6.3824425,2024-10-10,9
2026,4.9818115,2025-10-03,2
2027,3.940611,2027-09-30,364
2028,3.9923162,2027-10-04,3
2029,0.40636903,2029-07-12,284
2030,6.8007054,2030-09-11,345
2031,6.480594,2031-09-19,353
2032,4.582362,2031-10-01,0
2033,2.6063454,2033-07-01,273
2034,5.495615,2034-07-21,293
2035,2.36123,2035-08-15,318
2036,1.5623968,2036-07-05,278
2037,3.6770504,2037-06-23,265
2038,0.8317132,2038-06-12,254
2039,2.0050237,2039-09-13,347
2040,3.26715,2040-08-09,313
2041,2.6868913,2041-05-18,229
2042,0.84419835,2042-07-05,277
2043,1.4059328,2043-05-07,218
2044,4.8891954,2044-06-01,244
2045,1.5048207,2045-07-21,293
2046,6.43982,2046-07-02,274
2047,2.2552388,2047-05-22,233
2048,0.8389866,2048-06-08,251
2049,1.2232695,2049-04-04,185
2050,1.0091251,2050-03-30,180
2051,6.7703705,2051-05-12,223
2052,2.1642866,2052-03-24,175
2053,3.6518989,2053-04-24,205
2054,1.5396897,2054-04-07,188
2055,2.3995123,2055-03-18,168
2056,1.0994445,2056-03-04,155
2057,1.5809497,2057-05-09,220
2058,0.28381523,2058-05-01,212
2059,1.3046584,2059-02-28,150
2060,0.61512136,2060-04-20,202
2061,5.529373,2061-03-11,161
2062,2.57891,2062-02-01,123
2063,1.7317485,2063-02-12,134
2064,2.4223416,2064-02-02,124
2065,3.245613,2065-03-09,159
2066,3.5608199,2066-02-18,140
2067,0.42947325,2066-12-16,76
2068,0.401165,2067-12-06,66
2069,0.9444832,2069-01-17,108
2070,2.571277,2070-02-08,130
2071,1.8250706,2071-03-15,165
2072,4.70552,2072-02-17,139
2073,1.3622699,2072-12-11,71
2074,2.6658704,2074-01-05,96
2075,0.95705616,2075-02-05,127
2076,1.091485,2076-01-29,120
2077,1.8245236,2076-12-10,70
2078,1.6289693,2077-11-20,50
2079,1.0907884,2078-11-20,50
2080,0.016914984,2080-01-15,106
2081,0.40461507,2080-11-26,56
2082,0.26314664,2081-11-25,55
2083,0.28257063,2082-12-20,80
2084,0.60845774,2083-12-04,64
2085,0.7935405,2084-10-15,14
2086,2.6424515,2085-10-30,29
2087,0.28830558,2086-11-22,52
2088,0.015589685,2087-12-14,74
2089,0.013749461,2088-10-21,20
2090,0.00943581,2089-10-08,7
2091,0.005011516,2091-08-22,325
2092,0.4093442,2091-11-25,55
2093,0.4832249,2092-11-01,31
2094,0.21889783,2094-09-24,358
2095,0.350853,2095-08-09,312
2096,0.017524479,2095-10-05,4
2097,0.9854225,2097-08-17,320
