,maxval,maxdate,maxarg
1981,7.627742,1981-03-24,174
1982,9.186379,1982-03-03,153
1983,5.108594,1983-01-25,116
1984,3.306702,1984-02-02,124
1985,7.4386744,1985-03-25,175
1986,5.209394,1986-03-11,161
1987,6.0394998,1987-02-26,148
1988,5.080204,1988-01-28,119
1989,5.6674266,1989-01-17,108
1990,7.533162,1990-02-19,141
1991,5.091025,1990-12-31,91
1992,7.2311287,1992-01-21,112
1993,10.199376,1993-02-02,124
1994,7.559701,1993-12-20,80
1995,7.9251223,1995-01-15,106
1996,10.946637,1996-01-19,110
1997,7.3261337,1996-11-29,59
1998,8.00942,1997-12-05,65
1999,4.530566,1998-11-28,58
2000,3.6272454,2000-09-24,359
2001,5.0082846,2000-12-11,71
2002,7.349333,2001-11-26,56
2003,12.528373,2002-12-09,69
2004,5.06525,2004-09-25,360
2005,8.78688,2005-09-30,364
2006,10.834555,2005-11-17,47
2007,7.944258,2006-10-14,13
2008,6.1956635,2008-09-30,365
2009,6.106187,2008-10-01,0
2010,6.741737,2010-09-22,356
2011,10.528883,2011-09-30,364
2012,10.597374,2011-10-03,2
2013,3.4194515,2012-10-12,11
2014,9.248103,2014-01-21,112
2015,4.4602,2014-12-18,78
2016,9.171807,2016-01-30,121
2017,6.429761,2016-12-07,67
2018,5.3387084,2017-11-04,34
2019,6.637862,2018-11-03,33
2020,4.106645,2020-09-30,365
2021,6.484326,2020-11-24,54
2022,5.918055,2022-01-10,101
2023,10.032611,2022-12-10,70
2024,4.44368,2024-09-30,365
2025,6.0743136,2024-11-22,52
2026,3.9180956,2025-10-16,15
2027,7.1593738,2027-09-30,364
2028,8.052071,2027-11-26,56
2029,5.689252,2028-10-30,29
2030,6.695148,2030-09-30,364
2031,7.3900614,2030-11-09,39
2032,6.563479,2031-10-27,26
2033,4.273829,2033-09-26,360
2034,9.454488,2034-09-30,364
2035,10.283485,2034-10-10,9
2036,9.408463,2035-10-09,8
2037,5.251777,2037-08-18,321
2038,5.1905475,2038-08-04,307
2039,6.1242614,2039-08-09,312
2040,5.8536224,2039-10-01,0
2041,3.471859,2041-08-08,311
2042,2.544927,2042-06-14,256
2043,4.7629957,2043-08-04,307
2044,6.453836,2044-07-11,284
2045,2.0008852,2045-08-17,320
2046,8.807512,2046-07-13,285
2047,7.949155,2047-07-26,298
2048,2.9899554,2048-06-09,252
2049,5.0673704,2049-06-27,269
2050,2.3240862,2050-06-25,267
2051,10.872479,2051-06-25,267
2052,1.1127684,2052-04-30,212
2053,8.504735,2053-06-12,254
2054,3.240983,2054-07-01,273
2055,6.120975,2055-06-12,254
2056,2.9711277,2056-04-28,210
2057,4.7001667,2057-05-23,234
2058,1.8724856,2058-03-06,156
2059,3.7501435,2059-05-03,214
2060,2.425029,2060-04-10,192
2061,4.301371,2061-03-12,162
2062,4.2612743,2062-04-02,183
2063,0.8855235,2063-02-12,134
2064,1.7337517,2064-03-19,170
2065,5.267659,2065-03-14,164
2066,4.8818154,2066-03-14,164
2067,1.9788644,2067-04-12,193
2068,2.697954,2068-02-19,141
2069,3.082611,2069-02-04,126
2070,1.9779783,2070-03-05,155
2071,1.7717668,2071-02-05,127
2072,5.0387096,2072-02-27,149
2073,3.90617,2073-03-01,151
2074,3.6548133,2074-01-06,97
2075,3.7639215,2075-02-09,131
2076,3.2398677,2076-01-30,121
2077,2.028601,2077-02-22,144
2078,1.9471078,2078-01-11,102
2079,3.5305738,2079-01-23,114
2080,4.058367,2080-01-20,111
2081,2.4113388,2081-01-25,116
2082,2.1345246,2081-12-07,67
2083,1.5137682,2082-12-08,68
2084,2.1387184,2083-12-16,76
2085,4.5897236,2084-12-30,90
2086,4.3054843,2085-11-01,31
2087,2.3130589,2086-12-10,70
2088,0.82740736,2087-12-04,64
2089,1.657721,2088-10-28,27
2090,3.3081458,2090-09-25,359
2091,3.2476678,2090-10-01,0
2092,2.5835762,2091-10-01,0
2093,1.4851369,2092-11-04,34
2094,1.37265,2094-08-10,313
2095,1.0568984,2095-08-22,325
2096,1.6936685,2095-10-13,12
2097,3.375089,2097-08-31,334
