,maxval,maxdate,maxarg
1981,26.542671,1981-03-27,177
1982,32.565365,1982-03-16,166
1983,21.8748,1983-03-24,174
1984,12.341416,1984-02-02,124
1985,35.059135,1985-03-25,175
1986,13.187788,1986-02-23,145
1987,28.886032,1987-03-26,176
1988,23.182474,1988-02-23,145
1989,16.079512,1989-02-09,131
1990,28.682909,1990-02-25,147
1991,22.700365,1991-02-05,127
1992,13.646768,1992-01-21,112
1993,20.458736,1993-01-31,122
1994,19.508572,1994-01-07,98
1995,30.223173,1995-01-15,106
1996,18.167717,1996-01-22,113
1997,15.188362,1996-12-23,83
1998,25.563772,1997-12-31,91
1999,19.715237,1999-01-05,96
2000,6.145246,2000-09-25,360
2001,14.624509,2000-12-19,79
2002,15.447531,2002-09-30,364
2003,27.876173,2002-11-28,58
2004,23.966093,2003-12-10,70
2005,26.62537,2004-12-03,63
2006,23.327711,2005-11-18,48
2007,21.505596,2006-11-09,39
2008,25.488306,2007-10-31,30
2009,23.184832,2008-10-01,0
2010,18.252197,2010-09-23,357
2011,24.64912,2011-09-30,364
2012,25.643526,2011-10-03,2
2013,21.945301,2012-10-12,11
2014,16.585846,2014-01-13,104
2015,19.861414,2015-02-09,131
2016,17.244848,2016-01-09,100
2017,27.930166,2017-01-21,112
2018,19.856796,2018-02-01,123
2019,16.098917,2019-01-08,99
2020,17.710072,2019-11-26,56
2021,23.299715,2020-12-05,65
2022,20.77785,2022-01-09,100
2023,31.238646,2022-11-28,58
2024,16.960508,2024-09-30,365
2025,18.809841,2024-12-08,68
2026,17.22331,2025-12-05,65
2027,14.20227,2027-09-30,364
2028,16.99737,2027-12-11,71
2029,16.712101,2028-10-31,30
2030,9.862594,2030-09-30,364
2031,14.940929,2030-11-10,40
2032,19.275345,2032-09-27,362
2033,28.107206,2033-09-30,364
2034,28.284885,2033-10-09,8
2035,29.395178,2034-10-28,27
2036,21.77092,2035-10-01,0
2037,16.012442,2037-08-18,321
2038,14.046776,2038-09-06,340
2039,23.331764,2039-09-23,357
2040,23.93688,2039-10-07,6
2041,19.42648,2040-10-02,1
2042,12.572562,2042-08-08,311
2043,9.512603,2043-08-04,307
2044,14.890084,2044-07-10,283
2045,9.956989,2045-08-11,314
2046,25.043013,2046-07-09,281
2047,27.492651,2047-07-27,299
2048,14.873302,2048-07-16,289
2049,7.6053452,2049-05-31,242
2050,14.395906,2050-07-24,296
2051,18.147161,2051-06-23,265
2052,4.890305,2052-05-01,213
2053,20.129189,2053-06-16,258
2054,10.944547,2054-06-24,266
2055,14.799108,2055-06-25,267
2056,2.3540342,2056-03-03,154
2057,13.821754,2057-07-03,275
2058,10.124389,2058-05-07,218
2059,4.917076,2059-03-02,152
2060,3.9205294,2060-04-21,203
2061,15.996019,2061-04-10,191
2062,19.30497,2062-04-01,182
2063,6.131024,2063-04-20,201
2064,7.9855847,2064-02-09,131
2065,11.231367,2065-04-08,189
2066,18.481022,2066-03-12,162
2067,3.077262,2066-12-20,80
2068,11.471276,2068-02-19,141
2069,7.9563417,2069-02-23,145
2070,9.683482,2070-03-23,173
2071,9.169968,2071-03-29,179
2072,13.87435,2072-03-07,158
2073,6.073883,2072-12-11,71
2074,6.0287447,2074-02-18,140
2075,10.399908,2075-02-08,130
2076,11.844054,2076-02-04,126
2077,5.1275597,2076-12-20,80
2078,5.670469,2078-01-07,98
2079,7.710675,2079-01-23,114
2080,4.9798646,2080-01-20,111
2081,5.7081404,2081-01-25,116
2082,1.3229604,2081-11-24,54
2083,2.8072627,2082-11-17,47
2084,5.0793,2084-01-03,94
2085,7.195551,2084-12-31,91
2086,3.6767716,2085-10-30,29
2087,2.4484763,2086-12-10,70
2088,2.6260273,2088-09-16,351
2089,1.474087,2088-10-28,27
2090,4.918395,2090-09-14,348
2091,4.0929623,2090-10-08,7
2092,2.2022846,2091-11-29,59
2093,3.0294235,2093-09-30,364
2094,3.0571494,2093-10-02,1
2095,2.8402376,2094-10-01,0
2096,2.7371798,2095-11-17,47
2097,3.9636674,2097-08-30,333
