,maxval,maxdate,maxarg
1981,22.961845,1981-04-11,192
1982,46.870247,1982-04-27,208
1983,20.240772,1983-04-27,208
1984,11.061196,1984-05-02,214
1985,24.380709,1985-04-10,191
1986,15.738553,1986-04-02,183
1987,21.642931,1987-04-08,189
1988,11.879091,1988-03-16,167
1989,11.318857,1989-03-20,170
1990,26.40894,1990-03-10,160
1991,15.052126,1991-02-15,137
1992,18.021917,1992-02-12,134
1993,15.863979,1993-02-02,124
1994,11.363872,1994-09-30,364
1995,23.752144,1995-02-10,132
1996,19.407116,1996-01-30,121
1997,13.334065,1997-02-09,131
1998,21.710476,1998-01-21,112
1999,20.371122,1999-01-15,106
2000,11.416016,2000-01-05,96
2001,10.142601,2001-09-30,364
2002,19.206106,2002-01-04,95
2003,22.476048,2003-01-03,94
2004,30.179958,2004-01-02,93
2005,14.906076,2004-12-18,78
2006,22.863056,2005-12-14,74
2007,19.529789,2006-12-08,68
2008,21.295856,2008-09-30,365
2009,23.40835,2008-11-08,38
2010,20.818766,2009-11-26,56
2011,21.868547,2010-11-24,54
2012,19.05198,2011-10-26,25
2013,19.84817,2012-10-27,26
2014,10.042773,2014-01-22,113
2015,20.455305,2015-02-11,133
2016,16.210285,2016-02-13,135
2017,28.797482,2017-01-22,113
2018,19.872242,2018-02-06,128
2019,16.59401,2019-02-04,126
2020,10.623654,2020-01-10,101
2021,25.386438,2021-01-10,101
2022,16.769264,2022-01-13,104
2023,32.75415,2023-01-20,111
2024,16.592531,2024-01-11,102
2025,20.182392,2024-12-29,89
2026,13.088339,2025-12-21,81
2027,9.591339,2026-11-18,48
2028,11.42796,2027-12-13,73
2029,16.486774,2028-11-21,51
2030,12.042098,2029-12-15,75
2031,11.691131,2031-09-29,363
2032,18.287167,2032-09-30,365
2033,23.631386,2033-09-30,364
2034,25.165112,2033-11-04,34
2035,20.398733,2035-09-30,364
2036,22.667576,2035-11-12,42
2037,23.674139,2037-09-30,364
2038,23.673485,2037-10-01,0
2039,23.437078,2039-09-30,364
2040,23.581453,2039-10-05,4
2041,20.442608,2040-10-05,4
2042,13.313101,2042-08-30,333
2043,12.466538,2043-09-16,350
2044,12.823661,2044-08-30,334
2045,14.711304,2045-09-03,337
2046,26.488811,2046-08-12,315
2047,32.109314,2047-08-14,317
2048,31.129486,2048-08-18,322
2049,18.912273,2048-10-02,1
2050,24.716621,2050-08-16,319
2051,13.933938,2051-07-03,275
2052,8.881566,2052-07-11,284
2053,17.857603,2053-07-06,278
2054,13.982772,2054-07-12,284
2055,12.4579935,2055-07-03,275
2056,8.410525,2056-06-18,261
2057,17.67465,2057-07-10,282
2058,13.737378,2058-06-09,251
2059,14.6213875,2059-06-18,260
2060,12.445741,2060-06-03,246
2061,10.375479,2061-06-12,254
2062,34.594524,2062-05-31,242
2063,11.712169,2063-05-23,234
2064,18.582235,2064-05-21,233
2065,10.612276,2065-04-27,208
2066,20.844404,2066-05-11,222
2067,17.651377,2067-05-14,225
2068,16.214636,2068-04-11,193
2069,14.627565,2069-05-07,218
2070,10.324597,2070-03-24,174
2071,21.123354,2071-04-21,202
2072,21.480267,2072-03-27,178
2073,18.305939,2073-03-28,178
2074,18.551231,2074-04-09,190
2075,11.412431,2075-03-09,159
2076,20.459484,2076-03-06,157
2077,15.310266,2077-02-27,149
2078,14.645591,2078-02-26,148
2079,14.479628,2079-01-29,120
2080,14.966261,2080-03-23,174
2081,20.369183,2081-01-28,119
2082,6.0533533,2082-02-06,128
2083,11.143956,2083-01-18,109
2084,10.863628,2084-01-05,96
2085,22.506882,2085-01-07,98
2086,12.607565,2086-01-14,105
2087,25.504896,2087-01-15,106
2088,20.092583,2087-12-27,87
2089,14.804378,2089-01-16,107
2090,7.9965243,2090-01-01,92
2091,14.038647,2090-12-25,85
2092,13.078904,2092-09-30,365
2093,17.65615,2092-11-17,47
2094,11.179071,2093-11-27,57
2095,17.523012,2094-11-27,57
2096,4.875987,2095-12-02,62
2097,6.6037965,2097-09-30,364
