,maxval,maxdate,maxarg
1981,20.291203,1981-03-25,175
1982,15.450056,1982-03-06,156
1983,13.203619,1983-01-27,118
1984,11.245683,1984-02-01,123
1985,20.153797,1985-03-07,157
1986,9.632268,1986-02-01,123
1987,16.348978,1987-03-10,160
1988,17.092302,1988-02-22,144
1989,7.536755,1988-12-26,86
1990,14.076262,1990-01-24,115
1991,13.646841,1991-01-01,92
1992,5.489047,1992-01-24,115
1993,8.089152,1993-01-24,115
1994,14.059358,1993-12-10,70
1995,16.437662,1995-01-02,93
1996,13.424626,1996-01-09,100
1997,8.03081,1996-11-17,47
1998,18.929144,1997-12-05,65
1999,12.297906,1998-11-20,50
2000,7.9101844,2000-09-23,358
2001,11.103894,2000-11-29,59
2002,11.838743,2002-09-30,364
2003,15.137466,2002-10-27,26
2004,10.076057,2003-11-06,36
2005,16.823637,2004-12-03,63
2006,10.859101,2005-11-16,46
2007,12.134919,2006-10-14,13
2008,10.726403,2007-10-10,9
2009,9.688088,2008-10-01,0
2010,15.366038,2010-09-12,346
2011,14.961433,2011-09-30,364
2012,15.1823845,2011-10-02,1
2013,9.052288,2012-10-12,11
2014,6.093262,2013-12-24,84
2015,10.704976,2014-11-30,60
2016,9.191775,2015-12-02,62
2017,11.17164,2016-12-05,65
2018,12.585514,2017-11-29,59
2019,8.98714,2018-11-05,35
2020,9.155615,2019-11-26,56
2021,15.678692,2020-11-25,55
2022,7.451286,2022-09-30,364
2023,14.952947,2022-11-28,58
2024,7.210264,2024-09-30,365
2025,9.079961,2024-10-16,15
2026,13.62001,2025-11-29,59
2027,8.606726,2027-09-30,364
2028,10.294401,2027-11-20,50
2029,2.246603,2028-10-01,0
2030,10.105494,2030-09-20,354
2031,11.085381,2030-10-31,30
2032,7.0691853,2031-10-27,26
2033,11.88157,2033-09-25,359
2034,10.922902,2033-10-01,0
2035,12.312277,2035-09-16,350
2036,9.358162,2035-10-01,0
2037,8.587487,2037-08-16,319
2038,3.887123,2038-07-16,288
2039,4.0551243,2039-07-22,294
2040,6.867015,2040-08-29,333
2041,8.826116,2041-07-03,275
2042,3.1883504,2042-06-11,253
2043,4.2491446,2043-05-31,242
2044,5.8561845,2044-06-30,273
2045,3.990607,2045-04-16,197
2046,9.487935,2046-07-10,282
2047,6.196885,2047-07-22,294
2048,3.3709679,2048-06-20,263
2049,2.4855442,2049-05-09,220
2050,1.3262409,2050-06-29,271
2051,10.634766,2051-06-24,266
2052,2.67341,2052-05-02,214
2053,6.3054237,2053-04-26,207
2054,2.4803264,2054-04-15,196
2055,8.271055,2055-05-23,234
2056,1.4227673,2056-04-27,209
2057,7.8696346,2057-05-24,235
2058,1.5461918,2058-03-06,156
2059,3.4030259,2059-05-01,212
2060,1.7051733,2060-04-07,189
2061,5.4555345,2061-03-11,161
2062,5.4354997,2062-04-02,183
2063,3.6263897,2063-02-16,138
2064,2.9703908,2064-02-10,132
2065,6.1364493,2065-04-08,189
2066,5.9448166,2066-03-12,162
2067,1.7260063,2067-02-26,148
2068,1.101515,2068-02-15,137
2069,1.1854064,2069-01-21,112
2070,7.3455667,2070-03-06,156
2071,1.2901443,2071-02-02,124
2072,4.573259,2072-02-26,148
2073,3.2450657,2073-01-25,116
2074,1.7736897,2074-01-21,112
2075,7.7073483,2075-02-09,131
2076,6.6297674,2076-01-28,119
2077,1.1472245,2076-12-15,75
2078,1.6218082,2077-12-06,66
2079,2.0593467,2079-01-23,114
2080,4.5360074,2080-01-20,111
2081,4.9819007,2080-12-03,63
2082,1.6234525,2081-11-29,59
2083,1.7510482,2082-12-08,68
2084,3.1938634,2083-12-17,77
2085,3.2771044,2084-11-28,58
2086,0.7640255,2085-10-31,30
2087,0.5608825,2086-12-10,70
2088,0.46025628,2087-11-03,33
2089,0.35259122,2088-10-28,27
2090,2.5304267,2089-10-28,27
2091,0.5312568,2091-09-19,353
2092,1.8237578,2092-09-27,362
2093,0.3554086,2093-08-28,331
2094,0.69033307,2094-09-30,364
2095,0.94193846,2094-10-02,1
2096,1.3247496,2095-10-21,20
2097,3.5627532,2097-08-31,334
