,maxval,maxdate,maxarg
1981,12.257271,1981-03-27,177
1982,17.148514,1982-03-17,167
1983,14.041403,1983-03-01,151
1984,10.952264,1984-03-17,168
1985,18.748005,1985-03-26,176
1986,7.3996916,1986-03-12,162
1987,11.299986,1987-03-03,153
1988,10.007041,1988-02-24,146
1989,8.764973,1989-02-03,125
1990,12.012398,1990-02-20,142
1991,8.142495,1991-02-02,124
1992,9.720686,1992-01-20,111
1993,10.339269,1993-02-04,126
1994,12.908482,1994-01-10,101
1995,14.871016,1995-01-15,106
1996,9.432782,1996-01-23,114
1997,9.137869,1996-12-23,83
1998,13.952204,1997-12-30,90
1999,6.5790195,1998-12-05,65
2000,4.241387,2000-09-25,360
2001,7.5369453,2000-12-11,71
2002,10.732012,2001-11-25,55
2003,14.212298,2002-12-09,69
2004,17.253008,2003-11-30,60
2005,16.723885,2004-12-07,67
2006,16.315117,2005-11-19,49
2007,14.169905,2006-10-27,26
2008,9.655539,2007-10-30,29
2009,11.750655,2009-09-30,364
2010,12.384514,2009-10-19,18
2011,14.037785,2011-09-30,364
2012,14.292361,2011-10-04,3
2013,13.068968,2012-10-15,14
2014,6.60875,2014-01-20,111
2015,11.705749,2015-01-28,119
2016,6.0676064,2016-01-14,105
2017,19.201075,2017-01-22,113
2018,14.118813,2018-02-01,123
2019,9.828177,2018-12-11,71
2020,10.307044,2019-12-01,61
2021,15.718581,2020-12-09,69
2022,8.848227,2022-09-30,364
2023,14.4106865,2022-12-10,70
2024,9.551448,2024-09-30,365
2025,15.250258,2024-11-24,54
2026,6.4964495,2025-12-05,65
2027,9.447234,2027-09-30,364
2028,10.031691,2027-10-30,29
2029,10.586367,2028-11-13,43
2030,7.025702,2030-09-30,364
2031,8.8402405,2030-11-10,40
2032,10.144302,2032-09-26,361
2033,10.63833,2033-09-27,361
2034,15.76207,2034-09-30,364
2035,16.63924,2034-10-21,20
2036,13.052021,2035-10-01,0
2037,9.119831,2037-08-19,322
2038,8.230762,2038-08-30,333
2039,16.633114,2039-09-24,358
2040,16.629425,2039-10-05,4
2041,12.183135,2041-08-11,314
2042,9.319778,2042-08-12,315
2043,5.871025,2043-08-05,308
2044,11.727835,2044-07-22,295
2045,2.3997855,2045-05-13,224
2046,14.489948,2046-07-12,284
2047,12.432895,2047-07-26,298
2048,3.9140573,2048-06-21,264
2049,7.4411645,2049-06-28,270
2050,5.6314845,2050-07-08,280
2051,13.411407,2051-07-03,275
2052,8.702091,2052-05-27,239
2053,13.273806,2053-06-12,254
2054,1.8253583,2054-04-22,203
2055,6.8180556,2055-06-13,255
2056,5.328041,2056-04-30,212
2057,6.356448,2057-05-25,236
2058,6.6130714,2058-05-17,228
2059,11.186485,2059-05-03,214
2060,1.5098593,2060-04-10,192
2061,6.8168554,2061-04-11,192
2062,13.763899,2062-04-07,188
2063,5.5322795,2063-04-20,201
2064,11.340397,2064-04-23,205
2065,6.370505,2065-04-07,188
2066,9.918453,2066-03-14,164
2067,1.7569727,2067-01-31,122
2068,2.5828543,2068-02-19,141
2069,1.7853525,2068-12-18,78
2070,5.6417933,2070-03-24,174
2071,2.4333355,2071-02-08,130
2072,5.8876147,2072-02-27,149
2073,6.2479997,2073-03-15,165
2074,2.7806518,2074-01-21,112
2075,6.493654,2075-02-09,131
2076,7.8503933,2076-02-03,125
2077,3.423537,2077-01-08,99
2078,2.0451586,2078-01-11,102
2079,3.6299734,2079-01-08,99
2080,4.4314995,2080-01-21,112
2081,3.6712651,2080-12-03,63
2082,1.032773,2082-09-25,359
2083,3.0854652,2082-12-08,68
2084,7.2711005,2083-12-17,77
2085,6.466688,2085-01-02,93
2086,2.8570306,2085-11-06,36
2087,2.1966603,2086-10-29,28
2088,1.1976223,2087-10-28,27
2089,1.7505655,2088-10-28,27
2090,2.0968845,2090-09-30,364
2091,2.342161,2091-09-30,364
2092,3.486262,2091-10-19,18
2093,1.6408492,2093-08-09,312
2094,2.014845,2094-09-30,364
2095,2.4161763,2095-08-25,328
2096,1.1959358,2095-11-09,39
2097,2.497421,2097-08-31,334
