,maxval,maxdate,maxarg
1981,15.381688,1981-03-28,178
1982,24.021196,1982-03-21,171
1983,13.721924,1983-02-27,149
1984,10.243,1984-03-22,173
1985,20.762419,1985-03-26,176
1986,9.539129,1986-03-15,165
1987,17.733692,1987-03-12,162
1988,13.6065035,1988-02-24,146
1989,10.418238,1989-02-03,125
1990,17.155733,1990-02-26,148
1991,14.669829,1991-02-09,131
1992,12.923871,1992-01-25,116
1993,15.100661,1993-02-05,127
1994,13.832522,1994-01-09,100
1995,18.571136,1995-01-15,106
1996,13.5049715,1996-01-20,111
1997,9.87484,1996-12-23,83
1998,18.01262,1998-01-01,92
1999,7.403197,1998-12-08,68
2000,11.428703,1999-12-10,70
2001,10.911314,2000-12-25,85
2002,13.317438,2002-09-30,364
2003,20.796503,2002-12-09,69
2004,18.980642,2003-12-02,62
2005,19.211353,2004-12-09,69
2006,17.407612,2005-11-21,51
2007,14.441689,2006-11-10,40
2008,13.409087,2008-09-30,365
2009,14.891021,2008-10-20,19
2010,13.935097,2009-11-10,40
2011,18.421223,2011-09-30,364
2012,18.451633,2011-10-06,5
2013,18.569002,2012-10-17,16
2014,12.928878,2014-01-27,118
2015,17.81939,2015-02-10,132
2016,11.810973,2016-01-31,122
2017,25.19506,2017-01-23,114
2018,19.458542,2018-02-02,124
2019,14.48015,2019-01-11,102
2020,12.686838,2019-12-20,80
2021,18.152515,2020-12-12,72
2022,13.575994,2022-01-11,102
2023,19.504921,2022-12-24,84
2024,11.239776,2023-12-12,72
2025,17.33693,2024-11-24,54
2026,12.403758,2025-12-06,66
2027,10.99239,2027-09-30,364
2028,13.957806,2027-11-28,58
2029,13.794047,2028-11-14,44
2030,8.086422,2030-09-30,364
2031,11.7944975,2030-11-11,41
2032,12.793807,2032-09-30,365
2033,13.553323,2032-10-09,8
2034,16.831125,2034-09-30,364
2035,19.464779,2034-10-24,23
2036,17.845104,2035-10-10,9
2037,13.579065,2037-08-29,332
2038,13.748742,2038-09-10,344
2039,20.771338,2039-09-30,364
2040,21.21671,2039-10-05,4
2041,20.071749,2041-09-08,342
2042,15.652836,2041-10-01,0
2043,10.672788,2043-08-27,330
2044,13.810988,2044-08-15,319
2045,10.43272,2045-08-18,321
2046,18.888659,2046-08-08,311
2047,18.044857,2047-08-16,319
2048,11.817615,2048-07-24,297
2049,13.005733,2049-06-29,271
2050,13.568222,2050-08-01,304
2051,18.909794,2051-07-03,275
2052,17.949127,2052-07-12,285
2053,16.558502,2053-06-26,268
2054,9.856685,2054-07-05,277
2055,10.613375,2055-06-22,264
2056,9.591988,2056-05-24,236
2057,13.93393,2057-06-29,271
2058,14.715266,2058-06-04,246
2059,14.315856,2059-05-15,226
2060,10.6381035,2060-05-23,235
2061,13.528872,2061-05-21,232
2062,20.952667,2062-05-18,229
2063,6.399652,2063-04-22,203
2064,16.283997,2064-05-14,226
2065,10.822342,2065-04-07,188
2066,14.806326,2066-03-26,176
2067,12.379089,2067-05-03,214
2068,8.653088,2068-04-12,194
2069,7.726104,2069-02-26,148
2070,8.970625,2070-03-24,174
2071,11.623406,2071-03-30,180
2072,9.501441,2072-03-27,178
2073,16.316908,2073-03-19,169
2074,5.7664604,2074-02-26,148
2075,12.231002,2075-02-16,138
2076,14.8292465,2076-02-05,127
2077,9.616145,2077-02-23,145
2078,7.9843073,2078-01-27,118
2079,8.567244,2079-01-28,119
2080,8.389898,2080-01-23,114
2081,18.01918,2081-01-25,116
2082,5.866311,2082-01-06,97
2083,8.905262,2083-01-12,103
2084,15.505746,2084-01-09,100
2085,16.969677,2085-01-02,93
2086,8.663076,2085-12-13,73
2087,9.711804,2086-12-17,77
2088,7.0448775,2087-12-05,65
2089,6.4338174,2088-12-05,65
2090,6.6308184,2090-09-26,360
2091,9.497319,2090-11-13,43
2092,11.814817,2091-12-04,64
2093,9.095821,2092-11-14,44
2094,8.942676,2093-10-27,26
2095,8.031279,2094-10-17,16
2096,10.200689,2095-12-05,65
2097,7.4778466,2097-09-30,364
