,maxval,maxdate,maxarg
1981,24.50166,1981-04-09,190
1982,41.292137,1982-04-22,203
1983,24.906126,1983-03-26,176
1984,22.074696,1984-05-02,214
1985,30.972755,1985-04-11,192
1986,15.096903,1986-03-28,178
1987,28.679932,1987-04-07,188
1988,24.56496,1988-03-16,167
1989,17.957561,1989-02-11,133
1990,27.779345,1990-03-09,159
1991,24.139185,1991-02-16,138
1992,21.549726,1992-02-13,135
1993,24.957283,1993-02-10,132
1994,19.387163,1994-01-26,117
1995,29.646622,1995-02-10,132
1996,21.996517,1996-01-20,111
1997,16.501314,1997-01-11,102
1998,28.85274,1998-01-15,106
1999,17.61277,1999-01-06,97
2000,22.53574,2000-01-05,96
2001,15.519858,2000-12-27,87
2002,23.627977,2002-01-01,92
2003,32.33175,2003-01-04,95
2004,27.634386,2003-12-11,71
2005,29.727753,2004-12-21,81
2006,27.636497,2005-11-27,57
2007,23.643948,2006-11-30,60
2008,22.400436,2008-09-30,365
2009,24.756569,2008-11-04,34
2010,21.992651,2009-11-13,43
2011,27.752008,2011-09-30,364
2012,30.840324,2011-11-01,31
2013,31.341742,2012-10-29,28
2014,17.988773,2014-02-05,127
2015,32.454994,2015-02-18,140
2016,19.548279,2016-02-14,136
2017,40.825386,2017-01-28,119
2018,31.250935,2018-02-06,128
2019,23.011684,2019-01-23,114
2020,23.632196,2020-01-11,102
2021,28.965355,2021-01-04,95
2022,19.621525,2022-01-11,102
2023,35.373924,2023-01-16,107
2024,19.97011,2024-01-11,102
2025,27.552788,2024-12-30,90
2026,23.41013,2025-12-18,78
2027,20.994648,2026-12-01,61
2028,24.04784,2027-12-21,81
2029,21.428282,2028-12-06,66
2030,17.628288,2029-11-20,50
2031,18.829252,2030-11-23,53
2032,23.198334,2032-09-30,365
2033,29.587358,2032-11-24,54
2034,24.834393,2034-09-30,364
2035,29.326014,2034-11-03,33
2036,26.869526,2035-10-31,30
2037,24.192867,2036-10-22,21
2038,22.394936,2037-10-01,0
2039,31.2414,2039-09-30,364
2040,32.405277,2039-10-15,14
2041,30.457535,2041-09-26,360
2042,30.107172,2041-10-09,8
2043,17.142874,2043-09-16,350
2044,24.919973,2044-08-31,335
2045,20.741634,2045-09-15,349
2046,26.744156,2046-08-20,323
2047,30.123371,2047-08-27,330
2048,23.911287,2048-08-08,312
2049,22.374525,2049-07-30,302
2050,20.369207,2050-08-16,319
2051,30.504047,2051-08-01,304
2052,24.740002,2052-07-16,289
2053,26.295238,2053-07-03,275
2054,13.258236,2054-07-14,286
2055,17.705744,2055-07-03,275
2056,20.1227,2056-06-17,260
2057,22.625772,2057-07-04,276
2058,24.9653,2058-06-21,263
2059,24.614109,2059-06-03,245
2060,18.469034,2060-05-27,239
2061,26.352686,2061-06-12,254
2062,30.207905,2062-06-18,260
2063,12.362475,2063-05-12,223
2064,31.235975,2064-05-23,235
2065,22.639807,2065-04-29,210
2066,23.380686,2066-05-13,224
2067,25.28816,2067-05-13,224
2068,14.989735,2068-04-15,197
2069,16.909164,2069-04-14,195
2070,17.169641,2070-03-30,180
2071,19.683783,2071-04-21,202
2072,18.01372,2072-03-26,177
2073,28.522697,2073-03-29,179
2074,13.519338,2074-04-03,184
2075,23.628328,2075-04-13,194
2076,23.950186,2076-02-08,130
2077,20.249475,2077-02-27,149
2078,13.547862,2078-02-07,129
2079,14.264316,2079-03-15,165
2080,18.987326,2080-03-22,173
2081,29.689,2081-01-27,118
2082,10.583476,2082-01-10,101
2083,16.48114,2083-01-17,108
2084,25.169157,2084-01-09,100
2085,28.494894,2085-01-15,106
2086,16.370502,2086-01-24,115
2087,21.65124,2087-01-14,105
2088,15.174498,2087-12-24,84
2089,13.883784,2088-12-06,66
2090,12.538787,2090-09-30,364
2091,21.79842,2091-01-04,95
2092,20.340057,2091-12-17,77
2093,17.823647,2092-11-20,50
2094,18.19671,2093-12-01,61
2095,16.537336,2094-11-08,38
2096,19.250475,2095-12-05,65
2097,13.005829,2096-11-23,53
