,maxval,maxdate,maxarg
1981,17.322582,1981-03-23,173
1982,36.75574,1982-04-13,194
1983,13.763022,1983-03-17,167
1984,12.543824,1984-03-19,170
1985,19.702929,1985-03-05,155
1986,14.882415,1986-03-17,167
1987,24.215347,1987-03-02,152
1988,14.192636,1988-02-20,142
1989,11.222659,1989-02-18,140
1990,19.33686,1990-02-26,148
1991,13.829532,1991-02-09,131
1992,14.465782,1992-01-27,118
1993,17.401125,1993-01-28,119
1994,12.188781,1994-09-30,364
1995,28.605698,1995-01-26,117
1996,19.497509,1996-01-21,112
1997,11.046215,1996-12-18,78
1998,18.541445,1997-12-31,91
1999,18.757116,1999-01-07,98
2000,10.780271,1999-12-12,72
2001,9.660447,2000-12-15,75
2002,21.658028,2001-12-29,89
2003,20.700136,2002-12-08,68
2004,23.678772,2003-12-04,64
2005,13.696938,2004-11-29,59
2006,15.262679,2005-11-14,44
2007,9.886894,2007-09-30,364
2008,18.048187,2008-09-30,365
2009,19.758478,2009-09-28,362
2010,22.853125,2009-10-23,22
2011,17.078917,2010-11-09,39
2012,15.492779,2012-09-30,365
2013,15.783181,2012-10-09,8
2014,11.414004,2014-01-21,112
2015,15.764517,2015-01-28,119
2016,18.070255,2016-02-08,130
2017,18.008602,2017-01-15,106
2018,11.237267,2018-01-20,111
2019,19.118473,2019-02-01,123
2020,8.849161,2020-01-01,92
2021,20.175812,2020-12-11,71
2022,18.555037,2021-12-28,88
2023,26.808897,2022-12-26,86
2024,15.010052,2023-12-17,77
2025,17.377363,2024-12-07,67
2026,12.770927,2025-12-07,67
2027,7.1893697,2027-09-30,364
2028,14.857224,2027-11-25,55
2029,18.628418,2028-11-12,42
2030,7.607505,2030-09-29,363
2031,14.289009,2031-09-29,363
2032,16.704275,2031-10-25,24
2033,25.417255,2033-09-30,364
2034,26.045853,2033-10-10,9
2035,18.896715,2035-09-30,364
2036,19.8955,2035-10-10,9
2037,17.938068,2037-09-16,350
2038,21.184505,2038-09-20,354
2039,20.97312,2038-10-01,0
2040,19.60332,2039-10-01,0
2041,8.877545,2040-10-04,3
2042,10.628104,2042-08-18,321
2043,14.531809,2043-08-27,330
2044,9.238001,2044-07-20,293
2045,11.05099,2045-08-16,319
2046,17.930742,2046-07-09,281
2047,25.862331,2047-07-25,297
2048,27.44517,2048-07-30,303
2049,5.578827,2048-10-01,0
2050,14.71896,2050-07-16,288
2051,12.453886,2051-06-26,268
2052,8.45806,2052-06-18,261
2053,16.057974,2053-06-18,260
2054,18.379118,2054-07-08,280
2055,10.998864,2055-06-13,255
2056,3.8788464,2056-04-24,206
2057,14.894992,2057-06-11,253
2058,10.404376,2058-06-07,249
2059,8.061557,2059-04-30,211
2060,7.414926,2060-05-17,229
2061,5.1841383,2061-04-14,195
2062,9.584651,2062-04-15,196
2063,12.536468,2063-05-08,219
2064,3.9119666,2064-04-20,202
2065,10.887051,2065-04-08,189
2066,16.338844,2066-05-08,219
2067,6.996116,2067-03-07,157
2068,10.925695,2068-03-26,177
2069,2.8039324,2069-02-23,145
2070,8.877647,2070-03-03,153
2071,10.208582,2071-03-25,175
2072,25.808218,2072-03-27,178
2073,6.825016,2073-02-11,133
2074,15.002219,2074-03-11,161
2075,10.490599,2075-02-07,129
2076,5.1342483,2076-01-06,97
2077,14.681191,2077-02-18,140
2078,10.989289,2078-02-06,128
2079,14.654538,2079-01-30,121
2080,6.863683,2080-01-17,108
2081,9.756645,2081-01-19,110
2082,6.7739615,2082-01-04,95
2083,4.3672495,2083-01-07,98
2084,7.11637,2083-12-13,73
2085,7.141499,2084-12-27,87
2086,7.393004,2086-01-03,94
2087,12.625872,2086-12-10,70
2088,9.767385,2087-12-19,79
2089,7.361275,2088-12-08,68
2090,2.9316814,2090-09-17,351
2091,4.906216,2090-11-08,38
2092,3.6864965,2092-09-27,362
2093,7.0394025,2092-11-12,42
2094,6.5853705,2094-09-28,362
2095,10.140276,2094-11-27,57
2096,3.4073524,2096-09-05,340
2097,6.201088,2097-09-30,364
