,maxval,maxdate,maxarg
1981,8.441404,1981-03-28,178
1982,19.365032,1982-04-17,198
1983,10.103134,1983-03-30,180
1984,7.6545253,1984-03-23,174
1985,12.506886,1985-04-05,186
1986,5.196437,1986-03-29,179
1987,8.583409,1987-03-13,163
1988,8.117212,1988-03-16,167
1989,5.0789466,1989-02-11,133
1990,10.561569,1990-02-28,150
1991,7.024213,1991-02-16,138
1992,6.7544346,1992-02-12,134
1993,6.339419,1993-02-05,127
1994,9.72032,1994-01-28,119
1995,11.197834,1995-01-26,117
1996,6.8557296,1996-01-21,112
1997,5.2995944,1997-01-21,112
1998,9.750276,1998-01-12,103
1999,4.1207986,1998-12-28,88
2000,5.0744705,2000-01-05,96
2001,7.0324087,2000-12-26,86
2002,9.534697,2002-01-02,93
2003,13.062713,2003-01-02,93
2004,15.135793,2003-12-11,71
2005,10.817117,2004-12-18,78
2006,12.540264,2005-11-23,53
2007,9.98675,2006-12-06,66
2008,8.395393,2008-09-30,365
2009,9.836866,2008-11-05,35
2010,10.479171,2009-11-13,43
2011,10.527506,2011-09-30,364
2012,11.3361435,2011-10-25,24
2013,9.623218,2012-10-17,16
2014,6.0315814,2014-01-25,116
2015,10.094123,2015-02-11,133
2016,7.7028804,2016-02-07,129
2017,17.638247,2017-01-24,115
2018,10.708109,2018-02-03,125
2019,9.848073,2019-01-30,121
2020,6.0562434,2020-01-01,92
2021,13.437739,2021-01-04,95
2022,6.516636,2022-01-13,104
2023,11.686206,2023-01-17,108
2024,8.783543,2024-01-11,102
2025,11.233367,2024-12-26,86
2026,6.0278974,2025-12-22,82
2027,6.2491245,2027-09-30,364
2028,7.757947,2027-12-15,75
2029,7.9658785,2028-11-22,52
2030,6.3265505,2029-12-02,62
2031,5.217998,2030-11-12,42
2032,6.0736217,2031-11-02,32
2033,7.082802,2032-11-11,41
2034,8.603551,2034-09-30,364
2035,9.997492,2034-10-29,28
2036,8.780371,2036-09-30,365
2037,10.341848,2036-10-22,21
2038,9.714907,2038-09-30,364
2039,11.194917,2039-09-30,364
2040,11.603227,2039-10-08,7
2041,12.13998,2041-09-08,342
2042,8.657903,2041-10-01,0
2043,5.5599394,2043-08-30,333
2044,7.724415,2044-08-30,334
2045,5.263265,2045-08-18,321
2046,11.754594,2046-08-20,323
2047,10.846901,2047-08-26,329
2048,9.91661,2048-08-07,311
2049,7.405015,2049-07-29,301
2050,9.181643,2050-08-05,308
2051,10.873653,2051-07-03,275
2052,8.16964,2052-07-13,286
2053,9.401834,2053-07-04,276
2054,7.3858824,2054-07-14,286
2055,4.8384776,2055-07-03,275
2056,5.975196,2056-06-04,247
2057,7.999346,2057-06-29,271
2058,6.1501265,2058-06-20,262
2059,9.055724,2059-06-02,244
2060,7.8342156,2060-05-17,229
2061,6.702719,2061-06-03,245
2062,12.4902115,2062-05-19,230
2063,5.710254,2063-05-12,223
2064,12.178397,2064-05-18,230
2065,5.935986,2065-04-09,190
2066,9.690566,2066-05-07,218
2067,8.744041,2067-05-03,214
2068,2.837441,2068-04-12,194
2069,2.843196,2069-02-26,148
2070,5.977749,2070-03-24,174
2071,6.0316105,2071-04-02,183
2072,5.7038784,2072-03-26,177
2073,8.906884,2073-03-20,170
2074,5.938414,2074-03-28,178
2075,7.010653,2075-02-16,138
2076,6.4588146,2076-02-05,127
2077,5.9067187,2077-02-27,149
2078,3.5438316,2078-02-07,129
2079,5.4378624,2079-01-31,122
2080,4.2606444,2080-01-22,113
2081,10.877376,2081-01-28,119
2082,1.8961998,2082-01-07,98
2083,5.316271,2083-01-27,118
2084,6.99972,2084-01-06,97
2085,10.314133,2085-01-03,94
2086,5.7323966,2086-01-13,104
2087,6.667574,2087-01-13,104
2088,3.466538,2087-12-17,77
2089,4.923394,2088-12-07,67
2090,2.6412892,2089-12-01,61
2091,2.846477,2090-11-08,38
2092,4.743731,2091-12-12,72
2093,4.898912,2092-11-16,46
2094,4.989089,2093-11-25,55
2095,3.7225087,2094-10-24,23
2096,4.6553,2095-12-04,64
2097,3.4289029,2097-09-30,364
