,maxval,maxdate,maxarg
1981,0.76047605,1981-01-31,122
1982,8.425354,1982-02-17,139
1983,0.668371,1982-11-10,40
1984,0.72277105,1984-01-17,108
1985,5.838737,1985-02-03,125
1986,1.99945,1986-01-05,96
1987,5.1840744,1987-01-30,121
1988,2.512532,1987-12-31,91
1989,1.2991658,1988-12-22,82
1990,3.1522956,1990-01-02,93
1991,1.8180863,1990-11-08,38
1992,1.6771541,1991-11-23,53
1993,3.0611157,1992-12-14,74
1994,3.4746091,1994-09-30,364
1995,4.9267306,1994-10-30,29
1996,2.0119202,1995-12-23,83
1997,2.6845329,1997-09-30,364
1998,3.676305,1997-10-07,6
1999,3.469028,1998-11-09,39
2000,1.9627601,1999-11-17,47
2001,3.1732364,2001-09-29,363
2002,6.4128017,2001-11-12,42
2003,0.8700885,2003-07-17,289
2004,3.0359461,2004-09-09,344
2005,1.5589257,2005-08-21,324
2006,1.892883,2006-08-11,314
2007,1.4132801,2006-10-19,18
2008,5.2690825,2008-09-10,345
2009,4.206346,2008-10-01,0
2010,2.5638568,2010-07-24,296
2011,1.3730898,2011-08-09,312
2012,1.7239771,2012-07-17,290
2013,0.71026224,2012-10-03,2
2014,3.195064,2013-12-11,71
2015,1.7649056,2014-11-19,49
2016,2.96515,2015-11-13,43
2017,2.542834,2016-12-01,61
2018,2.053195,2018-09-29,363
2019,2.1219532,2018-10-12,11
2020,0.960967,2020-09-30,365
2021,5.1041822,2020-11-06,36
2022,1.3336225,2021-11-22,52
2023,2.6960466,2023-09-04,338
2024,3.386828,2024-09-28,363
2025,3.3478765,2024-10-01,0
2026,2.4562886,2025-10-01,0
2027,2.1306775,2027-09-12,346
2028,1.3686786,2027-11-18,48
2029,1.4061736,2029-09-18,352
2030,1.7312865,2030-08-17,320
2031,1.6953341,2031-09-18,352
2032,1.8494643,2032-09-22,357
2033,2.3928056,2033-09-18,352
2034,1.8543893,2034-07-20,292
2035,2.2811067,2035-06-23,265
2036,0.26557514,2035-10-05,4
2037,2.0580635,2037-09-15,349
2038,0.81506187,2038-08-27,330
2039,1.0195175,2039-07-30,302
2040,2.2513452,2040-08-06,310
2041,0.9612988,2041-05-15,226
2042,0.7146589,2042-07-06,278
2043,2.056439,2043-06-17,259
2044,2.0284975,2044-07-07,280
2045,1.3534881,2045-08-09,312
2046,2.2125623,2046-05-01,212
2047,1.8419406,2047-06-05,247
2048,2.3446074,2048-07-16,289
2049,0.9560909,2049-05-01,212
2050,0.96305096,2050-06-04,246
2051,1.0121969,2051-05-02,213
2052,0.6818235,2052-03-27,178
2053,3.0116403,2053-05-28,239
2054,1.7883675,2054-04-09,190
2055,1.2699493,2055-03-11,161
2056,0.6321588,2056-03-03,154
2057,3.614715,2057-05-22,233
2058,1.7841141,2058-06-06,248
2059,0.3829698,2059-04-29,210
2060,1.4214643,2060-03-16,167
2061,3.2615123,2061-03-13,163
2062,2.8306115,2062-02-14,136
2063,1.1415908,2063-02-11,133
2064,1.0575389,2064-01-03,94
2065,0.8690022,2065-03-28,178
2066,1.6965307,2066-01-12,103
2067,0.693821,2067-02-24,146
2068,1.144035,2068-01-15,106
2069,0.40869352,2069-02-21,143
2070,1.3870033,2070-02-26,148
2071,3.546895,2071-01-12,103
2072,2.1629362,2072-02-19,141
2073,0.84790874,2072-12-06,66
2074,3.4826396,2074-01-20,111
2075,0.82617307,2075-01-03,94
2076,0.43926308,2076-01-20,111
2077,1.1941041,2076-12-10,70
2078,1.21021,2077-12-21,81
2079,0.96673304,2078-12-31,91
2080,0.5127169,2080-01-16,107
2081,1.638593,2080-10-17,16
2082,1.0492442,2081-11-13,43
2083,1.1814036,2082-11-17,47
2084,0.66707003,2083-11-26,56
2085,1.6388592,2084-10-14,13
2086,0.8270204,2085-10-29,28
2087,2.3761852,2086-11-28,58
2088,1.3056083,2087-12-01,61
2089,0.6052683,2089-09-29,363
2090,0.64199555,2089-12-01,61
2091,0.35249022,2091-08-31,334
2092,0.44121456,2091-11-24,54
2093,0.95148665,2093-09-28,362
2094,0.6587954,2093-10-01,0
2095,0.7657208,2094-10-18,17
2096,0.3371698,2096-09-03,338
2097,0.52321243,2097-08-13,316
