,maxval,maxdate,maxarg
1981,26.72872,1981-03-26,176
1982,48.714252,1982-03-09,159
1983,18.958735,1983-02-19,141
1984,7.599418,1984-02-17,139
1985,26.03866,1985-03-05,155
1986,15.798323,1986-03-14,164
1987,26.47903,1987-03-01,151
1988,12.757071,1988-02-01,123
1989,11.219463,1989-01-26,117
1990,24.500822,1990-02-26,148
1991,15.873093,1990-12-27,87
1992,16.969904,1992-01-23,114
1993,18.376804,1993-01-28,119
1994,16.451311,1993-12-12,72
1995,26.743147,1995-01-12,103
1996,17.791002,1996-01-19,110
1997,16.375519,1996-12-23,83
1998,25.291597,1997-12-31,91
1999,14.736228,1999-01-02,93
2000,8.314896,1999-12-03,63
2001,14.419394,2000-12-25,85
2002,17.06696,2002-09-30,364
2003,25.890882,2002-12-05,65
2004,27.770676,2003-12-03,63
2005,21.892744,2004-11-28,58
2006,29.313366,2005-11-18,48
2007,23.589453,2006-10-24,23
2008,18.60233,2007-10-30,29
2009,18.041609,2008-10-12,11
2010,20.741241,2010-09-22,356
2011,25.507711,2011-09-29,363
2012,25.415539,2011-10-03,2
2013,24.81826,2012-10-09,8
2014,20.665947,2014-01-22,113
2015,21.662407,2015-02-10,132
2016,13.780038,2016-02-02,124
2017,31.40749,2017-01-21,112
2018,23.429241,2018-01-31,122
2019,15.48236,2019-01-10,101
2020,14.598464,2020-01-01,92
2021,32.487617,2020-11-26,56
2022,16.479433,2022-01-10,101
2023,29.83194,2022-12-23,83
2024,17.901688,2024-09-28,363
2025,25.329725,2024-11-23,53
2026,14.084475,2025-12-05,65
2027,9.493808,2027-09-30,364
2028,11.545157,2027-12-11,71
2029,19.433416,2028-11-06,36
2030,10.536863,2029-10-27,26
2031,13.402372,2030-11-09,39
2032,15.633847,2032-09-27,362
2033,27.18291,2033-09-30,364
2034,28.919771,2033-10-15,14
2035,23.780174,2034-10-22,21
2036,23.005512,2035-10-12,11
2037,21.59042,2037-09-21,355
2038,19.624914,2037-10-01,0
2039,34.759895,2039-09-30,364
2040,34.923656,2039-10-04,3
2041,21.090881,2041-08-12,315
2042,15.8693495,2042-08-19,322
2043,12.090937,2043-08-28,331
2044,15.807452,2044-07-22,295
2045,9.435489,2045-08-17,320
2046,37.66587,2046-07-10,282
2047,28.569412,2047-08-14,317
2048,23.377079,2048-08-07,311
2049,10.76852,2049-06-26,268
2050,20.86792,2050-07-26,298
2051,22.397852,2051-06-26,268
2052,9.534588,2052-05-24,236
2053,20.328663,2053-06-16,258
2054,18.361513,2054-07-12,284
2055,12.008366,2055-06-22,264
2056,4.3915057,2056-04-30,212
2057,18.526016,2057-06-11,253
2058,12.424283,2058-06-05,247
2059,15.529426,2059-05-03,214
2060,9.121261,2060-05-24,236
2061,12.434763,2061-04-14,195
2062,29.984337,2062-04-16,197
2063,9.312365,2063-05-08,219
2064,10.93134,2064-04-18,200
2065,5.950813,2065-04-07,188
2066,22.834183,2066-03-25,175
2067,7.921372,2067-04-16,197
2068,8.587572,2068-04-02,184
2069,1.5962198,2069-01-20,111
2070,7.77928,2070-03-05,155
2071,15.660105,2071-03-25,175
2072,20.499653,2072-03-26,177
2073,15.783998,2073-03-18,168
2074,10.896888,2074-02-18,140
2075,12.904294,2075-02-07,129
2076,11.635445,2076-02-02,124
2077,3.9905956,2076-12-21,81
2078,10.586552,2078-01-15,106
2079,11.371054,2079-01-23,114
2080,6.8992615,2080-01-20,111
2081,8.886569,2081-01-25,116
2082,3.9490974,2081-12-09,69
2083,4.817606,2082-12-08,68
2084,7.2038436,2083-12-15,75
2085,11.128673,2084-12-27,87
2086,3.389132,2085-11-06,36
2087,6.0441403,2086-12-10,70
2088,3.6232708,2087-12-03,63
2089,5.537034,2088-10-27,26
2090,2.35788,2090-09-16,350
2091,3.5846999,2090-12-11,71
2092,4.1750965,2091-10-19,18
2093,6.443539,2092-11-13,43
2094,3.4067652,2094-09-28,362
2095,6.420699,2094-10-23,22
2096,4.144499,2095-10-24,23
2097,7.535972,2097-09-30,364
