,maxval,maxdate,maxarg
1981,10.45408,1981-03-23,173
1982,16.761595,1982-02-17,139
1983,6.701514,1983-01-20,111
1984,5.887223,1984-01-31,122
1985,15.309584,1985-02-15,137
1986,8.545517,1986-03-05,155
1987,15.936944,1987-02-23,145
1988,9.128541,1988-01-18,109
1989,4.963843,1988-12-22,82
1990,13.837009,1989-12-31,91
1991,6.0304637,1991-01-01,92
1992,4.0852404,1991-12-09,69
1993,5.7322755,1992-12-22,82
1994,8.957492,1993-12-13,73
1995,12.469477,1994-12-05,65
1996,4.4317436,1995-12-10,70
1997,4.689015,1996-12-04,64
1998,5.517657,1997-11-26,56
1999,7.0870643,1998-11-02,32
2000,1.9683309,1999-11-17,47
2001,7.917308,2001-09-29,363
2002,17.212221,2001-12-28,88
2003,13.190446,2002-12-02,62
2004,9.518713,2003-10-27,26
2005,6.426634,2004-10-22,21
2006,7.24122,2006-08-27,330
2007,6.5798907,2007-09-20,354
2008,9.761449,2008-09-22,357
2009,10.895056,2009-09-28,362
2010,11.277752,2009-10-07,6
2011,11.0527935,2010-11-06,36
2012,9.570988,2012-09-11,346
2013,5.6230054,2012-10-01,0
2014,4.997051,2013-12-10,70
2015,5.363902,2014-12-08,68
2016,8.127475,2015-12-14,74
2017,14.110973,2016-12-01,61
2018,9.131765,2017-11-24,54
2019,4.7659807,2018-12-28,88
2020,5.808054,2020-09-30,365
2021,16.671059,2020-11-02,32
2022,1.9275889,2021-11-28,58
2023,11.0155735,2022-11-20,50
2024,11.311373,2024-09-25,360
2025,11.579275,2024-10-14,13
2026,5.6507487,2025-10-18,17
2027,5.7272677,2027-09-27,361
2028,6.3795056,2027-10-07,6
2029,3.688761,2029-09-27,361
2030,7.6464086,2030-09-10,344
2031,6.946366,2030-10-22,21
2032,6.2743926,2031-10-01,0
2033,19.905922,2033-09-30,364
2034,19.875134,2033-10-01,0
2035,4.1702094,2034-10-07,6
2036,2.3520608,2036-07-03,276
2037,5.0944247,2037-08-17,320
2038,11.403411,2038-08-28,331
2039,7.981845,2038-10-01,0
2040,3.2740324,2040-08-23,327
2041,1.6414018,2041-05-16,227
2042,3.1199446,2042-07-12,284
2043,11.979247,2043-07-31,303
2044,1.4330455,2044-07-08,281
2045,2.1452994,2045-04-12,193
2046,6.811752,2046-07-08,280
2047,16.329906,2047-07-16,288
2048,11.542123,2048-07-17,290
2049,1.4806528,2049-05-30,241
2050,5.775465,2050-05-25,236
2051,2.273799,2051-05-02,213
2052,2.6770449,2052-03-19,170
2053,9.992827,2053-06-16,258
2054,11.630264,2054-06-23,265
2055,2.5760882,2055-04-29,210
2056,1.4623017,2056-02-28,150
2057,7.1299934,2057-05-17,228
2058,3.49067,2058-05-06,217
2059,1.8826371,2059-04-06,187
2060,2.7138429,2060-04-10,192
2061,3.3872454,2061-03-07,157
2062,0.8694078,2062-03-26,176
2063,8.487141,2063-04-20,201
2064,1.6611962,2064-01-31,122
2065,1.9712181,2065-03-04,154
2066,3.8014235,2066-03-10,160
2067,2.3112397,2067-02-23,145
2068,4.4227743,2068-02-11,133
2069,1.232673,2069-03-17,167
2070,3.6099017,2070-03-03,153
2071,3.3085105,2071-01-11,102
2072,17.881361,2072-03-10,161
2073,1.0435095,2072-12-30,90
2074,7.3397756,2074-02-17,139
2075,2.0713172,2075-02-05,127
2076,3.0734627,2076-01-05,96
2077,4.02135,2076-12-19,79
2078,3.1207101,2077-11-17,47
2079,4.3711796,2078-11-16,46
2080,1.9361229,2079-12-26,86
2081,0.8708519,2081-01-08,99
2082,2.3662503,2081-12-02,62
2083,1.7211745,2082-10-19,18
2084,3.1179593,2083-12-30,90
2085,2.7905273,2084-11-27,57
2086,1.2142357,2085-10-26,25
2087,5.074094,2086-10-23,22
2088,3.2717679,2087-12-08,68
2089,0.81094605,2088-10-18,17
2090,0.69507056,2089-10-07,6
2091,0.72247094,2090-10-07,6
2092,1.0350748,2092-08-24,328
2093,2.0398686,2093-09-30,364
2094,2.0640686,2093-10-01,0
2095,0.7212698,2094-10-14,13
2096,0.75726837,2095-10-08,7
2097,4.2995014,2097-09-29,363
